報告年度:2021,議題:人力發展,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率
1414,東和,675,557,564,527,17.60%,4,1.90%
1416,廣豐,1613,1250,766,781,42.86%,0,0.00%
1417,嘉裕,663,558,551,446,53.84%,3,1.00%
1418,東華,994,694,542,478,14.29%,0,0.00%
1419,新紡,792,672,652,564,56.00%,0,0.00%
1423,利華,742,619,508,442,33.33%,1,1.49%
1432,大魯閣,377,297,430,364,33.30%,18,2.90%
1434,福懋,600,504,567,507,17.00%,14,0.24%
1435,中福,827,757,1005,552,66.70%,0,0.00%
1436,華友聯,1187,1005,866,842,7.41%,1,1.85%
1437,勤益控,3654,3355,696,415,25.00%,0,0.00%
1438,三地開發,843,724,468,443,40.00%,0,0.00%
1439,雋揚,1548,1280,911,898,12.50%,0,0.00%
1440,南紡,783,663,631,560,9.61%,9,0.80%
1441,大東,830,697,600,559,18.75%,0,0.00%
1442,名軒,1237,1022,871,808,50.00%,0,0.00%
1443,立益物流,784,664,604,574,14.94%,0,0.00%
1444,力麗,690,565,563,488,22.73%,7,0.75%
1445,大宇,676,571,539,471,20.00%,0,0.00%
1446,宏和,685,574,577,476,14.63%,0,0.00%
1447,力鵬,735,591,555,499,23.73%,3,0.57%
1449,佳和,588,492,503,482,31.70%,2,0.23%
1451,年興,744,634,595,526,22.00%,1,0.12%
1452,宏益,959,823,740,626,33.00%,17,7.11%
1453,大將,727,598,498,479,25.00%,0,0.00%
1454,台富,649,541,515,449,6.80%,0,0.00%
1455,集盛,827,701,691,587,11.93%,4,0.33%
1456,怡華,881,746,623,626,12.50%,0,0.00%
1457,宜進,914,737,600,589,55.50%,0,0.00%
1459,聯發,694,575,499,447,14.29%,0,0.00%
1460,宏遠,707,580,543,501,3.00%,21,1.00%
1463,強盛新,626,536,537,500,17.07%,0,0.00%
1464,得力,639,545,535,494,31.57%,11,1.39%
1465,偉全,510,414,462,428,25.00%,0,0.00%
1466,聚隆,765,647,651,600,35.00%,2,0.55%
1467,南緯,786,640,696,597,61.00%,2,1.00%
1468,昶和,802,667,557,507,20.00%,0,0.00%
1470,大統新創,756,660,591,521,34.30%,0,0.00%
1471,首利,1085,925,760,762,25.00%,0,0.00%
1472,三洋實業,665,548,426,354,40.00%,0,0.00%
1473,台南,725,623,532,451,77.00%,2,0.01%
1474,弘裕,727,629,572,505,14.23%,1,0.21%
1475,業旺,839,702,529,495,10.00%,0,0.00%
1476,儒鴻,1080,943,879,760,36.00%,6,0.33%
1477,聚陽,1924,1747,1348,1226,50.00%,0,0.00%
1503,士電,1204,1063,1016,841,8.16%,0,0.00%
1504,東元,1059,910,877,717,21.59%,2,0.09%
1506,正道,727,597,521,466,41.67%,1,0.04%
1512,瑞利,634,513,537,492,16.67%,0,0.00%
1513,中興電,956,796,809,702,15.00%,3,0.18%
1514,亞力,984,838,825,725,1.56%,1,0.00%
1515,力山,591,510,563,486,14.01%,98,5.73%
1516,川飛,845,749,521,694,0.00%,0,0.00%
1517,利奇,605,504,534,502,8.45%,5,0.60%
1519,華城,1016,861,826,708,13.33%,5,0.55%
1521,大億,729,604,613,565,12.22%,0,0.00%
1522,堤維西,668,549,575,525,20.00%,16,1.00%
1524,耿鼎,654,546,521,458,8.16%,4,0.89%
1525,江申,690,570,580,519,19.00%,1,0.30%
1526,日馳,859,748,598,415,20.00%,0,0.00%
1527,鑽全,725,625,607,540,0.81%,8,1.08%
1528,恩德,978,861,657,572,4.08%,0,0.00%
1529,樂事綠能,633,506,525,480,10.00%,0,0.00%
1530,亞崴,731,617,664,539,9.43%,1,0.60%
1531,高林股,937,796,661,630,19.23%,1,0.59%
1532,勤美,958,811,769,615,31.75%,1,0.32%
1533,車王電,673,563,596,510,0.00%,0,0.00%
1535,中宇,1154,1009,1025,935,7.75%,0,0.00%
1536,和大,800,644,636,607,9.09%,11,1.19%
1537,廣隆,1032,873,791,644,23.93%,0,0.00%
1538,正峰,809,686,475,444,30.76%,1,1.40%
1539,巨庭,629,510,476,417,17.00%,0,0.00%
1540,喬福,707,578,542,512,0.00%,0,0.00%
1541,錩泰,696,590,587,537,22.73%,0,0.00%
1558,伸興,1047,874,886,831,44.00%,10,0.32%
1560,中砂,908,761,762,699,6.70%,12,0.81%
1563,巧新,,,,,,,
1568,倉佑,691,557,570,526,26.00%,5,1.20%
1582,信錦,1189,1015,940,803,15.22%,0,0.00%
1583,程泰,788,629,651,587,17.00%,2,0.54%
1587,吉茂,699,594,564,541,27.59%,0,0.00%
1589,永冠-KY,,,,,15.67%,75,0.03%
1590,亞德客-KY,,,,,10.04%,85,1.06%
1597,直得,900,770,740,665,31.43%,1,0.23%
1598,岱宇,742,620,598,508,27.50%,3,0.00%
1603,華電,692,598,538,472,27.66%,9,1.52%
1604,聲寶,1040,882,798,715,8.26%,0,0.00%
1605,華新,1152,1032,1190,967,17.54%,17,0.60%
1608,華榮,895,755,790,769,14.75%,2,0.47%
1609,大亞,1259,1121,927,860,16.45%,12,2.00%
1611,中電,866,698,1635,1100,5.00%,0,0.00%
1612,宏泰,1295,1160,1188,991,0.00%,1,0.30%
1614,三洋電,522,418,567,549,0.93%,12,1.24%
1615,大山,813,688,616,558,23.68%,4,1.60%
1616,億泰,774,648,601,539,14.29%,0,0.00%
1617,榮星,906,793,698,640,2.00%,0,0.00%
1618,合機,826,692,676,640,30.23%,5,2.39%
1623,大東電,,,,,,,
1626,艾美特-KY,,,,,23.00%,13,0.39%
1702,南僑,2853,2627,1009,729,37.50%,0,0.00%
1707,葡萄王,1077,950,827,796,45.71%,1,0.21%
1708,東鹼,1144,997,955,886,38.46%,0,0.00%
1709,和益,2157,1982,1706,1527,13.00%,0,0.00%
1710,東聯,1464,1132,1061,981,1.82%,3,0.91%
1711,永光,903,767,741,707,13.00%,4,0.23%
1712,興農,907,781,732,654,18.00%,4,0.29%
1713,國化,975,846,743,706,35.50%,0,0.00%
1714,和桐,913,743,751,629,36.80%,0,0.00%
1717,長興,1214,1023,979,824,15.40%,3,0.07%
1718,中纖,813,652,674,614,25.00%,2,0.34%
1720,生達,873,740,796,699,44.44%,8,1.00%
1721,三晃,870,709,716,685,22.30%,13,2.61%
1722,台肥,1577,1381,1359,1186,13.41%,3,5.80%
1723,中碳,1717,1508,1311,1234,7.89%,0,0.00%
1725,元禎,949,764,738,626,12.50%,0,0.00%
1726,永記,883,757,736,670,6.00%,21,2.97%
1727,中華化,770,642,638,585,25.71%,0,0.00%
1730,花仙子,1211,1032,822,700,38.46%,0,0.00%
1731,美吾華,862,734,647,548,59.09%,0,0.00%
1732,毛寶,646,546,530,462,50.00%,0,0.00%
1733,五鼎,709,600,608,533,41.70%,7,0.95%
1734,杏輝,682,559,538,491,41.80%,26,0.45%
1735,日勝化,888,743,685,610,20.00%,212,0.00%
1736,喬山,835,706,692,589,21.43%,7,0.60%
1737,臺鹽,1128,954,950,872,26.00%,484,0.00%
1752,南光,641,536,530,470,0.82%,9,1.48%
1760,寶齡富錦,1021,867,773,598,49.30%,4,0.77%
1762,中化生,1157,992,962,848,22.00%,0,0.00%
1773,勝一,1452,1288,1086,932,9.09%,6,1.47%
1776,展宇,928,787,667,622,4.17%,4,3.10%
1783,和康生,918,784,609,520,42.86%,0,0.00%
1786,科妍,1005,844,656,558,27.27%,0,0.00%
1789,神隆,1047,883,802,721,34.80%,17,2.52%
1795,美時,1198,908,1030,754,37.20%,2,0.36%
1802,台玻,811,692,717,680,12.38%,93,2.26%
1805,寶徠,1192,1042,727,654,20.00%,0,0.00%
1806,冠軍,788,604,623,563,2.00%,10,0.12%
1808,潤隆,1409,1196,991,850,20.00%,0,0.00%
1809,中釉,834,711,679,406,4.76%,0,0.00%
1810,和成,816,704,671,590,9.26%,3,0.37%
1817,凱撒衛,913,791,744,623,25.00%,0,0.00%
1903,士紙,1044,905,579,526,20.96%,0,0.00%
1904,正隆,1177,1026,1003,941,5.88%,6,0.02%
1905,華紙,948,800,769,708,10.73%,2,0.07%
1906,寶隆,1273,1071,714,787,1.00%,0,0.00%
1907,永豐餘,2736,2539,821,726,18.00%,63,0.60%
1909,榮成,946,814,733,697,6.17%,5,0.44%
2002,中鋼,2741,2466,2360,2226,2.11%,3,0.03%
2006,東和鋼鐵,1306,1151,1180,1139,8.45%,18,1.03%
2007,燁興,831,619,662,627,5.65%,3,0.70%
2008,高興昌,662,536,508,477,15.25%,2,0.98%
2009,第一銅,811,685,695,682,4.00%,4,1.63%
2010,春源,831,690,710,639,8.48%,22,1.90%
2012,春雨,859,756,626,571,19.00%,6,1.05%
2013,中鋼構,1836,1598,1522,1352,2.00%,0,0.00%
2014,中鴻,1818,1513,1475,1412,3.64%,1,0.09%
2015,豐興,1347,1168,1108,989,25.00%,23,2.50%
2017,官田鋼,643,527,602,485,20.50%,13,4.40%
2020,美亞,1068,754,812,795,26.00%,5,1.50%
2022,聚亨,736,620,577,517,11.53%,2,1.28%
2023,燁輝,1121,857,797,777,3.30%,0,0.00%
2024,志聯,766,615,617,577,29.03%,0,0.00%
2025,千興,701,518,580,580,25.00%,0,0.00%
2027,大成鋼,1950,1835,1735,1400,20.98%,1,0.10%
2028,威致,1086,844,895,851,40.00%,6,1.63%
2029,盛餘,1388,1178,1212,1149,8.25%,0,0.00%
2030,彰源,854,733,704,568,0.00%,0,0.00%
2031,新光鋼,1255,1053,988,813,16.00%,2,0.63%
2032,新鋼,698,563,583,554,11.50%,5,2.60%
2033,佳大,689,552,508,493,27.27%,0,0.00%
2034,允強,1065,898,822,725,20.37%,13,1.28%
2038,海光,817,712,680,616,6.00%,0,0.00%
2049,上銀,1040,896,917,839,12.69%,43,0.89%
2059,川湖,836,705,766,678,26.19%,1,0.16%
2062,橋椿,722,598,549,486,63.73%,20,2.00%
2069,運錩,1031,881,832,736,42.85%,3,0.16%
2072,世紀風電,,,,,,,
2101,南港,960,840,683,592,0.55%,13,1.18%
2102,泰豐,881,540,545,515,9.09%,4,1.00%
2103,台橡,1583,1057,1196,1078,24.60%,5,0.30%
2104,國際中橡,2089,1540,729,554,29.03%,2,0.82%
2105,正新,889,771,718,650,0.40%,11,0.20%
2106,建大,771,661,650,598,13.08%,10,0.50%
2107,厚生,851,736,628,572,8.93%,0,0.00%
2108,南帝,2820,2575,1998,1806,0.60%,0,0.00%
2109,華豐,696,601,570,511,0.00%,0,0.00%
2114,鑫永銓,862,753,544,521,25.00%,1,0.88%
2115,六暉-KY,,,,,55.00%,0,0.00%
2201,裕隆,1151,936,862,804,16.20%,0,0.00%
2204,中華,1299,1120,1110,1007,13.53%,3,0.15%
2206,三陽工業,1091,922,912,898,1.00%,8,0.36%
2207,和泰車,3260,2894,2425,1936,7.00%,0,0.00%
2208,台船,1179,949,956,970,5.00%,13,0.42%
2211,長榮鋼,1124,943,922,892,17.00%,3,0.54%
2227,裕日車,1572,1293,1183,1126,12.80%,0,0.00%
2228,劍麟,828,712,605,518,10.53%,0,0.00%
2231,為升,838,737,642,574,3.92%,10,2.33%
2233,宇隆,903,770,680,601,24.00%,6,1.60%
2236,百達-KY,,,,,20.00%,2,0.29%
2239,英利-KY,,,,,0.00%,0,0.00%
2241,艾姆勒,812,642,650,592,19.35%,8,1.29%
2243,宏旭-KY,,,,,10.63%,0,0.00%
2247,汎德永業,1101,930,953,749,8.33%,12,0.70%
2248,華勝-KY,,,,,,,
2250,IKKA-KY,,,,,37.00%,0,0.00%
2254,巨鎧精密-創,,,,,,,
2258,鴻華先進-創,,,,,,,
2301,光寶科,1753,1574,1434,1154,23.00%,40,0.10%
2302,麗正,842,691,616,464,50.00%,0,0.00%
2303,聯電,2093,1915,1447,1150,12.20%,9,0.06%
2305,全友,946,800,706,663,24.32%,0,0.00%
2308,台達電,1621,1430,1525,1293,32.30%,243,2.77%
2312,金寶,1800,1582,1072,926,26.03%,1,0.18%
2313,華通,1017,855,889,793,12.50%,32,0.66%
2314,台揚,926,791,797,634,15.58%,0,0.00%
2316,楠梓電,631,518,552,527,17.00%,9,0.66%
2317,鴻海,2551,2343,2558,1829,20.30%,197,0.02%
2321,東訊,952,791,794,661,8.77%,0,0.00%
2323,中環,721,618,600,562,26.00%,8,1.12%
2324,仁寶,1411,1214,1250,1059,19.34%,87,0.97%
2327,國巨*,932,826,747,637,34.00%,10,0.25%
2328,廣宇,1982,1655,1244,1185,26.32%,0,0.00%
2329,華泰,743,613,666,573,45.00%,13,0.23%
2330,台積電,2706,2463,2425,1851,13.00%,44,0.07%
2331,精英,1195,1014,967,788,32.00%,11,1.40%
2332,友訊,1243,1063,1122,928,45.45%,3,0.54%
2337,旺宏,2146,1934,1834,1388,28.00%,1,0.03%
2338,光罩,1879,1733,1282,1076,19.61%,2,0.67%
2340,台亞,1377,1195,1014,839,36.00%,2,0.21%
2342,茂矽,1010,851,823,707,48.00%,8,0.11%
2344,華邦電,2492,2321,2332,1858,11.62%,0,0.00%
2345,智邦,1179,1026,1052,732,27.70%,6,0.19%
2347,聯強,1383,1205,1179,1006,50.16%,2,0.27%
2348,海悅,1827,1633,1372,1136,31.82%,0,0.00%
2349,錸德,781,677,651,566,3.57%,5,0.86%
2351,順德,865,722,717,608,14.00%,3,0.20%
2352,佳世達,2110,1832,1592,1258,15.00%,0,0.00%
2353,宏碁,2566,2264,2190,1651,30.80%,9,0.00%
2354,鴻準,3696,3267,4103,3390,0.00%,0,0.00%
2355,敬鵬,787,673,672,601,23.50%,27,0.85%
2356,英業達,1229,1074,1024,838,13.82%,36,0.20%
2357,華碩,2269,2076,2002,1504,23.35%,5,0.07%
2359,所羅門,1074,913,870,787,21.57%,3,1.00%
2360,致茂,1257,1107,1117,952,13.86%,27,1.50%
2362,藍天,1580,1377,1192,1073,26.39%,2,0.30%
2363,矽統,1509,1346,1253,1097,6.00%,2,1.00%
2364,倫飛,1025,878,692,589,27.50%,0,0.00%
2365,昆盈,1197,930,829,718,36.36%,0,0.00%
2367,燿華,694,579,559,503,1.78%,3,0.06%
2368,金像電,1000,848,765,623,20.81%,60,0.81%
2369,菱生,741,610,607,511,16.67%,0,0.00%
2371,大同,915,794,730,645,21.20%,8,0.31%
2373,震旦行,823,586,723,636,15.00%,0,0.00%
2374,佳能,1315,1135,1110,995,22.58%,0,0.00%
2375,凱美,1639,1441,731,759,40.00%,0,0.00%
2376,技嘉,3117,2945,1474,1002,27.34%,4,0.06%
2377,微星,2353,2168,1935,1606,24.50%,5,0.18%
2379,瑞昱,5131,4866,4083,3270,9.20%,0,0.00%
2380,虹光,1034,858,863,765,7.00%,2,0.49%
2382,廣達,1803,1585,1420,1174,7.70%,123,1.18%
2383,台光電,1309,1146,935,767,8.00%,6,0.58%
2385,群光,2454,2212,1764,1482,0.00%,21,0.00%
2387,精元,1037,898,740,670,6.90%,0,0.00%
2388,威盛,2376,2078,1556,1424,26.00%,2,0.54%
2390,云辰,2076,1903,1042,1012,4.10%,0,0.00%
2392,正崴,1367,1163,1181,1034,18.18%,0,0.00%
2393,億光,995,862,814,598,33.20%,7,1.04%
2395,研華,1475,1284,1151,996,25.00%,12,0.00%
2397,友通,1025,883,848,672,37.50%,0,0.00%
2399,映泰,1440,1278,1068,861,35.90%,0,0.00%
2401,凌陽,1643,1423,1442,1235,26.70%,0,0.00%
2402,毅嘉,802,688,509,455,22.86%,7,3.21%
2404,漢唐,1588,1428,1364,1190,12.00%,3,0.35%
2405,輔信,1296,1125,1042,903,18.37%,3,1.49%
2406,國碩,787,662,655,601,28.00%,0,0.00%
2408,南亞科,1959,1788,1735,1377,33.61%,0,0.00%
2409,友達,1681,1441,1475,972,27.40%,3,0.01%
2412,中華電,1691,901,1507,1478,20.70%,39,0.19%
2413,環科,626,533,521,452,1.00%,9,1.20%
2414,精技,1151,994,907,815,19.67%,1,0.25%
2415,錩新,1665,1451,981,852,27.60%,0,0.00%
2417,圓剛,1169,993,1034,975,27.00%,0,0.00%
2419,仲琦,1430,1213,1012,890,25.00%,0,0.00%
2420,新巨,737,627,575,498,36.00%,5,0.87%
2421,建準,1002,797,857,686,20.00%,566,0.00%
2423,固緯,1173,1011,919,840,3.88%,0,0.00%
2424,隴華,983,844,586,544,25.00%,0,0.00%
2425,承啟,1282,1008,678,690,42.85%,0,0.00%
2426,鼎元,845,707,708,619,31.40%,7,0.96%
2427,三商電,959,826,744,692,16.00%,0,0.00%
2428,興勤,1081,930,869,656,43.00%,1,0.20%
2429,銘旺科,723,585,466,359,1.39%,1,1.39%
2430,燦坤,642,519,693,633,30.00%,56,2.29%
2431,聯昌,1076,892,817,721,0.00%,0,0.00%
2433,互盛電,802,596,700,637,4.00%,0,0.00%
2434,統懋,728,596,551,502,4.16%,0,0.00%
2436,偉詮電,1725,1538,1443,1352,4.55%,0,0.00%
2438,翔耀,632,516,508,463,60.00%,0,0.00%
2439,美律,1260,994,894,718,32.75%,0,0.00%
2440,太空梭,1334,1150,939,878,25.00%,0,0.00%
2441,超豐,1105,961,935,756,8.23%,7,0.16%
2442,新美齊,1925,1061,1211,946,16.67%,0,0.00%
2444,兆勁,611,487,482,422,1.65%,0,0.00%
2449,京元電子,894,764,803,662,32.82%,25,0.26%
2450,神腦,748,610,607,568,28.95%,3,0.14%
2451,創見,914,772,790,631,15.05%,13,1.27%
2453,凌群,1189,1009,885,811,20.00%,3,0.26%
2454,聯發科,5460,5138,5150,3992,4.50%,0,0.00%
2455,全新,1669,1474,1230,845,17.39%,4,1.57%
2457,飛宏,1116,936,873,744,25.33%,3,0.55%
2458,義隆,2349,2109,1970,1798,19.00%,0,0.00%
2459,敦吉,1346,1204,969,933,0.00%,0,0.00%
2460,建通,822,690,675,594,5.97%,0,0.00%
2461,光群雷,1027,903,752,651,29.00%,3,2.05%
2462,良得電,1456,1239,993,883,20.00%,0,0.00%
2464,盟立,1262,1086,1122,927,10.55%,0,0.00%
2465,麗臺,1005,848,848,710,34.00%,3,0.96%
2466,冠西電,736,571,539,404,30.43%,2,1.35%
2467,志聖,1367,1203,1097,921,11.36%,3,0.81%
2468,華經,923,769,662,595,27.27%,5,1.90%
2471,資通,1434,1246,1172,1078,23.00%,0,0.00%
2472,立隆電,1578,1361,1086,1028,57.00%,0,0.00%
2474,可成,699,583,643,540,25.00%,20,0.45%
2476,鉅祥,789,687,707,633,29.30%,9,1.30%
2477,美隆電,933,819,760,641,17.24%,1,0.38%
2478,大毅,1123,1009,741,585,26.67%,6,0.60%
2480,敦陽科,1222,1040,1004,932,26.12%,0,0.00%
2481,強茂,1014,866,770,619,42.34%,23,1.55%
2482,連宇,923,783,723,576,25.81%,2,1.07%
2483,百容,653,557,530,471,10.00%,20,3.00%
2484,希華,772,653,655,582,31.00%,0,0.00%
2485,兆赫,657,542,574,431,23.30%,20,2.00%
2486,一詮,909,787,739,629,13.50%,14,1.65%
2488,漢平,762,611,735,637,52.00%,0,0.00%
2489,瑞軒,1942,1756,1683,1378,38.71%,0,0.00%
2491,吉祥全,961,844,544,522,6.00%,0,0.00%
2492,華新科,926,791,802,595,44.30%,5,0.17%
2493,揚博,1218,1058,1012,867,33.00%,0,0.00%
2495,普安,1026,886,885,772,17.50%,0,0.00%
2496,卓越,1303,1005,599,586,100.00%,0,0.00%
2497,怡利電,764,649,613,572,0.51%,0,0.00%
2498,宏達電,1221,1029,1175,949,26.24%,3,0.15%
2501,國建,1434,1269,1042,941,25.81%,1,0.66%
2504,國產,1454,1332,924,883,22.90%,3,0.49%
2505,國揚,1599,1334,1045,926,42.86%,0,0.00%
2506,太設,716,598,805,740,31.00%,1,1.35%
2509,全坤建,899,739,755,737,66.67%,0,0.00%
2511,太子,1456,1263,869,856,35.40%,0,0.00%
2514,龍邦,1750,1559,770,703,80.00%,0,0.00%
2515,中工,1160,1009,759,705,24.00%,0,0.00%
2516,新建,969,834,623,560,13.00%,4,0.56%
2520,冠德,2123,1856,1312,1105,33.33%,0,0.00%
2524,京城,1949,1598,1106,996,28.57%,0,0.00%
2527,宏璟,1414,1157,828,846,60.00%,0,0.00%
2528,皇普,976,844,744,658,0.00%,0,0.00%
2530,華建,1224,1059,1059,989,40.00%,0,0.00%
2534,宏盛,1179,1015,797,712,10.71%,0,0.00%
2535,達欣工,1509,1316,1123,1073,8.50%,2,0.30%
2536,宏普,1066,900,1040,977,28.57%,0,0.00%
2537,聯上發,1511,1331,951,946,62.50%,0,0.00%
2538,基泰,1535,1359,1266,1283,0.00%,0,0.00%
2539,櫻花建,1054,882,862,719,33.33%,2,3.13%
2540,愛山林,3083,2831,2046,1415,10.00%,0,0.00%
2542,興富發,1388,1265,1062,770,40.00%,0,0.00%
2543,皇昌,819,645,613,472,14.20%,9,0.90%
2545,皇翔,1401,1181,1127,877,17.50%,0,0.00%
2546,根基,1084,966,929,865,9.00%,4,0.76%
2547,日勝生,1371,1141,932,835,31.43%,0,0.00%
2548,華固,3302,2933,1657,1507,0.18%,0,0.00%
2597,潤弘,1481,1293,1140,942,11.29%,1,0.10%
2601,益航,1170,959,1035,909,29.41%,0,0.00%
2603,長榮,4271,3606,3613,3337,15.74%,6,0.27%
2605,新興,2170,1937,1445,1460,0.38%,0,0.00%
2606,裕民,2199,1680,1669,1453,25.00%,1,0.10%
2607,榮運,1079,844,881,864,24.00%,7,0.67%
2608,嘉里大榮,823,676,699,677,13.80%,88,2.00%
2609,陽明,3379,3010,2753,2429,27.63%,8,0.54%
2610,華航,2039,1460,1729,1241,27.82%,67,0.68%
2611,志信,796,626,604,560,8.89%,0,0.00%
2612,中航,1781,1554,1294,1193,2.73%,2,0.55%
2613,中櫃,762,628,595,580,0.00%,7,0.95%
2614,東森,1471,1298,1066,1003,39.47%,1,0.39%
2615,萬海,2802,2549,2554,2380,16.00%,6,1.09%
2616,山隆,753,646,824,776,11.28%,0,0.00%
2617,台航,1416,1205,1293,1100,21.00%,1,0.47%
2618,長榮航,1425,1131,1243,727,32.50%,27,0.26%
2630,亞航,765,626,631,596,5.34%,7,0.60%
2633,台灣高鐵,1064,892,898,812,15.31%,1,0.02%
2634,漢翔,1111,927,896,762,18.90%,31,0.61%
2636,台驊控股,2541,2317,727,552,10.32%,0,0.00%
2637,慧洋-KY,,,,,49.00%,0,0.00%
2642,宅配通,690,570,615,576,16.39%,62,3.67%
2646,星宇航空,,,,,,,
2701,萬企,625,495,457,431,50.00%,0,0.00%
2702,華園,513,436,438,368,50.00%,2,0.02%
2704,國賓,787,655,587,474,47.00%,28,3.00%
2705,六福,526,430,488,425,55.30%,44,0.36%
2706,第一店,610,496,425,406,66.67%,0,0.00%
2707,晶華,698,584,610,495,50.79%,11,0.96%
2712,遠雄來,575,475,493,395,32.79%,7,0.18%
2722,夏都,501,413,419,359,54.84%,8,1.83%
2723,美食-KY,,,,,36.00%,260,1.79%
2727,王品,491,408,594,502,41.04%,69,0.78%
2731,雄獅,530,421,425,390,71.11%,4,0.33%
2739,寒舍,671,555,552,465,45.80%,97,7.27%
2748,雲品,692,578,546,479,52.10%,24,3.47%
2753,八方雲集,1091,936,789,721,40.91%,17,1.28%
2762,世界健身-KY,,,,,,,
2801,彰銀,1705,1342,1285,1194,58.96%,1,0.01%
2812,台中銀,1309,1131,1058,876,37.93%,16,0.58%
2816,旺旺保,1152,998,1005,786,42.00%,4,0.88%
2820,華票,2226,1883,1581,1386,12.50%,0,0.00%
2832,台產,1042,911,960,728,7.95%,4,0.44%
2834,臺企銀,1538,1245,1195,1069,48.11%,4,0.08%
2836,高雄銀,1545,1286,1185,1085,51.27%,5,4.59%
