"報告年度:2022","議題:能源管理"
"公司代號","公司名稱","使用率(再生能源/總能源)-使用率(再生能源/總能源)","資料範圍-資料範圍","取得驗證-取得驗證"
"=""1617""","榮星","無，無統計相關數據","",""
"=""1618""","合機","無，無統計相關數據","",""
"=""1623""","大東電","N/A","N/A",""
"=""1626""","艾美特-KY","無，無統計相關數據","",""
"=""1702""","南僑","1.3005","中國大陸、泰國地區之製造單位","ISO 50001"
"=""1707""","葡萄王","0.6100","葡萄王生技、葡眾企業","ISO 50001"
"=""1708""","東鹼","無，無統計相關數據","",""
"=""1709""","和益","無，無統計相關數據","",""
"=""1710""","東聯","0.0000","1.2022年H2規劃建置太陽能光電系統（約108.78KW)，2023年Q1已完工，憑證申請中。2.2023年底前購買10%再生能源電力及憑證，以符合法令要求。","ISO 50001"
"=""1711""","永光","無，有建置499kw太陽能發電裝置，但並非自發自用(使用權歸屬廠商)，故無使用資料可統計，待2023年購回其使用權後即可統計使用資訊。","",""
"=""1712""","興農","0.0000","母公司王田廠區(王田廠、王田二廠、生物工廠)",""
"=""1713""","國化","0.0000","屏南分公司",""
"=""1714""","和桐","無，無統計相關數據","",""
"=""1717""","長興","0.1000","母公司及包含合併財務報表之國內與國外子公司","ISO 50001"
"=""1718""","中纖","無，無統計相關數據","","ISO 50001"
"=""1720""","生達","7.7400","生達一廠+生達二廠",""
"=""1721""","三晃","無，無統計相關數據","",""
"=""1722""","台肥","3.0000","母公司","ISO 50001"
"=""1723""","中碳","0.0000","母公司","ISO 50001"
"=""1725""","元禎","0.0000","母公司",""
"=""1726""","永記","無，無統計相關數據","",""
"=""1727""","中華化","無，未使用再生能源","",""
"=""1730""","花仙子","無，無統計相關數據","",""
"=""1731""","美吾華","無，無統計相關數據","",""
"=""1732""","毛寶","無，無統計相關數據","",""
"=""1733""","五鼎","無，無統計相關數據","",""
"=""1734""","杏輝","無，無統計相關數據","",""
"=""1735""","日勝化","無，目前沒有使用再生能源","",""
"=""1736""","喬山","5.8000","母公司",""
"=""1737""","臺鹽","0.4982","環境會計資料",""
"=""1752""","南光","無，無統計相關數據","",""
"=""1760""","寶齡富錦","無，無統計相關數據","",""
"=""1762""","中化生","無，無統計相關數據","",""
"=""1773""","勝一","無，無使用再生能源","",""
"=""1776""","展宇","無，無統計相關數據","",""
"=""1783""","和康生","無，無統計相關數據","",""
"=""1786""","科妍","無，無統計相關數據","",""
"=""1789""","神隆","0.7153","僅母公司(於2022年外購電力32,414,504度, 太陽能發電231,856度)",""
"=""1795""","美時","無，無統計相關數據","",""
"=""1802""","台玻","無，無統計相關數據","","ISO 50001"
"=""1805""","寶徠","無，無統計相關數據","",""
"=""1806""","冠軍","無，無統計相關數據","","ISO 50001"
"=""1808""","潤隆","無，無統計相關數據","",""
"=""1809""","中釉","無，無統計相關數據","",""
"=""1810""","和成","無，無統計相關數據","","ISO 50001"
"=""1817""","凱撒衛","無，無統計相關數據","",""
"=""1903""","士紙","無，依規定本公司屬資本額50億元以下之公司別，應於第三階段完成溫室氣體盤查(115年)，本公司預計於112年啟動執行。","",""
"=""1904""","正隆","0.0800","母公司","ISO 50001"
"=""1905""","華紙","32.0000","華紙合併財報之台灣、大陸生產據點","ISO 50001"
"=""1906""","寶隆","無，無統計相關數據","",""
"=""1907""","永豐餘","43.4000","永豐餘年報所稱三大事業群（林漿紙事業群、工紙紙器事業群、消費品事業群）之台灣、大陸、越南三地共合計共35個生產據點。 可再生能源包含：SRF、回收紙渣、廢膠片、餘泥、沼氣、木質素、樹皮、廢木材、木片、木屑等。","ISO 50001"
"=""1909""","榮成","0.0530","全台灣廠區","ISO 50001"
"=""2002""","中鋼","0.0001","母公司","ISO 50001"
"=""2006""","東和鋼鐵","0.0000","母公司","ISO 50001"
"=""2007""","燁興","無，太陽能光電設備設置中","","ISO 50001"
"=""2008""","高興昌","無，無使用再生能源","",""
"=""2009""","第一銅","0.0000","無使用再生能源",""
"=""2010""","春源","無，無統計相關數據","",""
"=""2012""","春雨","無，無統計相關數據","",""
"=""2013""","中鋼構","無，目前無使用再生能源","",""
"=""2014""","中鴻","0.0000","母公司","ISO 50001"
"=""2015""","豐興","無，2023年底前建置(購買)完成自有及租賃客戶等場地之太陽光電發電系統，預計設置容量為19.9MW。","",""
"=""2017""","官田鋼","無，無統計相關數據","",""
"=""2020""","美亞","無，無統計相關數據","",""
"=""2022""","聚亨","無，無統計相關數據","",""
"=""2023""","燁輝","0.0000","燁輝企業股份有限公司(僅母公司)","ISO 50001"
"=""2024""","志聯","無，無統計相關數據","","ISO 50001"
"=""2025""","千興","無，無統計相關數據","",""
"=""2027""","大成鋼","無，未採用其他再生能源","",""
"=""2028""","威致","無，無統計相關數據","",""
"=""2029""","盛餘","0.6294","太陽能/電力+天然氣+蒸氣+汽柴油(熱值)","ISO 50001"
"=""2030""","彰源","無，無統計相關數據","",""
"=""2031""","新光鋼","無，統計相關數據，預計2023年度導入ISO 50001","",""
"=""2032""","新鋼","無，無統計相關數據","",""
"=""2033""","佳大","無，無統計相關數據","",""
"=""2034""","允強","0.0000","2022年四廠總用電量合計為 35292仟度，斗一廠和斗二廠太陽能發電量為 4728仟度全數出售，預計將於2025年轉為自發自用。","ISO 50001"
"=""2038""","海光","無，無使用","",""
"=""2049""","上銀","無，2019年設置485.75kW太陽能發電量，並與電力公司線路並聯投入綠能發電。累積至2022年建置535.11kW太陽能綠電，發電容量累積2,816,064kW，預計2023年第二季將535.11kW轉為自發自用。","","ISO 50001:2018                                                                                                                                                                                          "
"=""2059""","川湖","無，無再生能源設備","",""
"=""2062""","橋椿","無，無統計相關數據","","GRI準則                                                                                                                                                                                                 "
"=""2069""","運錩","無，無統計相關數據","",""
"=""2072""","世紀風電","N/A","N/A",""
"=""2101""","南港","無，無統計相關數據","",""
"=""2102""","泰豐","無，無統計相關數據","",""
"=""2103""","台橡","0.0000","合併財務報表之母子公司","中華民國會計研究發展基金會所發佈確信準則公報3000號進行SASB指標之有限確信                                                                                                                                "
