"報告年度:2021","議題:能源管理"
"公司代號","公司名稱","使用率(再生能源/總能源)-使用率(再生能源/總能源)","資料範圍-資料範圍","取得驗證-取得驗證"
"=""6477""","安集","無，無統計相關數據","",""
"=""6491""","晶碩","無，無統計相關數據","",""
"=""6504""","南六","無，無統計相關數據","",""
"=""6505""","台塑化","0.0000","母公司",""
"=""6515""","穎崴","無，無統計相關數據","",""
"=""6525""","捷敏-KY","無，無統計相關數據","",""
"=""6526""","達發","N/A","N/A",""
"=""6531""","愛普*","無，無統計相關數據","",""
"=""6533""","晶心科","無，無統計相關數據","",""
"=""6534""","正瀚-創","N/A","N/A",""
"=""6541""","泰福-KY","無，無統計相關數據","",""
"=""6550""","北極星藥業-KY","無，無統計相關數據","",""
"=""6552""","易華電","無，無統計相關數據","",""
"=""6558""","興能高","無，無統計相關數據","",""
"=""6573""","虹揚-KY","無，未有使用再生能源","",""
"=""6579""","研揚","無，無統計相關數據","",""
"=""6581""","鋼聯","1.5661","僅母公司。",""
"=""6582""","申豐","無，無統計相關數據","",""
"=""6585""","鼎基","無，無統計相關數據","",""
"=""6589""","台康生技","無，無統計相關數據","",""
"=""6591""","動力-KY","無，無統計相關數據","",""
"=""6592""","和潤企業","無，詳年報說明","",""
"=""6598""","ABC-KY","無，無統計相關數據","",""
"=""6605""","帝寶","0.0000","0%",""
"=""6614""","資拓宏宇","N/A","N/A",""
"=""6625""","必應","無，無統計相關數據","",""
"=""6641""","基士德-KY","51.0000","合併報表之子公司之一-川源(中國)平湖廠區",""
"=""6645""","金萬林-創","N/A","N/A",""
"=""6655""","科定","無，無統計相關數據","",""
"=""6658""","聯策","N/A","N/A",""
"=""6666""","羅麗芬-KY","無，無統計相關數據","","ISO 50001"
"=""6668""","中揚光","無，無使用再生能源","",""
"=""6669""","緯穎","無，已簽訂綠電購電合約，再生能源使用申請持續進行中。","","ISO 50001"
"=""6670""","復盛應用","4.8000","桃園廠",""
"=""6671""","三能-KY","無，無統計相關數據","",""
"=""6672""","騰輝電子-KY","無，無統計相關數據","",""
"=""6674""","鋐寶科技","無，無統計相關數據","","                                                                                                                                                                                                        "
"=""6691""","洋基工程","無，無統計相關數據","",""
"=""6698""","旭暉應材","0.0000","僅母公司",""
"=""6706""","惠特","無，本公司不適用","",""
"=""6715""","嘉基","無，無統計相關數據","",""
"=""6719""","力智","無，無統計相關數據","",""
"=""6722""","輝創","N/A","N/A",""
"=""6742""","澤米","N/A","N/A",""
"=""6743""","安普新","無，無統計相關數據","",""
"=""6754""","匯僑設計","無，無統計相關數據","",""
"=""6756""","威鋒電子","無，無統計相關數據","",""
"=""6757""","台灣虎航","N/A","N/A",""
"=""6768""","志強-KY","無，無統計相關數據","",""
"=""6770""","力積電","0.0000","母公司","ISO 50001"
"=""6771""","平和環保-創","N/A","N/A",""
"=""6776""","展碁國際","0.0000","僅申報公司",""
"=""6781""","AES-KY","無，正在規劃推動再生能源使用","",""
"=""6789""","采鈺","3.3665","采鈺新竹廠及中壢廠","ISO 50001"
"=""6790""","永豐實","無，為了發展再生能源，本公司陸續於台灣生產據點擴增太陽能發電系統。目前在臺灣紙品工廠楊梅廠及清水廠出租屋頂供第三方使用，或售予台電。預計2023年底逐步轉為自發自用。","","ISO 50001"
"=""6792""","詠業","無，目前無使用任何再生能源","",""
"=""6794""","向榮生技","N/A","N/A",""
"=""6796""","晉弘","無，無統計相關數據","",""
"=""6799""","來頡","無，未使用再生能源","",""
"=""6805""","富世達","N/A","N/A",""
"=""6806""","森崴能源","0.0000","僅母公司",""
"=""6807""","峰源-KY","無，無統計相關數據","",""
"=""6831""","邁科","N/A","N/A",""
"=""6838""","台新藥","N/A","N/A",""
"=""6862""","三集瑞-KY","N/A","N/A",""
"=""6885""","全福生技","N/A","N/A",""
"=""6887""","寶綠特-KY","N/A","N/A",""
"=""6890""","來億-KY","N/A","N/A",""
"=""6901""","鑽石投資","N/A","N/A",""
"=""6902""","GOGOLOOK","N/A","N/A",""
"=""6906""","現觀科","N/A","N/A",""
"=""6908""","宏碁遊戲-創","N/A","N/A",""
"=""6909""","創控","N/A","N/A",""
"=""6914""","阜爾運通","N/A","N/A",""
"=""6916""","華凌","N/A","N/A",""
"=""6918""","愛派司","N/A","N/A",""
"=""6919""","康霈*","N/A","N/A",""
"=""6921""","嘉雨思-創","N/A","N/A",""
"=""6923""","中台","N/A","N/A",""
"=""6924""","榮惠-KY創","N/A","N/A",""
"=""6928""","攸泰科技","N/A","N/A",""
"=""6931""","青松健康","N/A","N/A",""
"=""6933""","AMAX-KY","N/A","N/A",""
"=""6934""","心誠鎂","N/A","N/A",""
"=""6936""","永鴻生技","N/A","N/A",""
"=""6937""","天虹","N/A","N/A",""
"=""6944""","兆聯實業","N/A","N/A",""
"=""6949""","沛爾生醫-創","N/A","N/A",""
"=""6951""","青新-創","N/A","N/A",""
"=""6952""","大武山","N/A","N/A",""
"=""6955""","邦睿生技-創","N/A","N/A",""
"=""6957""","裕慶-KY","N/A","N/A",""
"=""6958""","日盛台駿","N/A","N/A",""
"=""6962""","奕力-KY","N/A","N/A",""
"=""6965""","中傑-KY","N/A","N/A",""
"=""6969""","成信實業*-創","N/A","N/A",""
"=""6988""","威力暘-創","N/A","N/A",""
"=""6994""","富威電力","N/A","N/A",""
"=""7610""","聯友金屬-創","N/A","N/A",""
"=""7631""","聚賢研發-創","N/A","N/A",""
"=""7705""","三商餐飲","N/A","N/A",""
"=""7711""","永擎","N/A","N/A",""
"=""7721""","微程式","N/A","N/A",""
"=""7722""","LINEPAY","N/A","N/A",""
"=""7730""","暉盛-創","N/A","N/A",""
"=""7732""","金興精密","N/A","N/A",""
"=""7736""","虎山","N/A","N/A",""
"=""7740""","熙特爾-創","N/A","N/A",""
"=""7749""","意騰-KY","N/A","N/A",""
"=""7750""","新代","N/A","N/A",""
"=""7765""","中華資安","N/A","N/A",""
"=""7769""","鴻勁","N/A","N/A",""
"=""7780""","大研生醫*","N/A","N/A",""
"=""7786""","東方風能","N/A","N/A",""
"=""7788""","松川精密","N/A","N/A",""
"=""7791""","皇家可口","N/A","N/A",""
"=""7795""","長廣","N/A","N/A",""
"=""7799""","禾榮科","N/A","N/A",""
"=""7822""","倍利科","N/A","N/A",""
"=""7823""","奧義賽博-KY創","N/A","N/A",""
"=""8011""","台通","無，無統計相關數據","",""
"=""8016""","矽創","無，無統計相關數據","",""
"=""8021""","尖點","1.0000","僅母公司",""
"=""8028""","昇陽半導體","無，本司無使用再生能源","",""
"=""8033""","雷虎","無，無統計相關數據","",""
"=""8039""","台虹","0.0000","母公司",""
"=""8045""","達運光電","N/A","N/A",""
"=""8046""","南電","0.0000","母公司",""
"=""8070""","長華*","12.6500","包含合併財務報表之母子公司",""
"=""8072""","陞泰","無，無統計相關數據","",""
"=""8081""","致新","無，無統計相關數據","",""
"=""8101""","華冠","無，無統計相關數據","",""
"=""8103""","瀚荃","無，無統計相關數據","",""
"=""8104""","錸寶","0.2000","母公司-錸寶",""
"=""8105""","凌巨","無，無統計相關數據","",""
"=""8110""","華東","無，待業務提出客戶需求量後才開始購買","",""
"=""8112""","至上","無，無統計相關數據","",""
"=""8114""","振樺電","無，無統計相關數據","",""
"=""8131""","福懋科","無，未設置，預計2023年建成，2024年啟用。","","ISO 50001"
"=""8150""","南茂","無，太陽能預計分別在112~113年建置完成達總用電量1.7%。","","ISO 50001"
"=""8162""","微矽電子-創","N/A","N/A",""
"=""8163""","達方","4.4363","台灣廠區+中國廠區",""
"=""8201""","無敵","0.0000","母公司",""
"=""8210""","勤誠","無，無統計相關數據","",""
"=""8213""","志超","無，無統計相關數據","",""
"=""8215""","明基材","1.8551","桃園廠區、雲林廠區及大陸廠區","ISO 50001"
"=""8222""","寶一","無，無統計相關數據","",""
"=""8249""","菱光","無，無統計相關數據","",""
"=""8261""","富鼎","無，無統計相關數據","",""
"=""8271""","宇瞻","無，無使用再生能源","",""
"=""8341""","日友","無，無統計相關數據","",""
"=""8367""","建新國際","無，無統計相關數據","",""
"=""8374""","羅昇","無，無統計相關數據","",""
"=""8404""","百和興業-KY","14.4300","江蘇百宏複合材料科技股份有限公司(原公司名稱:無錫百和織造股份有限公司)、東莞百宏實業有限公司、越南百宏責任有限公司",""
"=""8411""","福貞-KY","無，無統計相關數據","","ISO 5001:2018                                                                                                                                                                                           "
"=""8422""","可寧衛*","無，躉售台電","",""
"=""8429""","金麗-KY","無，無統計相關數據","",""
"=""8438""","昶昕","無，公司能源為外購自「大園汽電共生股份有限公司」及「更安立有限公司」，其皆採再生能源發電。","",""
"=""8442""","威宏-KY","無，無統計相關數據","",""
"=""8443""","阿瘦","無，不適用","",""
"=""8454""","富邦媒","無，目前規劃建置的南區物流中心及未來其他自購自建倉儲，將評估設置太陽能板，透過自建再生能源系統之使用提高未來再生能源使用率","",""
"=""8462""","柏文","無，無統計相關數據","",""
"=""8463""","潤泰材","無，無統計相關數據","",""
"=""8464""","億豐","無，待2021年ESG資料盤整完畢","",""
"=""8466""","美吉吉-KY","無，無統計相關數據","",""
"=""8467""","波力-KY","15.0000","2021年",""
"=""8473""","山林水","無，無統計相關數據","",""
"=""8476""","台境*","無，無統計相關數據","",""
"=""8478""","東哥遊艇","無，無統計相關數據","",""
"=""8481""","政伸","無，無統計相關數據","",""
"=""8482""","商億-KY","無，無統計相關數據","",""
"=""8487""","愛爾達-創","N/A","N/A",""
"=""8488""","吉源-KY","無，無統計相關數據","",""
"=""8499""","鼎炫-KY","無，無統計相關數據","",""
"=""8926""","台汽電","無，目前總部台北辦公室為租賃場域，因無獨立電表故無法單獨申請綠電轉供，官田汽電共生廠則已於廠房屋頂設置太陽能板，唯目前躉售予台電公司。","",""
"=""8940""","新天地","無，無統計相關數據","",""
"=""8996""","高力","無，詳年報說明","",""
"=""9103""","美德醫療-DR","N/A","N/A",""
"=""910322""","康師傅-DR","N/A","N/A",""
"=""9105""","泰金寶-DR","N/A","N/A",""
"=""910861""","神州-DR","N/A","N/A",""
"=""9110""","越南控-DR","N/A","N/A",""
"=""911608""","明輝-DR","N/A","N/A",""
"=""911622""","泰聚亨-DR","N/A","N/A",""
"=""911868""","同方友友-DR","N/A","N/A",""
"=""912000""","晨訊科-DR","N/A","N/A",""
"=""9136""","巨騰-DR","N/A","N/A",""
"=""9802""","鈺齊-KY","4.9301","中國和誠廠、柬埔寨齊鼎廠、越南鈺齊廠",""
"=""9902""","台火","無，無統計相關數據","",""
"=""9904""","寶成","5.9561","本公司製鞋廠區",""
"=""9905""","大華","無，無統計相關數據","",""
"=""9906""","欣巴巴","無，無統計相關數據","",""
"=""9907""","統一實","無，目前總公司並無使用再生能源","",""
"=""9908""","大台北","無，無統計相關數據","","ISO 50001"
"=""9910""","豐泰","6.3300","包含合併財務報表之母子公司",""
"=""9911""","櫻花","無，無統計相關數據","",""
"=""9912""","偉聯","無，無統計相關數據","",""
"=""9914""","美利達","0.0000","僅母公司",""
"=""9917""","中保科","無，無統計相關數據","",""
"=""9918""","欣天然","無，無統計相關數據","",""
"=""9919""","康那香","0.0000","僅個體公司所有製造廠區(不含分公司)",""
"=""9921""","巨大","0.0000","僅母公司日南廠",""
"=""9924""","福興","無，無統計相關數據","","                                                                                                                                                                                                        "
"=""9925""","新保","無，無統計相關數據","",""
"=""9926""","新海","無，無統計相關數據","",""
"=""9927""","泰銘","無，無統計相關數據","",""
"=""9928""","中視","無，無統計相關數據","",""
"=""9929""","秋雨","無，無統計相關數據","",""
"=""9930""","中聯資源","無，計劃自112年購買再生能源約1%。","","ISO 50001"
"=""9931""","欣高","無，無統計相關數據","",""
"=""9933""","中鼎","無，目前無使用","",""
"=""9934""","成霖","無，無統計相關數據","",""
"=""9935""","慶豐富","0.0000","僅母公司",""
"=""9937""","全國","0.0000","涵蓋本公司所有營運據點及同為經營加油站之子公司埔祥開發(股)公司及上員(股)公司",""
"=""9938""","百和","無，無統計相關數據","",""
"=""9939""","宏全","無，無統計相關數據","",""
"=""9940""","信義","2.8372","信義房屋股份有限公司","ISO 14001、ISO50001、 ISO46001                                                                                                                                                                          "
"=""9941""","裕融","0.0000","母公司+子公司新鑫、裕富數位",""
"=""9942""","茂順","無，無統計相關數據","",""
"=""9943""","好樂迪","無，無統計相關數據","",""
"=""9944""","新麗","無，無統計相關數據","",""
"=""9945""","潤泰新","無，無統計相關數據","",""
"=""9946""","三發地產","無，無統計相關數據","",""
"=""9955""","佳龍","無，無統計相關數據","",""
"=""9958""","世紀鋼","無，無統計相關數據","","ISO 50001"
