"報告年度:2021","議題:董事會"
"公司代號","公司名稱","董事席次(含獨立董事)(席)-董事席次(含獨立董事)(席)","獨立董事席次(席)-獨立董事席次(席)","女性董事席次及比率-席","女性董事席次及比率-比率","董事出席董事會出席率-董事出席董事會出席率","董事進修時數符合進修要點比率-董事進修時數符合進修要點比率"
"=""2374""","佳能","9","3","0","0.00%","100.00%","100.00%"
"=""2375""","凱美","5","2","0","0.00%","92.31%","40.00%"
"=""2376""","技嘉","9","3","0","0.00%","98.04%","100.00%"
"=""2377""","微星","11","3","1","9.09%","100.00%","100.00%"
"=""2379""","瑞昱","10","3","1","10.00%","98.00%","30.00%"
"=""2380""","虹光","7","4","0","0.00%","96.36%","100.00%"
"=""2382""","廣達","6","3","0","0.00%","97.62%","42.86%"
"=""2383""","台光電","7","3","0","0.00%","98.00%","100.00%"
"=""2385""","群光","8","3","1","12.50%","97.50%","100.00%"
"=""2387""","精元","7","2","4","57.14%","97.62%","42.86%"
"=""2388""","威盛","7","3","1","14.29%","95.24%","100.00%"
"=""2390""","云辰","7","3","3","43.00%","98.00%","100.00%"
"=""2392""","正崴","9","3","1","11.11%","100.00%","33.33%"
"=""2393""","億光","9","4","0","0.00%","97.00%","100.00%"
"=""2395""","研華","7","3","1","14.00%","94.00%","100.00%"
"=""2397""","友通","7","3","0","0.00%","100.00%","100.00%"
"=""2399""","映泰","7","3","1","14.28%","100.00%","14.28%"
"=""2401""","凌陽","7","4","0","0.00%","98.90%","100.00%"
"=""2402""","毅嘉","7","3","1","14.29%","97.14%","71.43%"
"=""2404""","漢唐","9","3","2","22.22%","98.88%","77.77%"
"=""2405""","輔信","7","3","4","57.14%","98.70%","100.00%"
"=""2406""","國碩","7","3","1","14.28%","96.00%","100.00%"
"=""2408""","南亞科","12","3","2","16.67%","95.83%","100.00%"
"=""2409""","友達","8","5","2","25.00%","98.04%","100.00%"
"=""2412""","中華電","13","5","1","7.69%","97.20%","100.00%"
"=""2413""","環科","8","3","2","18.00%","98.00%","100.00%"
"=""2414""","精技","9","3","1","11.11%","100.00%","100.00%"
"=""2415""","錩新","7","3","1","14.20%","96.00%","56.00%"
"=""2417""","圓剛","7","3","0","0.00%","98.33%","100.00%"
"=""2419""","仲琦","10","3","2","20.00%","100.00%","100.00%"
"=""2420""","新巨","7","2","0","0.00%","97.96%","100.00%"
"=""2421""","建準","9","4","3","33.33%","94.44%","55.56%"
"=""2423""","固緯","9","3","1","11.11%","96.00%","78.00%"
"=""2424""","隴華","9","4","1","11.00%","95.00%","33.00%"
"=""2425""","承啟","5","2","0","0.00%","93.33%","35.71%"
"=""2426""","鼎元","7","3","1","14.00%","93.90%","100.00%"
"=""2427""","三商電","7","2","0","0.00%","97.62%","100.00%"
"=""2428""","興勤","7","3","1","14.29%","97.96%","100.00%"
"=""2429""","銘旺科","7","2","0","0.00%","98.00%","42.00%"
"=""2430""","燦坤","7","3","1","14.29%","98.21%","100.00%"
"=""2431""","聯昌","10","3","2","0.20%","97.75%","100.00%"
"=""2433""","互盛電","7","3","1","14.29%","96.43%","100.00%"
"=""2434""","統懋","7","3","4","57.14%","80.76%","28.57%"
"=""2436""","偉詮電","7","2","1","14.00%","100.00%","100.00%"
"=""2438""","翔耀","7","3","1","14.00%","100.00%","42.28%"
"=""2439""","美律","9","3","1","11.00%","100.00%","100.00%"
"=""2440""","太空梭","7","3","1","14.29%","100.00%","14.29%"
"=""2441""","超豐","9","3","0","0.00%","93.65%","44.40%"
"=""2442""","新美齊","7","3","0","0.00%","100.00%","100.00%"
"=""2444""","兆勁","6","3","2","33.33%","96.77%","100.00%"
"=""2449""","京元電子","9","3","0","0.00%","100.00%","44.44%"
"=""2450""","神腦","11","3","0","0.00%","100.00%","54.54%"
"=""2451""","創見","9","3","2","22.22%","91.11%","100.00%"
"=""2453""","凌群","7","3","2","29.00%","100.00%","57.00%"
"=""2454""","聯發科","8","3","0","0.00%","98.68%","100.00%"
"=""2455""","全新","11","3","1","9.09%","95.45%","81.82%"
