報告年度:2021,議題:廢棄物管理,,,,,,,
公司代號,公司名稱,有害廢棄物(公噸(t))-有害廢棄物(公噸(t)),非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t)),總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t)),資料範圍-資料範圍,廢棄物密集度-密集度(公噸/單位),廢棄物密集度-單位,取得驗證-取得驗證
1617,榮星,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1618,合機,0,0,55.29,110年1-12月(全年),無，無統計相關數據,,ISO 14001
1623,大東電,,,,,,,N/A
1626,艾美特-KY,169.44,24.84,194.28,營運地深圳艾美特+九江艾美特,194.28,營業額,
1702,南僑,30,13912,13942,資訊涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業,0.701,營業額,
1707,葡萄王,7.02,1962.54,1969.56,葡萄王生技,0.201,每百萬營收                                                                                                                                                                                              ,ISO 14001
1708,東鹼,0,934.96,934.96,僅母公司,5.74,百萬營業額                                                                                                                                                                                              ,ISO 14001
1709,和益,0.02,201.2,201.22,僅母公司林園工廠,0.0305,百萬營業額                                                                                                                                                                                              ,
1710,東聯,0.03,708.36,708.39,母公司,0,營業額；單位：公噸/仟元                                                                                                                                                                                 ,
1711,永光,2029.9,9515.5,11545.4,合併財務報表之母子公司生產型廠區,1.2,百萬元產值                                                                                                                                                                                              ,ISO 14001                                                                                                                                                                                               
1712,興農,1.77,1773.53,1775.3,母公司王田廠區(王田廠、王田二廠、生物工廠),0.16,植物保護產品佰萬元銷售額                                                                                                                                                                                ,ISO 14001
1713,國化,0,0,198.51,屏南分公司,198.51,產品,
1714,和桐,0,94.97,94.97,高雄仁武廠,0.0031,產品,
1717,長興,4400,6164,10564,母公司(台灣三廠區),0.052,產品,
1718,中纖,0.0716,21477,21477.0716,110年度申報量,0.0374,營業額573445.0898萬元                                                                                                                                                                                   ,
1720,生達,178.87,244.997,423.867,生達一廠+生達二廠,14.9,營業額,
1721,三晃,209.4,2169.1,2378.5,母公司,0.0969,產品,確信準則公報第一號                                                                                                                                                                                      
1722,台肥,191,324.74,515.74,母公司台中廠、苗栗廠、花蓮廠,0.0005,產品,ISO 14001
1723,中碳,0,0,193.42,小港廠+屏南廠,193.42,營業額,
1725,元禎,0,0,18.12,母公司,0.0022,百萬元營業額                                                                                                                                                                                            ,
1726,永記,448.71,676.01,1124.72,20210101-20211231,無，無統計相關數據,,ISO9001及ISO14001                                                                                                                                                                                       
1727,中華化,215.99,554.311,770.301,桃園一廠、桃園二廠,0.009,產品,
1730,花仙子,0.19,68.23,68.42,母公司,21.8,營業額,
1731,美吾華,0,0,24.025,台北總公司、台中及高雄服務中心、楊梅工廠及物流中心,無，無統計相關數據,,
1732,毛寶,0,527.08,527.08,母公司,0.85,噸CO2e/百萬營收                                                                                                                                                                                         ,
1733,五鼎,1.4987,163.17,164.6687,母公司,0.0001,營業額,
1734,杏輝,11,236.389,247.389,母公司,0.0001,營業額仟元                                                                                                                                                                                              ,ISO 14001
1735,日勝化,1.99,563.85,565.84,母公司(未包含再利用廢棄物44.117公噸),0.0295,產品,
1736,喬山,無，詳年報說明,無，詳年報說明,無，詳年報說明,,無，無統計相關數據,,
1737,臺鹽,0,0,623.48,生活垃圾、其他廢玻璃、陶瓷、磚、瓦及黏土等混合物、無機性污泥、滅菌後之非感染性事業廢棄物、毒性化合物-汞、廢紙、廢潤滑油、廢塑膠、廢鐵,無，無統計相關數據,,
1752,南光,9.7,203.802,213.502,母公司,11.9945,營業額,
1760,寶齡富錦,2.9,29.82,32.72,寶齡富錦生技股份有限公司平鎮廠,0.0001,每仟元產值                                                                                                                                                                                              ,
1762,中化生,1368,386,1754,母公司,0.009,產品,
1773,勝一,0,864.35,864.35,母公司,0.004,產品,
1776,展宇,13.07,401.58,414.65,範圍為母公司(第一廠及第二廠),0.547,以佰萬元營業額為單位                                                                                                                                                                                    ,
1783,和康生,0,0,29.795,母公司,無，無統計相關數據,,
1786,科妍,0.038,61,61.038,母公司,無，無統計相關數據,,
1789,神隆,2382,549,2931,僅母公司，2021年1月~12月,無，無統計相關數據,,
1795,美時,58.38,177.18,235.56,母公司及重要子公司生產基地及研發中心,0.19,千萬元營業額                                                                                                                                                                                            ,
1802,台玻,56.76,22474,22530.76,2021ESG報告書,無，無統計相關數據,,ISO 14001
1805,寶徠,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1806,冠軍,0,18045.56,18045.56,工廠,0.0018,產品,ISO 14001
1808,潤隆,0,559.5,559.5,僅本公司基隆德安A區建案,無，無統計相關數據,,
1809,中釉,0,169.69,169.69,僅母公司,0.0053,產品,
1810,和成,3.05,4747.82,4750.87,母公司,1.3109,營業額,ISO 14001
1817,凱撒衛,0,62.27,62.27,母公司,0.38,百萬營業額                                                                                                                                                                                              ,
1903,士紙,無，依規定本公司屬資本額50億元以下之公司別，應於第三階段完成溫室氣體盤查(115年)，本公司預計於112年啟動執行。,無，依規定本公司屬資本額50億元以下之公司別，應於第三階段完成溫室氣體盤查(115年)，本公司預計於112年啟動執行。,無，依規定本公司屬資本額50億元以下之公司別，應於第三階段完成溫室氣體盤查(115年)，本公司預計於112年啟動執行。,,無，依規定本公司屬資本額50億元以下之公司別，應於第三階段完成溫室氣體盤查(115年)，本公司預計於112年啟動執行。,,
1904,正隆,0,339915,339915,母公司,0.2042,"噸/噸(工紙、家品、紙與紙板) ；339,915/1,664,365 (造紙廠)                                                                                                                                                ",
1905,華紙,0,239843,239843,華紙合併財報之台灣、大陸生產據點,無，詳永續報告書說明,,
1906,寶隆,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1907,永豐餘,249,571600,571849,永豐餘年報所稱三大事業群（林漿紙事業群、工紙紙器事業群、消費品事業群）之台灣、大陸、越南三地共合計共35個生產據點。,0.04,產品,
1909,榮成,25.75,56549.62,56575.37,僅母公司,無，無統計相關數據,,
2002,中鋼,46.3,567880.8,567927.1,母公司,58.6,廢棄物量(公斤)/鋼胚(公噸)                                                                                                                                                                               ,ISO 14001
2006,東和鋼鐵,35733,350135,385868,母公司生產廠區 (桃園廠、苗栗廠、高雄廠),0.183,鋼胚產量                                                                                                                                                                                                ,ISO 14001
2007,燁興,710.75,9130.94,9841.69,本公司,無，無統計相關數據,,
2008,高興昌,0,509.18,509.18,110年屏南廠區,0.01,產品,ISO 14001
2009,第一銅,870.076,370.78,1240.856,僅計算第一伸銅科技股份有限公司臨海廠,0.0923,產品,ISO 14001
