報告年度:2021,議題:廢棄物管理,,,,,,,
公司代號,公司名稱,有害廢棄物(公噸(t))-有害廢棄物(公噸(t)),非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t)),總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t)),資料範圍-資料範圍,廢棄物密集度-密集度(公噸/單位),廢棄物密集度-單位,取得驗證-取得驗證
2889,國票金,無，目前正委請顧問進行盤查,無，目前正委請顧問進行盤查,無，目前正委請顧問進行盤查,,無，目前正委請顧問進行盤查,,
2890,永豐金,0,0,563.056,金控及旗下5家主要子公司（永豐銀行、永豐金證券、永豐投信、永豐金租賃、永豐創業投資） 之國內所有營運據點納入統計範疇。,0.0667,每人                                                                                                                                                                                                    ,"AA1000 Assurance Standard v3, Type 2 Moderate level of assurance                                                                                                                                        "
2891,中信金,0,0,1014,中信銀行全據點及總部各子公司,0.068,人                                                                                                                                                                                                      ,ISO14064-1:2018                                                                                                                                                                                         
2892,第一金,0,0,280,國內全數營運據點。,0.03,"280公噸/9,420人=0.030公噸                                                                                                                                                                               ",ISO 14001
2897,王道銀行,0,96.55,96.55,母公司總部大樓，並包含2家子公司(中華票券金融股份有限公司、台灣工銀租賃股份有限公司)之總部廢棄物量,0.157,員工人數                                                                                                                                                                                                ,ISO 14001
2901,欣欣,0,192.4,192.4,包含合併財務報表之母子公司,無，無統計相關數據,,
2903,遠百,0,0,6776,僅母公司,14.45,億元營業額                                                                                                                                                                                              ,
2904,匯僑,0,0,47.22,臺中港西二及西五槽區,無，無統計相關數據,,
2905,三商,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2906,高林,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2908,特力,0,0,402.6,特力(股)總部及楊梅物流中心,0.02,百萬營收                                                                                                                                                                                                ,
2910,統領,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2911,麗嬰房,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2912,統一超,0,0,56156.01,"實際統計包含總部大樓及1,010家門市、推估值包含9 處區辦公室及5,369家門市。",7.4,門市數                                                                                                                                                                                                  ,AA1000 type2                                                                                                                                                                                            
2913,農林,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2915,潤泰全,無，本公司廢棄物均為員工日常辦公所產生之辦公廢棄物總量不高，且因係委託大樓管理單位與其他大樓用戶共同處理，統計困難。且經評估後認為廢棄物項目不具重大性故暫不予統計。,無，本公司廢棄物均為員工日常辦公所產生之辦公廢棄物總量不高，且因係委託大樓管理單位與其他大樓用戶共同處理，統計困難。且經評估後認為廢棄物項目不具重大性故暫不予統計。,無，本公司廢棄物均為員工日常辦公所產生之辦公廢棄物總量不高，且因係委託大樓管理單位與其他大樓用戶共同處理，統計困難。且經評估後認為廢棄物項目不具重大性故暫不予統計。,,無，無統計相關數據,,
2923,鼎固-KY,0,0,27969.25,包含上海打浦橋日月光中心、上海嘉定日月光中心、上海御華山以及重慶日月光中心，共計四據點。,0.58,新台幣十萬元營收                                                                                                                                                                                        ,
2929,淘帝-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2939,永邑-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2945,三商家購,0,0,300,物流部紙箱回收數據,無，無統計相關數據,,
3002,歐格,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3003,健和興,0,0,109.55,母公司,0,產品,ISO 14001
3004,豐達科,0,0,387.29,母公司,0.3,單位:百萬營業額                                                                                                                                                                                         ,ISO9001、ISO14001                                                                                                                                                                                       
3005,神基,1629.68,4250.46,5880.14,涵蓋神基投控暨其八家子公司,0.1955,營業額,GRI Standards核心依循選項與AA 1000 ASv3 Type1 中度保證等級的要求                                                                                                                                        
3006,晶豪科,0.8707,16.255,17.1257,母公司,0.0007,廢棄物量/百萬營業額(個體)                                                                                                                                                                               ,
3008,大立光,25,2472,2497,母公司,無，無統計相關數據,,
3010,華立,0,5.5,5.5,僅母公司,無，無統計相關數據,,
3011,今皓,無，尚在評估中,無，尚在評估中,無，尚在評估中,,無，尚在評估中,,
3013,晟銘電,172,4341,4513,包含合併財務報表之母子公司,無，無統計相關數據,,
3014,聯陽,2.14,184.5,186.64,母公司,無，無統計相關數據,,
3015,全漢,0,0,262.12,母公司與部分子公司的一般事業廢棄物,0.0157,百萬營業額                                                                                                                                                                                              ,
3016,嘉晶,5.2724,133.3044,138.5768,僅母公司,0.0015,產品,ISO 14001
3017,奇鋐,574.41,1674.79,2249.2,台灣高雄、深圳奇宏/興奇宏、東莞明鑫/興奇宏、成都奇宏、武漢奇宏/興奇宏、嘉善萬順達,4.75,"廢棄物總量/營業額= 2249.20噸/ 47,332 TWD’M=4.75%                                                                                                                                                       ",
3018,隆銘綠能,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3019,亞光,無，委託合法清運業者清除,無，委託合法清運業者清除,無，委託合法清運業者清除,,無，委託合法清運業者清除,,
3021,鴻名,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3022,威強電,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3023,信邦,95.48,862.76,958.24,集團100%持股之11個據點,0.003,"95.48(噸)/25,530.706(新台幣百萬元,2021年營收) = 0.003                                                                                                                                                   ",ISO 14001
3024,憶聲,0,12,12,總公司辦公室,無，無統計相關數據,,
3025,星通,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3026,禾伸堂,0,0,1114.06,母公司,0.06,產品,
3027,盛達,無，預計9月底申報,無，預計9月底申報,無，預計9月底申報,,無，預計9月底申報,,
3028,增你強,0,0,26.3,母公司,0.0006,營業額,
3029,零壹,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3030,德律,0,54.694,54.694,母公司,0.0003,產品,TUV:ISO 9001                                                                                                                                                                                            
3031,佰鴻,0,309.7,309.7,含合併報表母子公司,0.202,佰萬營收                                                                                                                                                                                                ,
3032,偉訓,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3033,威健,0,21.484,21.484,威健在台灣營運據點為主（臺北內湖總公司、內湖倉儲中心、桃園倉儲中心及中南部聯絡處(新竹、臺中及高雄)）,0.0019,公噸/樓地板面積m2                                                                                                                                                                                       ,
3034,聯詠,36.99,47.1,84.09,母公司,0.0006,新臺幣百萬營業額                                                                                                                                                                                        ,
3035,智原,0,0,14.67,母公司,0.002,營業額,
3036,文曄,0,118.33,118.33,包含合併財務報表母子公司之台灣各營運據點,無，無統計相關數據,,
3037,欣興,0,0,121941,母公司及部份子公司,1.17,百萬元營業額                                                                                                                                                                                            ,ISO 14001
3038,全台,32,192,224,母公司及東莞廠,0.23,每一標準工時產出量                                                                                                                                                                                      ,
3040,遠見,0,500,500,母公司,無，無工廠，無生產行為,,
3041,揚智,0,0,41,僅母公司,0.0006,產品,
3042,晶技,144.9,84.71,229.61,台灣晶技平鎮廠,0.0197,以個體營收計算，單位 : 新臺幣佰萬元                                                                                                                                                                     ,ISO 14001
3043,科風,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3044,健鼎,130567,39994,170561,健鼎-平鎮/無錫/湖北廠區,0.0027,營業額,"由UL驗證的Zero Waste to Landfill Platinum Operations零填埋白金等級認證,詳見我司官網www.tripod-tech.com                                                                                                  "
3045,台灣大,0,1625.0653,1625.0653,2021,0,營業額,依中華民國會計研究發展基金會確信準則公報第1號「非屬歷史性財務資訊查核或核閱之確信案件」進行有限確信                                                                                                     
3046,建碁,0,0,2,包含合併財務報表之母子公司,0,百萬營業額                                                                                                                                                                                              ,
3047,訊舟,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3048,益登,0,0,8,僅母公司(台灣區),0.0001,百萬營業額                                                                                                                                                                                              ,
3049,精金,356.15,1088.63,1444.78,和鑫光電股份有限公司,0.0029,產品,
3050,鈺德,195,52,247,僅母公司,無，無統計相關數據,,ISO 14001
3051,力特,0,542.54,542.54,母公司,0.17,營業額,ISO 14001
3052,夆典,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3054,立萬利,無，本公司之產品皆委由加工廠製造生產，無生產所產生之廢棄物，故無相關資訊。,無，本公司之產品皆委由加工廠製造生產，無生產所產生之廢棄物，故無相關資訊。,無，本公司之產品皆委由加工廠製造生產，無生產所產生之廢棄物，故無相關資訊。,,無，本公司之產品皆委由加工廠製造生產，無生產所產生之廢棄物，故無相關資訊。,,
3055,蔚華科,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3056,富華新,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3057,喬鼎,0,0,680.566,母公司,0.8958,百萬營業額                                                                                                                                                                                              ,
3058,立德,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3059,華晶科,0,0,24,母公司,無，無統計相關數據,,
3060,銘異,0,6935,6935,僅桃園市龜山區母公司範疇,6915,產品,ISO 14001
3062,建漢,0,0,13.16,僅母公司,無，該年度未清運,,
3090,日電貿,0,0,6.53,委託專業廠商資料銷毀，製成再生紙,無，無統計相關數據,,
3092,鴻碩,0,81.121,81.121,合併財務報表之重要子公司-鴻碩蘇州公司,0.0001,營業額,ISO 9001
3094,聯傑,0,0,7.38,母公司,0.0269,營業額,
3130,一零四,0,0,29.25,包含合併財務報表之母子公司全台營運據點,0.04,員工人數                                                                                                                                                                                                ,
3135,凌航,,,,,,,N/A
3138,耀登,0,0,5.5,僅母公司,0,營業額,
3149,正達,0,751.51,751.51,母公司,0.31,"751.51公噸/個體營收淨額2,431百萬元                                                                                                                                                                      ",ISO 14001
3150,鈺寶-創,,,,,,,N/A
3164,景岳,0,0,74.6517,"110年各月廢棄物總量(噸) 1月	2.5947 2月	1.4153 3月	3.55515 4月	1.43795 5月	4.5419 6月	1.7177 7月	7.685 8月	5.2731 9月	12.9008 10月	5.4301 11月	22.0142 12月	6.0858",1.9884,產品,
3167,大量,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3168,眾福科,,,,,,,N/A
3189,景碩,7743,5530,13273,母公司,0.0036,產品,
3209,全科,0,0,48.55,僅包含母公司的台灣總部、各點辦公室及物流倉儲。,0.1,營業額,
3229,晟鈦,170.71,57.25,227.96,僅母公司,無，無統計相關數據,,ISO 14001
3231,緯創,1043.5,38251.6,39295.1,母公司(內湖總部/汐止辦公區/新竹廠)及全球主要營運與製造廠區(昆山廠、泰州廠、中山廠、重慶廠、成都廠、墨西哥廠、捷克廠及昆山光電廠),0.05,單位:千公噸廢棄物量/十億元新台幣(以緯創全球主要製造廠區用水量/ 廠區營收做為計算基準)                                                                                                                    ,ISO 14001
3257,虹冠電,0,0,2.939,110年事業廢棄物統計資料,0.23,營業額,
3266,昇陽,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3296,勝德,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3305,昇貿,1.78,28.6,30.38,110/1/1~110/12/31,無，無統計相關數據,,
3308,聯德,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3311,閎暉,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3312,弘憶股,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3321,同泰,0,0,526.8,母公司,0.0036,產品,
3338,泰碩,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3346,麗清,2.211,24.518,26.729,2021/01~2021~12,無，無統計相關數據,,ISO 14001
3356,奇偶,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3376,新日興,94.56,110.74,205.3,僅母公司,無，無統計相關數據,,
3380,明泰,0,0,68.044,2021/1/1~2021/12/31,0.0001,營業額,
3406,玉晶光,0,35.131,35.131,台中市大雅區科雅東路一號，包括辦公室、作業廠區及依據環保署管制編號要求設定。,0.24,產品,ISO 14001
3413,京鼎,無，預計9月出具,無，預計9月出具,無，預計9月出具,,無，預計9月出具,,
3416,融程電,0.3233,312,312.3233,僅母公司,無，無統計相關數據,,
3419,譁裕,0,60,60,僅母公司,無，無統計相關數據,,
3432,台端,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3437,榮創,0,0,98.51,榮創能源科技股份有限公司,無，無統計相關數據,,ISO 14001
3443,創意,0,0,1.592,本次報告書邊界為創意電子台灣地區，涵蓋新竹總部、新竹分部，未納入海外子公司,0.0001,營業額,
3450,聯鈞,0.4309,46.63,47.0609,母公司,無，無統計相關數據,,
3481,群創,24993,75253,100246,群創光電(母公司)及子公司：寧波群志光電、寧波群輝光電、寧波群安電子科技、佛山群志光電、佛山群輝物流、南京群志光電、上海群志光電、寧波群豐駿電子,0.0003,單位: 廢棄物(Kg)/營業額(元)                                                                                                                                                                             ,ISO 14001
3494,誠研,0,0,31.6,包含合併財務報表之母子公司,無，與當年度銷售產品組合有關,,
3501,維熹,0,8.4,8.4,僅母公司,無，無統計相關數據,,
3504,揚明光,0,0,57,僅母公司,無，無統計相關數據,,
3515,華擎,0,0,3.55,母公司,0.01,員工人均廢棄物量                                                                                                                                                                                        ,
3518,柏騰,無，詳年報說明,無，詳年報說明,無，詳年報說明,,無，無統計相關數據,,
3528,安馳,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3530,晶相光,0,0,0.125,廠內,無，無統計相關數據,,
3532,台勝科,1.54,5855,5856.54,,0.022,產品,
3533,嘉澤,0,0,11528.0865,本公司於中國大陸廣州、蘇州、中山之子公司,無，無統計相關數據,,
3535,晶彩科,0,26.2,26.2,僅母公司,0.186,以百萬元營業額為單位                                                                                                                                                                                    ,
3543,州巧,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3545,敦泰,0,0,1.57,台灣新竹總部,0.04,員工人數                                                                                                                                                                                                ,
3550,聯穎,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3557,嘉威,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3563,牧德,0,0,10,牧德科技股份有限公司,無，無統計相關數據,,
3576,聯合再生,1828.2,1585.3,3413.5,母公司(竹科廠、竹南廠及台南廠),0.28,百萬營業額                                                                                                                                                                                              ,
3583,辛耘,0,0,319.47,新竹縣湖口鄉中華路16號,319.47,35473520000 (辛耘母公司營收)                                                                                                                                                                            ,
3588,通嘉,0,0,0.5,母公司,0.0002,營業額,
3591,艾笛森,0.308,6.992,7.3,僅母公司,0.0076,每百萬元營業額                                                                                                                                                                                          ,
3592,瑞鼎,0,0,11.11,公司產生廢棄物主要為辦公室生活垃圾與廢電子零組件，廢棄物清運皆委託合格清除廠商處理。,0.46,每百萬營業額0.46公斤                                                                                                                                                                                    ,ISO 14001
3593,力銘,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3596,智易,160,1051,1211,台灣總部及中國與越南生產中心,0,產品,
3605,宏致,2.2285,20.8,23.0285,此數據是上環保局網站申報的資料,無，生活垃圾佔比較大,,
3607,谷崧,無，詳年報說明,無，詳年報說明,無，詳年報說明,,無，無統計相關數據,,
3617,碩天,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,IECQQC08000                                                                                                                                                                                             
3622,洋華,1,24,25,母公司,0.0172,TON/百萬元營業額                                                                                                                                                                                        ,
3645,達邁,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3652,精聯,0,3.2,3.2,僅母公司之文件紙張銷毀量及電子廢棄物數量,0.1839,億營業額                                                                                                                                                                                                ,
3653,健策,622.475,392.878,1015.353,母公司,0.144,營業額(百萬)                                                                                                                                                                                            ,ISO 14001
3661,世芯-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3665,貿聯-KY,44.93,3839.23,3884.16,統計範圍涵蓋集團 17 個生產據點：昆山貿聯廠、昆山翔光廠、常州廠、深圳通盈廠、翔耀廠、康聯廠、廈門新視廠、百事聯廠、佛山城鉞廠、新加坡加冷廠、馬來西亞柔佛廠、馬來西亞檳城廠、塞爾維亞廠、斯洛伐克廠、加州廠、德州廠、墨西哥廠。,無，無統計相關數據,,
3669,圓展,0,0,88.197,母公司,121.68,產品,ISO 14001
3673,TPK-KY,348.98,6942.07,7291.05,宸鴻科技（廈門）有限公司、鴻通科技（廈門）有限公司、宸美（廈門）光電有限公司、祥達光學（廈門）有限公司、寶宸（廈門）光學科技有限公司、宸鴻科技（平潭）有限公司,0.0001,千元營業額                                                                                                                                                                                              ,ISO 14001
3679,新至陞,0,21.56,21.56,母公司110年01月~110年12月,1.68,營業額,ISO 14001
3686,達能,0,1.1,1.1,包含合併財務報表之母子公司。,0,營業額,
3694,海華,0,0,16.279,上海子公司廠區,無，無統計相關數據,,
3701,大眾控,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
3702,大聯大,0,0,381.6522,盤查範圍包含台灣區南港總部辦公室、林口倉及香港倉,0.18,各據點員工合計數                                                                                                                                                                                        ,依據確信準則公報一號進行驗證，指標揭露內容參照GRI 306                                                                                                                                                   
3703,欣陸,0,0,32483.22,母公司及主要營運子公司,1.21,百萬營業額                                                                                                                                                                                              ,ISO 14001，驗證範圍：鳳山、安平及淡水水資源回收中心                                                                                                                                                     
3704,合勤控,0,0,232,母公司,0.1798,百萬營業額                                                                                                                                                                                              ,
3705,永信,無，預計2026年12月完成,無，預計2026年12月完成,無，預計2026年12月完成,,無，預計2026年12月完成,,
3706,神達,139.2,2134.92,2274.12,"合併財務報表之母子公司, 含台灣營運、研發中心及廠區; 中國主要生產據點: 廣東順達廠區、江蘇昆達廠區; 美國加州組裝廠區: MiTACIS",0.054,營業額/單位為「百萬新台幣」                                                                                                                                                                             ,ISO 14001
3708,上緯投控,245.05,159.48,404.53,上緯興業股份有限公司,0.14,百營業額                                                                                                                                                                                                ,ISO 14001
3711,日月光投控,29540.26,52617.8,82158.06,日月光半導體製造股份有限公司(高雄廠、中壢廠、蘇州廠、 威海廠、無錫廠、日榮半導體(上海)、上海材料廠、 上海月芯半導體、昆山廠、日本廠、韓國廠、 新加坡廠、馬來西亞廠、ISE Labs)、矽品精密工業股份有限公司(大豐廠、中山廠、中科廠、新竹廠、彰化廠、蘇州廠)、環電股份有限公司(南投廠、張江廠、昆山廠、金橋廠、深圳廠、墨西哥廠),1.4406,公斤/千美金營收                                                                                                                                                                                         ,ISO14001; GRI; SASB                                                                                                                                                                                     
3712,永崴投控,0,0,0,母公司,無，母公司為投控公司 無廢棄物產生,,
3714,富采,無，富采母公司為辦公場所，非屬工廠。,無，富采母公司為辦公場所，非屬工廠。,無，富采母公司為辦公場所，非屬工廠。,,無，富采母公司為辦公場所，非屬工廠。,,
3716,中化控股,,,,,,,N/A
3717,聯嘉投控,,,,,,,N/A
4104,佳醫,0,0,22.71,僅母公司,0,仟元營業額                                                                                                                                                                                              ,
4106,雃博,0.382,64,64.382,母公司,0.0549,單位：百萬元營收                                                                                                                                                                                        ,
4108,懷特,0,0,12.35,台北公司及楊梅精製廠,無，無統計相關數據,,
4119,旭富,533.45,1293.65,1827.1,僅母公司,無，無統計相關數據,                                                                                                                                                                                                        ,ISO 14001
4133,亞諾法,0,0,6.05,僅母公司,無，詳年報說明,,
4137,麗豐-KY,0,0,38.806,子公司微碩(上海)日用品有限公司,無，無統計相關數據,,
4142,國光生,0,0,637.8228,僅母公司,無，無統計相關數據,,
4148,全宇生技-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
4155,訊映,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
4164,承業醫,0,0,5.956,包含合併財務報表之母子公司,0.002,百萬營業額                                                                                                                                                                                              ,
4190,佐登-KY,0.3276,12.8652,13.1928,"台灣子公 有害0.18464公噸/非有害7.8652公噸 司:廣州子公司: 有害0.143公噸/非有害5公噸",無，無統計相關數據,,
4306,炎洲,0,0,13504.27,台灣廠區,0.78,百萬營業額                                                                                                                                                                                              ,
4414,如興,12.752,660.599,673.351,中國廠區與柬埔寨廠區,無，無統計相關數據,,
4426,利勤,237.06,439.43,676.49,110年全年廢棄物量,0.42,產品,ISO 14001
4438,廣越,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
4439,冠星-KY,6167.8767,868.7061,7036.5828,Top Sports Textile Limited,0.4114,產品,EMeRet                                                                                                                                                                                                  
4440,宜新實業,0,237.48,237.48,本公司(無子公司),無，無統計相關數據,,廢棄物清理法                                                                                                                                                                                            
4441,振大環球,,,,,,,N/A
4526,東台,0,86.208,86.208,東台精機股份有限公司第一廠,0.008,產品,
4532,瑞智,0,0,303.87,母公司,無，無統計相關數據,,ISO 14001
4536,拓凱,0,0,130,本公司,無，無統計相關數據,,
4540,全球傳動,0,90.07,90.07,110年度,0.06,營業額,
4545,銘鈺,166,312,478,母公司,0.42,百萬營業額                                                                                                                                                                                              ,
4551,智伸科,188.36,409.93,598.29,包含合併財務報表之母子公司,0,產品,ISO 14001
4552,力達-KY,,,,,,,
4555,氣立,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
4557,永新-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
4560,強信-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
4562,穎漢,0,20.3,20.3,110年度,無，無統計相關數據,,
4564,元翎,17.73,411.92,429.65,母公司及重要子公司,無，無統計相關數據,,
4566,時碩工業,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
4569,六方科-KY,,,,,,,N/A
4571,鈞興-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
4572,駐龍,0,23.4,23.4,母公司,0.06,百萬營業額                                                                                                                                                                                              ,
4576,大銀微系統,0,289.79,289.79,母公司之總部及二廠,0.09,營業額單位為佰萬元                                                                                                                                                                                      ,ISO 14001
4581,光隆精密-KY,0,79.559,79.559,合併財務報表之母子公司,0.0001,營業額,ISO 14001
4583,台灣精銳,0,0,231.51,母公司,0,營業額,ISO9001、ISO14001                                                                                                                                                                                       
4585,達明,,,,,,,N/A
4588,玖鼎電力,,,,,,,N/A
4590,富田-創,,,,,,,N/A
4720,德淵,10.14,50.83,60.97,廢棄物量係以母公司計算；排放密集度單位係以合併財務報表百萬營業額計算。,0.0172,營業額,
4722,國精化,152,5312,5464,母公司,無，無統計相關數據,,
4736,泰博,0,0.4,0.4,RT/月，依清運環保公司收費計算,0.0001,營業額,
4737,華廣,11.2,5.215,16.415,母公司,11.2,營業額,
4739,康普,0,0,358.35,新竹廠及頭份廠,6.09,廢棄物產生(噸)/個體營收(億)                                                                                                                                                                             ,ISO 14001
4746,台耀,0,0,1524.21,母公司,0.481,公噸/百萬營業額                                                                                                                                                                                         ,ISO 14001
4755,三福化,906.92,103.61,1010.53,僅母公司(善化廠、柳科廠、高雄廠),0.0002,營業額；廢棄物量 / 仟元                                                                                                                                                                                 ,ISO 14064-1 溫室氣體盤查標準、確信準則公報第一號                                                                                                                                                        
4763,材料*-KY,411,742.85,1153.85,合併財務報表之母子公司,0.0004,營業額(仟元單位)                                                                                                                                                                                        ,
4764,雙鍵,2.978,1.844,4.822,母公司,0.0016,百萬營業額                                                                                                                                                                                              ,
4766,南寶,853,1009,1862,僅母公司,0.35,百萬營收                                                                                                                                                                                                ,
4770,上品,0,20.21,20.21,僅母公司,0.0079,百萬營業額                                                                                                                                                                                              ,
4771,望隼,,,,,,,N/A
4807,日成-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
4904,遠傳,0,0,437.046,遠傳電信股份有限公司及兩家子公司(新世紀資通股份有限公司、和宇寬頻網路股份有限公司),0,營業額,
4906,正文,4.75,127.37,132.12,正文科技股份有限公司,0,營業額,ISO 14001
4912,聯德控股-KY,34,560,594,重要子公司聯德精密材料(中國)股份有限公司,5.72,產品,
4915,致伸,140.298,1843.652,1983.95,致伸科技及子公司東莞東聚、致伸重慶、致伸昆山、惠州迪芬尼、東莞迪芬尼及東城迪芬尼,0.0277,營業額,ISO 14001
4916,事欣科,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
4919,新唐,565,305,870,僅含母公司(不含台南、竹北、北辦),0.0824,單位：公斤/層-晶圓光罩                                                                                                                                                                                  ,ISO 14001
4927,泰鼎-KY,4798.03,17130.39,21928.42,包含合併財務報表之母子公司,1.48,台幣百萬營收                                                                                                                                                                                            ,ISO 14001
4930,燦星網,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
4934,太極,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
4935,茂林-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
4938,和碩,1602,68569,70171,和碩企業總部、臺灣營運中心、上海昌碩、昆山世碩、蘇州名碩/康碩/凱碩、重慶旭碩/凱全、捷克製造中心、墨西哥營運中心、印尼廠,0.056,每百萬營業額(元)                                                                                                                                                                                        ,ISO 14001
4942,嘉彰,0,1030.29,1030.29,110年度廢棄物量統計,0.6112,百萬元營業額                                                                                                                                                                                            ,
4943,康控-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
4949,有成精密,,,,,,,N/A
4952,凌通,0,0,10.639,母公司,0.0031,百萬營業額                                                                                                                                                                                              ,
4956,光鋐,381.33,132.1425,513.4725,110年1月~12月,無，無統計相關數據,,
4958,臻鼎-KY,62545,32095,94640,大陸園區與台灣園區,0.61,營業額,UL2799 Zero Waste                                                                                                                                                                                       
4960,誠美材,1000,3559,4559,僅母公司,0.127,產能(仟米平方)                                                                                                                                                                                          ,ISO 14001
4961,天鈺,0,43.888,43.888,僅含天鈺科技（母公司）新竹總部及公道五路之據點,0.0024,0.0024公噸/百萬營業額                                                                                                                                                                                   ,AA1000 Type 2 中度保證                                                                                                                                                                                  
4967,十銓,無，詳年報說明,無，詳年報說明,無，詳年報說明,,無，無統計相關數據,,
4968,立積,0.624,28,28.624,母公司,無，無統計相關數據,,
4976,佳凌,無，詳年報說明,無，詳年報說明,無，詳年報說明,,無，無統計相關數據,,ISO 14001
4977,眾達-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
4989,榮科,1062.75,40.59,1103.34,本公司,0.01,產量(噸)                                                                                                                                                                                                ,ISO 14001
4994,傳奇,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
4999,鑫禾,0,40,40,僅母公司,無，無統計相關數據,,
5007,三星,1,535,536,母公司,0.0838,百萬營業額                                                                                                                                                                                              ,ISO 14001
5203,訊連,無，詳年報說明,無，詳年報說明,無，詳年報說明,,無，詳年報說明,,
5215,科嘉-KY,無，詳年報說明,無，詳年報說明,無，詳年報說明,,無，詳年報說明,,
5222,全訊,6.1,24.2916,30.3916,僅個別公司大順一廠,0.0331,百萬營業額                                                                                                                                                                                              ,ISO 9001
