"報告年度:2023","議題:水資源管理"
"公司代號","公司名稱","用水量(公噸(t))-用水量(公噸(t))","資料範圍-資料範圍","用水密集度-用水密集度","用水密集度-單位","驗證標準-取得驗證"
"=""1531""","高林股","49,645.0000","桃園廠與高銀廠","N/A","N/A","N/A"
"=""1532""","勤美","478,768.0000","勤美金屬成型事業處、蘇州勤美達精密機械有限公司(CMS)、勤威(天津)工業有限公司(CMW)、蘇州勤堡精密機械有限公司(CMB)及勤美達（武漢）精密機械有限公司(CMH)","N/A","N/A","N/A"
"=""1533""","車王電","8,934.0000","台灣母公司","15.7828","公噸/百萬元營業額","N/A"
"=""1535""","中宇","15,465.0000","包含合併財務報表之母子公司","1.5850","公噸/百萬元營業額","ISO 14064-1"
"=""1536""","和大","N/A","N/A","N/A","N/A","N/A"
"=""1537""","廣隆","316,178.0000","包含合併財報報表之母子公司","N/A","N/A","N/A"
"=""1538""","正峰","3,288.0000","水費單","N/A","N/A","N/A"
"=""1539""","巨庭","N/A","N/A","N/A","N/A","N/A"
"=""1540""","喬福","1,386.0000","母公司","2.4104","公噸/百萬元營業額","N/A"
"=""1541""","錩泰","34,950.0000","包含財務報表之母子公司","8.6000","公噸/百萬元營業額","N/A"
"=""1558""","伸興","189,230.0000","合併財務報表之母子公司(不含宇隆、喜佳、三道)","0.1100","公噸/產品","ESG報告書AA1000"
"=""1560""","中砂","1,519,104.0000","母公司","256.6500","公噸/百萬元營業額","N/A"
"=""1563""","巧新","660,410.0000","僅母公司","84.8965","公噸/百萬元營業額","N/A"
"=""1568""","倉佑","14,330.0000","母公司","0.0120","公噸/百萬元營業額","N/A"
"=""1582""","信錦","N/A","N/A","N/A","N/A","N/A"
"=""1583""","程泰","30,351.9960","程泰機械(全公司,含中科廠/嘉義廠/工業區廠)","N/A","N/A","N/A"
"=""1587""","吉茂","20,526.0000","母公司","N/A","N/A","N/A"
"=""1589""","永冠-KY","274,898.0000","合併財務報表之母子公司","31.7031","公噸/百萬元營業額","N/A"
"=""1590""","亞德客-KY","1,010,774.0000","考量揭露訊息之重大性以及實際管理需求，涵蓋主要銷售據點、主要生產基地和營運總部，合計揭露比重佔 2023 年合併營業收入達96%，亦達2023年度生產產值100%。","33.8879","公噸/百萬元營業額","N/A"
"=""1597""","直得","36,954.0000","母公司","46.4257","公噸/百萬元營業額","ISO14001"
"=""1598""","岱宇","15,567.0000","彰化本廠、二廠、五廠、台中辦公室","0.5001","公噸/百萬元營業額","N/A"
"=""1603""","華電","N/A","N/A","N/A","N/A","N/A"
"=""1604""","聲寶","57,390.0000","聲寶股份有限公司及德寶家電股份有限公司","55.3423","取水量公噸/員工人數","N/A"
