"報告年度:2023","議題:投資人溝通"
"公司代號","公司名稱","公司年度召開法說會次數(次)-公司年度召開法說會次數(次)","利害關係人或公司治理專區連結-利害關係人或公司治理專區連結"
"=""1532""","勤美","2","http://www.cmp.com.tw/cht/investor/stakeholder"
"=""1533""","車王電","2","http://www.more.com.tw/Csr/Page/c1606ebc-6ffc-4789-952f-c442c995cc48"
"=""1535""","中宇","2","https://www.ecotek.com.tw/?prog=cec_apply"
"=""1536""","和大","1","www.hota.com.tw"
"=""1537""","廣隆","1","www.klb.com.tw"
"=""1538""","正峰","1","http://www.jennfeng.com/index.asp?lang=1"
"=""1539""","巨庭","2","www.geetech.com.tw"
"=""1540""","喬福","1","http://www.johnford.com.tw/tw/relationship"
"=""1541""","錩泰","1","http://www.toty.com.tw/chinese/stakeholder/ip.html"
"=""1558""","伸興","2","www.zenghsing.com.tw/csr/stakeholder/?lang=zh-hant"
"=""1560""","中砂","4","http://www.kinik.com.tw/KINIK/company/kinik_interested_parties.asp"
"=""1563""","巧新","4","www.superalloy.tw"
"=""1568""","倉佑","1","https://www.tsangyow.com.tw/page7_1.php?vv=eyJwZyI6MSwicGdjIjoxfQ=="
"=""1582""","信錦","2","www.syncmold.com.tw/syncmold-2018/item_interested_person_2018.html"
"=""1583""","程泰","1","http://www.goodwaycnc.com/exhtml_goodway/goodway_tw/publication/stakeholders/index.htm"
"=""1587""","吉茂","1","www.cryomaxcooling.com"
"=""1589""","永冠-KY","4","http://www.ygget.com/content/tw/508.aspx"
"=""1590""","亞德客-KY","25","https://as-tw.airtac.com/about4.aspx?c_kind=11&c_kind2=405"
"=""1597""","直得","1","http://www.chieftek.com/"
"=""1598""","岱宇","3","https://www.dyaco.com/en/investors"
"=""1603""","華電","1","www.cwcowin.com.tw"
"=""1604""","聲寶","1","http://www.sampo.com.tw/aboutlist.aspx?q=15"
"=""1605""","華新","4","http://www.walsin.com"
"=""1608""","華榮","1","http://www.hegroup.com.tw/index.php?option=module&lang=cht&task=pageinfo&id=142&index=4"
"=""1609""","大亞","4","www.taya.com.tw"
"=""1611""","中電","2","http://www.chinaelectric.com.tw/investor11.php"
"=""1612""","宏泰","1","www.hong-tai.com.tw"
"=""1614""","三洋電","1","https://sanlux.com.tw/company-investment-contact"
"=""1615""","大山","1","http://www.dahsan.com.tw/chinese-105.html"
"=""1616""","億泰","1","http://www.evertop.com/?action=info&info=34"
"=""1617""","榮星","1","http://www.jswire.com.tw"
"=""1618""","合機","1","http://www.hold-key.com.tw/stakeholder_holdkey_01.html"
"=""1626""","艾美特-KY","2","www.airmate-china.com"
"=""1702""","南僑","2","http://www.namchow.com.tw/page/main_page/04_01/index_07.html"
"=""1707""","葡萄王","7","https://www.grapeking.com.tw/stakeholder/62591ad4df427"
"=""1708""","東鹼","1","http://www.sesoda.com.tw/chinese/investors.html"
"=""1709""","和益","1","http://www.fucc.com.tw/fucc/fucc_index_retailer1.asp"
"=""1710""","東聯","5","https://www.oucc.com.tw/csr-99-page470"
"=""1711""","永光","2","https://www.ecic.com/csr/stakeholder/"
"=""1712""","興農","4","https://www.sinon.com.tw/sustainability/index/41/"
"=""1713""","國化","1","www.ccwi.com.tw"
"=""1714""","和桐","1","http://www.htgroup.com.tw/service/?parent_id=13"
"=""1717""","長興","4","https://www.eternal-group.com/Esg_sta"
"=""1718""","中纖","1","www.cmfc.com.tw/tw/contact.aspx"
"=""1720""","生達","2","http://www.standard.com.tw"
"=""1721""","三晃","1","http://www.sunko.com.tw/sunko_web/sunkonew/Stakeholder.php?m=5&mlist=8"
"=""1722""","台肥","2","https://www.taifer.com.tw/CSR/Persistencemanagement/Stakeholder/IAC.htm"
"=""1723""","中碳","4","http://www.cscc.com.tw/csr/cg/int_ide.html"
"=""1725""","元禎","1","http://www.yuanjen.com/"
"=""1726""","永記","1","http://www.rainbowpaint.com.tw/csr2/"
"=""1727""","中華化","1","www.chciw.com.tw"
"=""1730""","花仙子","1","https://www.farcent.com.tw/stakeholders"
"=""1731""","美吾華","1","http://www.maywufa.com.tw/stakeholder.php"
"=""1732""","毛寶","1","www.maobao.com.tw"
"=""1733""","五鼎","2","http://www.apexbio.com.tw/contact_index.php"
"=""1734""","杏輝","1","https://www.sinphar.com.tw/interested-parties"
"=""1735""","日勝化","1","www.twemc.com"
"=""1736""","喬山","4","www.johnsonfitness.com"
"=""1737""","臺鹽","1","https://www.tybio.com.tw/taiyen/tw/investors/manage/more11"
"=""1752""","南光","1","www.nangkuang.com.tw"
"=""1760""","寶齡富錦","2","https://www.pbf.com.tw/environment-social-governance/corporate-social-responsibility/stakeholder/"
"=""1762""","中化生","2","http://www.ccsb.com.tw/chinese/11_stakeholder/00_overview.aspx"
"=""1773""","勝一","1","http://www.shinychem.com.tw/index.php?option=module&lang=cht&task=pageinfo&id=20&index=3"
"=""1776""","展宇","1","https://www.headway.com.tw"
"=""1783""","和康生","5","https://www.mbi.com.tw/invest51.php?lan=tw"
"=""1786""","科妍","1","http://www.scivision.com.tw/big5/info.php?sn=14"
"=""1789""","神隆","5","www.scinopharm.com.tw/stakeholder.asp"
"=""1795""","美時","13","https://www.lotuspharm.com.tw/investors/shareholders-services"
"=""1802""","台玻","1","http://www.taiwanglass.com/information_list.php?langeno=tw&sid=281"
"=""1805""","寶徠","1","https://blgroup.com.tw/investment"
"=""1806""","冠軍","1","http://group.champion.com.tw/shareholder"
"=""1808""","潤隆","1","http://www.runlong.com.tw"
"=""1809""","中釉","1","http://www.china-glaze.com.tw/InvestorInformation.aspx?code=0307"
"=""1810""","和成","1","http://www.hcg.com.tw/About/Employee"
"=""1817""","凱撒衛","2","https://www.caesar.com.tw/page/stakeholder"
"=""1903""","士紙","1","http://www.shihlin.com.tw/stakeholder.html"
"=""1904""","正隆","2","https://www.clc.com.tw/contact-csr"
"=""1905""","華紙","4","http://www.chp.com.tw/responsibility/stakeholders"
"=""1906""","寶隆","2","http://www.baolongintl.com/B4001.asp"
"=""1907""","永豐餘","4","http://www.yfy.com/tw/csr_interestedParties.html"
"=""1909""","榮成","2","www.longchenpaper.com/stakeholder.html"
"=""2002""","中鋼","4","www.csc.com.tw/csc/allContact.html"
"=""2006""","東和鋼鐵","2","https://www.tunghosteel.com/csr/investment"
"=""2007""","燁興","1","www.yheco.com.tw"
"=""2008""","高興昌","1","www.khc.com.tw"
"=""2009""","第一銅","1","http://www.fcht.com.tw/index.php?option=module&lang=cht&task=pageinfo&id=217&index=2"
"=""2010""","春源","1","https://www.cysco.com.tw/stakeholders-page103"
"=""2012""","春雨","2","http://www.chunyu.com.tw/TW/Index.aspx"
"=""2013""","中鋼構","2","www.cssc.com.tw"
"=""2014""","中鴻","4","http://www.chsteel.com.tw/ch/hr/Int.htm"
"=""2015""","豐興","4","http://www.fenghsin.com.tw/investor.html"
"=""2017""","官田鋼","4","http://www.quintain.com.tw/about.asp?le=tchinese"
"=""2020""","美亞","2","http://www.mayer.com.tw/2015/01/blog-post.html"
"=""2022""","聚亨","2","http://www.tycons.com.tw/serviceslist.aspx?id=57"
"=""2023""","燁輝","2","http://www.yiehphui.com.tw"
"=""2024""","志聯","1","http://www.chihlien.com.tw"
"=""2025""","千興","1","http://www.csssc.com.tw/tw/about_stakeholder.htm"
"=""2027""","大成鋼","1","www.tachen.com.tw/download/contact.pdf"
"=""2028""","威致","1","www.weichih.com.tw"
"=""2029""","盛餘","4","https://shengyusteel.com/www/main/concern.aspx"
"=""2030""","彰源","1","http://www.froch.com/TCHI/Stakeholders.php"
"=""2031""","新光鋼","1","https://www.hkssteel.com.tw/#"
"=""2032""","新鋼","1","www.sinkang.com.tw"
"=""2033""","佳大","1","http://www.ctworld.com.tw/%E5%88%A9%E5%AE%B3%E9%97%9C%E4%BF%82%E4%BA%BA%E5%B0%88%E5%8D%80.html"
"=""2034""","允強","1","http://www.ycinox.com"
"=""2038""","海光","1","https://web.hocom.tw/h/DataDetail?key=986075855303&cont=332623"
"=""2049""","上銀","2","http://www.hiwin.tw"
"=""2059""","川湖","4","https://www.kingslide.com/csr_stakeholders_stakeholder"
"=""2062""","橋椿","2","www.sunspring.com.tw"
"=""2069""","運錩","1","www.yuenchang.com.tw"
"=""2101""","南港","1","https://www.nankang-tyre.com/"
"=""2102""","泰豐","1","http://www.federalcorporation.com/"
"=""2103""","台橡","2","https://www.tsrc.com.tw/tw/sustainability/stakeholders/"
"=""2104""","國際中橡","1","http://www.csrcgroup.com"
"=""2105""","正新","2","https://www.cst.com.tw/shareholder_10.php"
"=""2106""","建大","2","http://csr.kenda.com.tw/"
"=""2107""","厚生","1","www.frg.com.tw"
"=""2108""","南帝","1","www.nantex.com.tw"
"=""2109""","華豐","1","https://www.duro.com.tw/tw/investor/stakeholder/"
"=""2114""","鑫永銓","1","https://www.hyc-king.com/esg_tw.php?id=4"
"=""2115""","六暉-KY","1","http://www.luhai.com.tw/ch/investor_detail.asp?id=7"
"=""2201""","裕隆","4","http://www.yulon-motor.com.tw/csr_stakeholder.aspx"
"=""2204""","中華","4","WWW.CHINA-MOTOR.COM.TW"
"=""2206""","三陽工業","2","http://www.sanyang.com.tw/Stakeholder/"
"=""2207""","和泰車","4","http://pressroom.hotaimotor.com.tw/zh/shareholder/feedback/fIOFUXWMm"
"=""2208""","台船","1","http://www.csbcnet.com.tw/Service/Investor"
"=""2211""","長榮鋼","2","http://www.evergreennet.com"
"=""2227""","裕日車","2","http://new.nissan.com.tw/nissan/brand/csr#/stakeholder"
"=""2228""","劍麟","2","https://www.irf.biz/5_interestedpeople.html"
"=""2231""","為升","1","http://www.cubelec.com"
"=""2233""","宇隆","4","http://www.turvo.com.tw/interest_area.php"
"=""2236""","百達-KY","1","www.patec-intl.com"
"=""2239""","英利-KY","2","http://www.engley.com.tw/boss_page/id/73/n/50"
"=""2241""","艾姆勒","1","www.amulaire.com"
"=""2243""","宏旭-KY","1","http://www.horngshiue.com/invest.asp"
"=""2247""","汎德永業","2","https://www.pgum.com.tw/zh-tw/investor_interested/index"
