"報告年度:2023","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物(公噸(t))-有害廢棄物(公噸(t))","非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t))","總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t))","資料範圍-資料範圍","廢棄物密集度-密集度(公噸/單位)","廢棄物密集度-單位","驗證標準-取得驗證"
"=""2530""","華建","0.0000","19,358.0000","19,358.0000","子公司華鑑營造工地區域","0.4865","面積(平方公尺)","N/A"
"=""2534""","宏盛","0.0000","6,766.0000","6,766.0000","在建工程(北投石牌、汐止智興、新店心中央)","N/A","N/A","N/A"
"=""2535""","達欣工","0.0000","16,352.0000","16,352.0000","工地","1.0893","公噸/百萬元營業額","ISO 9001"
"=""2536""","宏普","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2537""","聯上發","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2538""","基泰","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2539""","櫻花建","0.0000","2,767.2300","2,767.2300","母公司","N/A","N/A","N/A"
"=""2540""","愛山林","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2542""","興富發","0.0000","4,413.0000","4,413.0000","子公司-齊裕營造","N/A","N/A","N/A"
"=""2543""","皇昌","0.0000","25,437.7200","25,437.7200","皇昌營造總部據點及各施工案場","2.2561","公噸/百萬元營業額","N/A"
"=""2545""","皇翔","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2546""","根基","0.0000","19,159.4466","19,159.4466","公司總部及全國在建工地","1.3405","公噸/百萬元營業額","ISO 14001"
"=""2547""","日勝生","0.0000","5.7872","5.7872","母公司","0.0499","員工人數(人)","N/A"
"=""2548""","華固","0.0000","17.2600","17.2600","總公司7樓辦公區域","0.0011","公噸/百萬元營業額","N/A"
"=""2597""","潤弘","0.0000","32,703.3700","32,703.3700","(1) 台北總公司辦公室：台北市中山區八德路二段10樓、12樓(潤弘精密工程事業股份有限公司及潤陽營造股份有限公司) (2) 楊梅預鑄廠：桃園市楊梅區泰圳路1442號 (3)工地","1.9059","公噸/百萬元營業額","N/A"
"=""2601""","益航","0.0000","613.3620","613.3620","益航海運","0.3778","公噸/百萬元營業額","N/A"
"=""2603""","長榮","0.0000","3,268.3700","3,268.3700","長榮海運母公司暨合併財報子公司所營運之貨櫃船舶以及國內外營業據點","0.0120","公噸/百萬元營業額","N/A"
"=""2605""","新興","N/A","N/A","882.4312","統計船隊產出之廢棄物，包含塑膠類(一般廢棄物)、食物廢棄物(廚房廢油)及有害廢棄物(汙油水/Sludge) ","N/A","N/A","N/A"
"=""2606""","裕民","N/A","N/A","0.3324","船上食物廢棄物、紙、玻璃、金屬、塑膠及食用油","0.0000"," 千元營業額","DNV VeriSustain 中度保證等級"
"=""2607""","榮運","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2608""","嘉里大榮","0.0000","1,707.9280","1,707.9280","母公司全組織","0.1799","公噸/百萬元營業額","N/A"
"=""2609""","陽明","19,543.5100","406.3900","19,949.9000","母公司陸地據點及營運船舶 ","N/A","N/A","ISO 9001,ISO 14001"
"=""2610""","華航","12.0000","4,541.0000","4,553.0000","一般生活、資源回收、廚餘/廢料、修護有害事業廢棄物、修護非有害事業廢棄物","0.0458","公噸/百萬元營業額","ISO 14001"
"=""2611""","志信","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2612""","中航","0.0000","0.0000","70.0000","本公司統計數據涵蓋海運、陸運、倉儲物流及商用車等合併公司。","N/A","N/A","N/A"
"=""2613""","中櫃","0.0000","732.0000","732.0000","基隆站、五堵站、台中站、31W","0.2500","公噸/百萬元營業額","N/A"
"=""2614""","東森","0.0000","49.8294","49.8294","僅母公司","0.0347","公噸/百萬元營業額","N/A"
"=""2615""","萬海","23,548.2600","859.1800","24,407.4400","集團（含合併報表子公司）","0.2400","公噸/百萬元營業額","N/A"
"=""2616""","山隆","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2617""","台航","0.0000","6,435.0000","6,435.0000","母公司","N/A","N/A","N/A"
"=""2618""","長榮航","0.1030","210.2200","210.3230","南崁園區及台北航空大樓民用運輸之後勤管理服務。","0.5940","長榮航空總部 平均每人每日廢棄物產出量(KG)","ISO 14001"
"=""2630""","亞航","22.4190","254.8970","277.3160","松山廠、台中廠、台南廠(含歸仁場站)、屏東廠、空勤外站(高雄、花蓮、台東機場)、停機線維修(桃園、台中、台南、高雄機場)","0.0570","公噸/百萬元營業額","N/A"
"=""2633""","台灣高鐵","0.0500","7,322.1800","7,322.2300","基地及車站","0.1470","公噸/百萬元營業額","N/A"
"=""2634""","漢翔","671.2596","1,807.9646","2,479.2242","母公司","0.0636","公噸/百萬元營業額","ISO 14001"
"=""2636""","台驊投控","N/A","N/A","0.0000","N/A","N/A","N/A","N/A"
"=""2637""","慧洋-KY","N/A","N/A","277.0000","包含合併財務報表之母子公司","2.1203","公噸/船數(加權平均)","N/A"
"=""2642""","宅配通","0.0000","1,300.0000","1,300.0000","台灣母公司","N/A","N/A","N/A"
"=""2645""","長榮航太","185.9000","790.7800","976.6800","製造廠、維修廠","N/A","N/A","N/A"
"=""2646""","星宇航空","0.0000","421.2200","421.2200","廢棄物產生量數據統計範疇涵蓋：台北內湖總部、星宇航空形象門市( 台北)、台中辦事處(2023 年8 月啟用)、桃園國際機場園區內之營運據點( 桃園運籌中心、一航廈辦公室、二航廈辦公室、桃園機場之機坪辦公室和勤務工廠、保稅大樓、維修棚廠、遠雄貨運辦公室) 等營運據點。","0.0200","公噸/百萬元營業額","N/A"
"=""2701""","萬企","0.0000","195.8000","195.8000","以萬華企業為主體","0.6600","公噸/百萬元營業額","N/A"
"=""2702""","華園","0.0000","56.5400","56.5400","華園飯店草衙館","0.7102","公噸/百萬元營業額","N/A"
"=""2704""","國賓","0.0000","446.0600","446.0600","台北館、新竹館","0.3490","公噸/百萬元營業額","N/A"
"=""2705""","六福","0.0000","1,009.6994","1,009.6994","母公司","0.4569","公噸/百萬元營業額","N/A"
"=""2706""","第一店","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2707""","晶華","0.0000","1,487.7200","1,487.7200","母公司","0.3868","公噸/百萬元營業額","N/A"
"=""2712""","遠雄來","0.0000","476.1160","476.1160","母公司","0.7258","公噸/百萬元營業額","N/A"
"=""2722""","夏都","0.0000","257.0900","257.0900","包含合併財務報表之母子公司","0.3361","公噸/百萬元營業額","N/A"
"=""2723""","美食-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2727""","王品","0.0000","1,671.3542","1,671.3542","廢棄物計算獨立店面廢油及廚餘量(非獨立店面由賣場統一處理)，廚餘123家：1560.707t；廢油132家：110.6472t","0.0967","公噸/百萬元營業額","各店廢油、廚餘皆採用環保部核可廠商"
"=""2731""","雄獅","0.0000","151.0000","151.0000","同前22個單位","N/A","N/A","ISO14061-1"
"=""2739""","寒舍","0.0000","2,410.5400","2,410.5400","母公司","0.5022","公噸/百萬元營業額","N/A"
"=""2748""","雲品","0.0000","333.1000","333.1000","總管理處、君品酒店、雲品溫泉酒店、頤品大飯店","0.1410","公噸/百萬元營業額","N/A"
"=""2753""","八方雲集","0.0000","995.4700","995.4700","⺟公司及台灣⼦公司","0.0208","公噸/產品","N/A"
"=""2762""","世界健身-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2801""","彰銀","0.0000","106.2700","106.2700","總行(臺北大樓)","0.0028","公噸/百萬元營業額","ISO 14001"
"=""2812""","台中銀","0.0000","33.7500","33.7500","總行民權大樓 ","0.0660","公噸/總人數","N/A"
"=""2816""","旺旺保","0.0000","0.0000","0.0000","無","0.0000","N/A","其他"
"=""2820""","華票","0.0000","1.1180","1.1180","總公司","N/A","N/A","N/A"
"=""2832""","台產","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2834""","臺企銀","N/A","N/A","218.4251","合併財務報表之母子公司","0.0068","公噸/百萬元營業額","ISO 14001"
"=""2836""","高雄銀","0.0000","18.3430","18.3430","母公司總行大樓","0.0861","公噸/員工數","ISO 14001"
"=""2838""","聯邦銀","0.0000","156.8010","156.8010","全行各單位","0.0102","公噸/百萬元營業額","N/A"
"=""2845""","遠東銀","0.0000","37.0573","37.0573","本行板橋大人國及文化奇蹟大樓","0.0515","人均","ISO 14001"
"=""2849""","安泰銀","N/A","44.0000","44.0000","安泰商業銀行股份有限公司(53個據點)","0.0076","公噸/百萬元營業額","ISO 14064-1"
"=""2850""","新產","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2851""","中再保","N/A","N/A","11.3490","中央再保險股份有限公司 台北市中山區南京東路二段53號6F、10F、11F、12F、13F","0.0005","公噸/百萬元營業額","N/A"
"=""2852""","第一保","0.0000","7.3700","7.3700","總公司","N/A","N/A","N/A"
"=""2855""","統一證","0.0000","71.5980","71.5980","總公司廢棄物經ISO14001及ISO14064-3驗證，分公司廢棄物經ISO14064-3驗證。","0.0082","公噸/百萬元營業額","ISO14064-3"
"=""2867""","三商壽","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2880""","華南金","0.0000","847.4590","847.4590","集團各公司所有據點共311處","0.0143","公噸/百萬元營業額","ISO 14001"
"=""2881""","富邦金","0.0000","824.2814","824.2814","包含 : 富邦金控、富邦人壽、台北富邦銀行、富邦產險、富邦證券、富邦投信、富邦期貨、富邦投顧、北富銀創投、富邦育樂、富邦運動場館、日盛銀行(2023年併入台北富邦銀行)、日盛證券(2023年併入富邦證券)。","0.0219","公噸/員工人數","N/A"
"=""2882""","國泰金","0.0000","2,153.0400","2,153.0400","包含集團(金控、人壽、銀行、產險、證券、投信、投顧、創投、期貨、私募、電業)之國內據點","27.8900","公斤/人(公斤/總員工數)","ISO 14001"
"=""2883""","開發金","0.0000","790.1900","790.1900","國內全數據點(不含凱基人壽國內所有通訊處)","0.0200","公噸/百萬元營業額","AA1000AS v3第二類型中度保證等級"
"=""2884""","玉山金","0.0000","692.0000","692.0000","100%持有合併財務報表之母子公司","0.0077","公噸/百萬元營業額","ISO 14001,其他"
"=""2885""","元大金","0.0000","616.0800","616.0800","元大金控暨子公司(國內營運邊界)","53.4600","公斤/人","N/A"
"=""2886""","兆豐金","0.0000","591.4300","591.4300","全臺營運據點","N/A","N/A","ISAE 3000"
"=""2887""","台新金","0.0000","795.0405","795.0405","以內湖、金控及建北三棟大樓廢棄物總量為計算基礎，依員工數佔比推估全金控含子公司，包含台新金控、台新銀行、台新證券、台新資產管理、台新投信、台新創投、台新投顧、台新人壽之正職及非正職員工人數","0.0114","公噸/百萬元營業額","N/A"
"=""2889""","國票金","0.0000","52.0567","52.0567","設定涵蓋國票金融控股(股)公司、國際票券金融股份有限公司(9個據點)、國票綜合證券股份有限公司(26個據點)、國票證券投資顧問股份有限公司、國票期貨股份有限公司、國票證創業投資股份有限公司、國票創業投資股份有限公司、國旺國際融資租賃有限公司(7個據點)、IBF Financial Holding Co., Ltd.，共計48個據點。另因樂天網銀不在國票金控合併財報內，為符合金管會要求，故將樂天網銀移出組織邊界外，但將樂天網銀排放量依投資比例(49%)納入國票金間接排放中。","0.0073","公噸/百萬元營業額","ISO 14001"
"=""2890""","永豐金","0.0000","548.7100","548.7100"," 金控及旗下5家主要子公司（永豐銀行、永豐金證券、永豐投信、永豐金租賃、永豐創業投資） 之國內所有營運據點納入統計範疇","N/A","N/A","AA1000 ASv3第二類型高度保證等級"
"=""2891""","中信金","0.0000","895.0000","895.0000","中信金控、中信銀行及金控轄下各子公司之總部(不含總部園區商家)。","0.0410","公噸/人","ISO14064-1"
"=""2892""","第一金","N/A","N/A","315.2700","第一銀行、第一金證券、第一金投信、第一金人壽及第一金AMC之國內全數分支機構及第一銀行海外營運據點。","0.0047","公噸/百萬元營業額","ISO 14001"
"=""2897""","王道銀行","0.0000","67.8800","67.8800","全球營運據點","0.0570","公噸/人均產出量","N/A"
"=""2901""","欣欣","0.0000","180.4200","180.4199","112年","0.2279","公噸/百萬元營業額","N/A"
"=""2903""","遠百","0.0000","7,500.0000","7,500.0000","遠東百貨各分公司","0.0002","公噸/服務","N/A"
"=""2904""","匯僑","57.1100","10.9300","68.0400","臺中港⻄⼆及⻄五槽區","N/A","N/A","N/A"
"=""2905""","三商","0.0000","1.1988","1.1988","母公司","0.0000","公噸/百萬元營業額","N/A"
"=""2906""","高林","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2908""","特力","0.0000","369,997.0000","369,997.0000","特力公司總部及楊梅倉庫","0.0240","公噸/百萬元營業額","N/A"
"=""2910""","統領","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2911""","麗嬰房","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2912""","統一超","0.0000","43,764.6700","43,764.6700","實際統計包含總部大樓及1,004家門市、推估值包含9處區辦公室及5,855 家門市。","5.9200","公噸/門市數","AA1000 第二類型高度保證等級之要求"
"=""2913""","農林","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2915""","潤泰全","0.0000","385.6860","385.6860","母公司","0.1439","公噸/百萬元營業額","N/A"
"=""2923""","鼎固-KY","0.0000","31,401.0000","31,401.0000","包含母子公司主要項目據點、上海打浦橋日月光中心、上海嘉定日月光中心、上海嘉定日月光辦公樓、上海御華山以及重慶日月光中心。","2.6800","公噸/百萬元營業額","N/A"
"=""2929""","淘帝-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2939""","凱羿-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2945""","三商家購","N/A","336.0500","336.0500","物流中心回收紙磚","N/A","N/A","N/A"
"=""3002""","歐格","0.0000","12.8600","12.8600","母公司","0.0319","公噸/百萬元營業額","N/A"
"=""3003""","健和興","56.4700","28.0480","84.5180","母公司","0.0311","公噸/百萬元營業額","ISO 14001"
"=""3004""","豐達科","241.9100","293.6300","535.5400","僅母公司(豐達科技股份有限公司一、二、三、四廠)","0.1960","公噸/百萬元營業額","ISO 14001"
"=""3005""","神基","1,741.2867","4,585.0762","6,326.3629","資料範圍涵蓋神基投控暨合併財務報表之八家重要子公司，覆蓋率達合併營收之91.2%。本公司取得ISO14001環境系統認證管理，落實內部廢棄物處理程序。","0.1818","公噸/百萬元營業額","ISO 14001"
"=""3006""","晶豪科","0.4264","17.8000","18.2264","資料統計扣除一般事業廢棄物進行資源回收之數值。整體計算統計依環境部之廢棄物申報及管理系統資訊","33.0788","其他","ISO 14001"
"=""3008""","大立光","65.2200","3,593.3000","3,658.5200","2023/1/1~2023/12/31","N/A","N/A","ISO 14001"
"=""3010""","華立","25.3100","58.0300","83.3400","母公司華立及子公司全順、國軒","N/A","N/A","N/A"
"=""3011""","今皓","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3013""","晟銘電","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3014""","聯陽","0.9700","19.3500","20.3200","母公司","0.0032","公噸/百萬元營業額","ISO 14001,UL2799"
"=""3015""","全漢","19.6028","430.4513","450.0541","時間為2023年1月1日~12月31日；廠區包含全漢企業股份有限公司總部、桃二廠區與桃三廠、全漢企業股份有限公司高雄分公司、輝力廠、仲漢電子(深圳)有限公司、深圳市眾漢科技有限公司福永廠、無錫全漢科技有限公司","N/A","N/A","N/A"
"=""3016""","嘉晶","4.9300","156.3000","161.2300","嘉晶全部生產製造廠區","N/A","N/A","N/A"
"=""3017""","奇鋐","583.7000","8,590.2400","9,173.9400","深圳奇宏/興奇宏、東莞明鑫/興奇宏、成都奇宏、武漢奇宏/興奇宏、嘉善萬順達、越南","0.1550","公噸/百萬元營業額","N/A"
"=""3018""","隆銘綠能","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3019""","亞光","15.8100","50.4800","66.2900","台灣廠區","0.0037","公噸/百萬元營業額","N/A"
"=""3021""","鴻名","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3022""","威強電","0.4470","0.5320","0.9790","母公司","0.0002","公噸/百萬元營業額","N/A"
"=""3023""","信邦","110.1300","1,853.8700","1,964.0000","本公司、100%持股子公司","0.0600","公噸/百萬元營業額","N/A"
"=""3024""","憶聲","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3025""","星通","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3026""","禾伸堂","310.6000","648.0300","958.6300","母公司","0.0660","公噸/產品","N/A"
"=""3027""","盛達","7.1100","25.1300","32.2400","盛達新店廠及宜蘭廠","N/A","N/A","ISO 9001,ISO 14001"
"=""3028""","增你強","N/A","19.5600","19.5600","台北總公司、新竹、台中及高雄營運據點","0.0014","公噸/百萬元營業額","N/A"
"=""3029""","零壹","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3030""","德律","0.0000","95.4240","95.4240","僅母公司","0.0000","公噸/百萬元營業額","N/A"
"=""3031""","佰鴻","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3032""","偉訓","0.0000","17.3500","17.3500","僅母公司","0.0027","公噸/百萬元營業額","N/A"
"=""3033""","威健","0.0000","102.9140","102.9140","母公司台灣營業據點","0.0031","公噸/百萬元營業額","N/A"
"=""3034""","聯詠","0.0000","395.9000","395.9000","母公司","0.0036","公噸/百萬元營業額","ISO 14064-1"
"=""3035""","智原","0.8660","25.2869","26.1529","僅母公司(新竹營運據點、台北及台南辦公室)為統計邊界。","0.0022","公噸/百萬元營業額"," AA1000 高度保證"
"=""3036""","文曄","0.0000","132.5600","132.5600","台灣、香港、新加坡","0.0029","公噸/m2","N/A"
"=""3037""","欣興","65,375.0000","28,814.0000","94,189.0000","母公司及部分子公司 ","0.9100","公噸/百萬元營業額","ISO 14001"
"=""3038""","全台","38.0000","215.0000","253.0000","母公司及東莞廠","0.0240","公噸/KPCS","N/A"
"=""3040""","遠見","N/A","N/A","500.0000","無工廠，無生產行為","N/A","N/A","N/A"
"=""3041""","揚智","0.0000","41.0000","41.0000","母公司","0.0010","公噸/產品","N/A"
"=""3042""","晶技","318.9300","120.5100","439.4400","平鎮廠","0.0499","公噸/百萬元營業額","ISO 14001"
"=""3043""","科風","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3044""","健鼎","94,044.0000","31,427.0000","125,471.0000","包含合併財務報表之母子公司","2.1300","公噸/百萬元營業額","ISO 9001,ISO 14001,UL 2799A"
"=""3045""","台灣大","0.0000","1,986.0580","1,986.0580","含合併財務報表之母子公司共30家","N/A","N/A","N/A"
"=""3046""","建碁","0.0000","0.5430","0.5430","含合併財務報表之母子公司 ","0.0001","公噸/百萬元營業額","N/A"
"=""3047""","訊舟","0.0000","130.0000","130.0000","母公司(台北總公司)","0.0395","公噸/百萬元營業額","N/A"
"=""3048""","益登","0.0000","1.3000","1.3000","母公司辦公室營運垃圾及倉庫廢棧板","N/A","N/A","N/A"
"=""3049""","精金","406.5720","1,489.5000","1,896.0720","母公司","0.0000","公噸/百萬元營業額","ISO 14001"
"=""3050""","鈺德","168.0000","41.0000","209.0000","僅母公司","N/A","N/A","ISO 14001"
"=""3051""","力特","0.2500","533.8300","534.0800","母公司","0.2665","公噸/百萬元營業額","N/A"
"=""3052""","夆典","0.0000","14.6841","14.6841","夆典科技開發集團總部辦公室，事業廢棄物+生活廢棄物。","0.0042","公噸/百萬元營業額","N/A"
"=""3054""","立萬利","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3055""","蔚華科","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3056""","富華新","0.0000","2.0000","2.0000","資料涵蓋母公司及子公司總太營造","N/A","N/A","N/A"
"=""3057""","喬鼎","0.0500","18.3540","18.4040","母公司","0.0315","公噸/百萬元營業額","N/A"
"=""3058""","立德","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3059""","華晶科","0.0000","46.2000","46.2000","新竹總部、台北辦公室","N/A","N/A","N/A"
"=""3060""","銘異","0.0000","24.4200","24.4200","僅母公司桃園市龜山區範疇","N/A","N/A","ISO 14001"
"=""3062""","建漢","0.0012","0.0125","0.0137","母公司","N/A","N/A","N/A"
"=""3090""","日電貿","N/A","N/A","4.2300","盤查範圍為日電貿公司/新店、中和","0.0023","公噸/百萬元營業額","N/A"
"=""3092""","鴻碩","0.0000","76.1210","76.1210","合併財務報表之重要子公司-鴻碩蘇州公司與鴻碩湖北公司","0.0353","公噸/百萬元營業額","ISO 14001"
"=""3094""","聯傑","0.0440","6.2496","6.2936","母公司","0.0271","公噸/百萬元營業額","N/A"
"=""3130""","一零四","0.0000","29.5880","29.5880","包含新店總公司","0.0310","公噸/人","N/A"
"=""3138""","耀登","0.0000","6.3090","6.3090","母公司","51.0000","公噸/人","N/A"
"=""3149""","正達","0.0000","368.3900","368.3900","母公司(台灣地區)","0.5500","公噸/百萬元營業額","ISO 14001"
"=""3150""","鈺寶-創","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3164""","景岳","1.3605","67.9595","69.3200","112年全廠廢棄物清運量","3.7089","公噸/產品","N/A"
"=""3167""","大量","0.0000","31.4000","31.4000","僅母公司","N/A","N/A","N/A"
"=""3168""","眾福科","0.0000","21.3000","21.3000","合併財務報表之母子公司","N/A","N/A","ISO 9001,ISO 14001"
"=""3189""","景碩","7,713.2190","3,904.8920","11,618.1110","母公司","0.6006","公噸/百萬元營業額","N/A"
"=""3209""","全科","0.0000","62.9300","62.9300","本公司於台灣總部、台灣的各點辦公室及物流倉儲。","0.0011","公噸/百萬元營業額","N/A"
"=""3229""","晟鈦","86.0000","172.0510","258.0510","合併財務報表之母子公司","0.2800","公噸/百萬元營業額","ISO 14001"
"=""3231""","緯創","1,203.0891","30,624.3159","31,827.4050","緯創資通股份有限公司、緯創資通(昆山)有限公司、緯創資通(中山)有限公司、緯創資通(重慶)有限公司、緯創資通(成都)有限公司、Wistron InfoComm Mexico S.A. de C.V. 、Wistron InfoComm (Czech Republic) s.r.o. 、緯視晶光電(昆山)有限公司、Wistron Technology (Malaysia) Sdn. Bhd. 、Wistron InfoComm (Vietnam) Co., Ltd、高雄晶傑達光電科技股份有限公司、緯潤高新材料(昆山)有限公司、蔚隆(昆山)汽車電子有限公司及2023年報中之專業投資/控股事業(鼎創有限公司除外）","0.0480","公噸/百萬元營業額","ISO 14001"
"=""3257""","虹冠電","0.0000","1.7530","1.7530","母公司及子公司","0.0016","公噸/百萬元營業額","N/A"
"=""3266""","昇陽","N/A","18.8480","18.8480","僅母公司辦公室","0.0049","公噸/百萬元營業額","N/A"
"=""3296""","勝德","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3305""","昇貿","0.0000","41.1940","41.1940","2023年度桃科廠","N/A","N/A","N/A"
"=""3308""","聯德","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3311""","閎暉","12.3615","8.6190","20.9805","本公司之子公司(旭榮電子(深圳)有限公司)","0.1614","公噸/百萬元營業額","N/A"
"=""3312""","弘憶股","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3321""","同泰","246.6000","334.2800","580.8800","母公司","0.4500","公噸/百萬元營業額","N/A"
"=""3338""","泰碩","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3346""","麗清","22.8130","50.5000","73.3130","母公司 (2023/01-2023/12)","4.0500","公噸/百萬元營業額","ISO 14001"
"=""3356""","奇偶","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3376""","新日興","70.7100","691.4700","762.1800","台灣廠區","0.1019","公噸/百萬元營業額","N/A"
"=""3380""","明泰","77.9602","729.5143","807.4745","新竹、常熟、越南廠","0.0001","公噸/產品","ISO 14001"
"=""3406""","玉晶光","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3413""","京鼎","576.5200","2,200.9970","2,777.5170","1.京鼎精密科技、承鼎精密、凱諾科技股份有限公司(科中廠) 2.京鼎精密科技、承鼎精密股份有限公司竹南科研廠(科研廠) 3.富士邁半導體精密工業(上海)有限公司 4.富曜半導體(昆山)有限公司","0.2128","公噸/百萬元營業額","ISO 14001"
"=""3416""","融程電","0.3192","25.9000","26.2192","僅母公司","0.0106","公噸/百萬元營業額","N/A"
"=""3419""","譁裕","1.6000","17.0400","18.6400","台灣(新竹總部、鳳山製造中心)","N/A","N/A","ISO 14001"
"=""3432""","台端","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3437""","榮創","1.3900","56.0920","57.4820","公司營運範圍","0.0291","公噸/百萬元營業額","ISO 14001"
"=""3443""","創意","0.9320","0.9400","1.8720","新竹總部","N/A","N/A","N/A"
"=""3447""","展達","4.0355","59.2700","63.3055","母公司(台北總部)、合併財務報表之子公司(蘇州工廠、泰國工廠)","0.0221","公噸/百萬元營業額","N/A"
"=""3450""","聯鈞","0.0000","47.9800","47.9800","母公司","N/A","N/A","N/A"
"=""3481""","群創","19,501.0000","48,706.0000","68,207.0000","母公司及部分子公司","0.3221","公噸/百萬元營業額","ISO 14001"
"=""3494""","誠研","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3501""","維熹","9.0000","52.0000","61.0000","合併財務報表之母子公司(不含美日子公司)","0.0110","公噸/百萬元營業額","N/A"
"=""3504""","揚明光","7.6680","80.8960","88.5640","新竹科學園區新安路7號地下1樓至3樓","0.0322","公噸/百萬元營業額","ISO 14001"
"=""3515""","華擎","N/A","N/A","3.9416","母公司(台灣)","0.0124","員工人均廢棄物量","N/A"
"=""3518""","柏騰","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3528""","安馳","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3530""","晶相光","N/A","N/A","0.0000","N/A","N/A","N/A","N/A"
"=""3532""","台勝科","1.5410","5,541.5400","5,543.0810","母公司","0.0280","公噸/產品","N/A"
"=""3533""","嘉澤","299.0000","17,529.0000","17,828.0000","本公司廣州廠、中山廠、蘇州廠、越南廠","0.7282","公噸/百萬元營業額","N/A"
"=""3535""","晶彩科","0.0000","16.5900","16.5900","竹北總公司","0.0383","公噸/百萬元營業額","N/A"
"=""3543""","州巧","49.3280","112.4350","161.7630","本公司總部暨工廠包括新竹廠,台南廠,蘇州廠,廈門廠","0.0497","公噸/百萬元營業額","N/A"
"=""3545""","敦泰","0.0000","2.0012","2.0012","敦泰電子股份有限公司(台灣母公司)","0.0001","公噸/百萬元營業額","N/A"
"=""3550""","聯穎","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3557""","嘉威","3.7100","6.0900","9.8000","母公司及大陸子公司 (其中大陸子公司尚未統計非有害廢棄物)","0.0021","公噸/百萬元營業額","N/A"
"=""3563""","牧德","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3576""","聯合再生","568.5540","1,569.8840","2,138.4380","涵蓋竹科廠、竹南廠及台南廠營運範圍","0.2107","公噸/百萬元營業額","N/A"
"=""3583""","辛耘","15.0900","314.5200","329.6100","母公司湖口廠","N/A","N/A","ISO 14001"
"=""3588""","通嘉","0.8200","2.4000","3.2200","竹北市母公司所在地、新北市板橋及台南市辦公室","N/A","N/A","N/A"
"=""3591""","艾笛森","1.8700","41.2194","43.0894","艾笛森(含子公司艾特光電)於台灣所有廠區","0.0316","公噸/百萬元營業額","N/A"
"=""3592""","瑞鼎","17.7600","1.8100","19.5700","母公司 ","0.0011","公噸/百萬元營業額","ISO 14001"
"=""3593""","力銘","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3596""","智易","120.3400","1,213.9600","1,334.3000","1.智易科技股份有限公司 2.仁寶網路資訊(昆山)有限公司 3.Arcadyan Technology (Vietnam) Co., Ltd.","0.0261","公噸/百萬元營業額","N/A"
"=""3605""","宏致","1.1750","19.0200","20.1950","台灣宏致","0.0065","公噸/百萬元營業額","N/A"
