"報告年度:2023","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物(公噸(t))-有害廢棄物(公噸(t))","非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t))","總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t))","資料範圍-資料範圍","廢棄物密集度-密集度(公噸/單位)","廢棄物密集度-單位","驗證標準-取得驗證"
"=""1477""","聚陽","1,236.8400","8,550.1300","9,786.9700","聚陽股份有限公司(總公司)、 Leader Garments Corp.、 Moha Garments Co., Ltd.、 Triple Garment(Vietnam) Co., Ltd.、 Makalot Garments(Vietnam) Co., Ltd.、 Makalot Garments(Cambodia) Co., Ltd.、 PT. Glory Industrial Semarang、  PT. Starlight Garment Semarang、 Leader Garment(Vietnam) Co., Ltd.、 Jiaxing Ruiyang Garment Co., Ltd、 Jiaxing Rising Garment Co.,Ltd、 Jiaxing Suntex Garment Co.,Ltd ","0.3000","公噸/百萬元營業額","ISAE3000"
"=""1503""","士電","10.0000","881.0000","891.0000","揭露範疇以本公司四大事業群(三廠區)為主，不包含台北總部及各地分公司。","N/A","N/A","N/A"
"=""1504""","東元","286.2700","946.8900","1,233.1600","台灣地區、大陸/越南地區、美國地區、義大利地區 ","0.0000","公噸/百萬元營業額","ISO 14001"
"=""1506""","正道","0.6000","377.5800","378.1800","僅計算母公司(正道工業仁德廠區)廢棄物總重量","0.4032","公噸/百萬元營業額","N/A"
"=""1512""","瑞利","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1513""","中興電","5.5963","188.4100","194.0063","112年度(不含R類)","0.0088","公噸/百萬元營業額","ISO 14001"
"=""1514""","亞力","0.0000","70.5740","70.5740","僅母公司，其中含總公司、新莊廠、楊梅廠","0.0078","公噸/百萬元營業額","N/A"
"=""1515""","力山","0.0000","3.9000","3.9000","母公司","0.0005","公噸/百萬元營業額","ISO 14001"
"=""1516""","川飛","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1517""","利奇","0.0000","203.0973","203.0973","利奇機械工業股份有限公司 總公司：彰化市石牌里石牌路一段112號 南崗廠：南投縣南投市南崗工業區工業南五路8號","0.1489","公噸/百萬元營業額","N/A"
"=""1519""","華城","0.0000","143.5750","143.5750","包含合併財務報表之母子公司","N/A","N/A","ISO 14001"
"=""1521""","大億","23.0100","37.8800","60.8900","總公司：台南市南區新信路11號 金茂廠：台南市南區新樂路39號1-3樓","40.3600","公噸/百萬元營業額","ISO 14001"
"=""1522""","堤維西","0.0000","714.6000","714.6000","112年廢棄物聯單系統","0.0564","公噸/百萬元營業額","ISO 14001"
"=""1524""","耿鼎","0.0000","233.0500","233.0500","母公司","0.0149","公噸/產品","N/A"
"=""1525""","江申","0.0000","220.0700","220.0700","母公司","0.1377","公噸/百萬元營業額","N/A"
"=""1526""","日馳","0.0000","46.7840","46.7840","日馳企業股份有限公司","0.0470","公噸/百萬元營業額","N/A"
"=""1527""","鑽全","0.0000","327.3850","327.3850","2023/01/01-2023/12/31","9.0390","公噸/百萬元營業額","ISO 14001"
"=""1528""","恩德","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1529""","樂事綠能","0.0000","14.3000","14.3000","楊梅工廠","0.0190","公噸/百萬元營業額","N/A"
"=""1530""","亞崴","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
