"報告年度:2023","議題:溫室氣體排放"
"公司代號","公司名稱","直接(範疇一)溫室氣體排放量-數據(公噸CO₂e)","直接(範疇一)溫室氣體排放量-資料邊界","直接(範疇一)溫室氣體排放量-確信範圍","能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e)","能源間接(範疇二)溫室氣體排放量-資料邊界","能源間接(範疇二)溫室氣體排放量-確信範圍","其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e)","其他間接(範疇三)溫室氣體排放量-資料邊界","其他間接(範疇三)溫室氣體排放量-確信範圍","溫室氣體排放密集度-密集度(公噸CO₂e/百萬元營業額)"
"=""1326""","台化","5,143,026.0000","台化母公司及台灣醋酸公司2023年經第三方查證數據，請參閱本公司2023年永續報告書P.70","台化母公司及台灣醋酸公司","3,016,074.0000","台化母公司及台灣醋酸公司2023年經第三方查證數據，請參閱本公司2023年永續報告書P.70","台化母公司及台灣醋酸公司","14,640,213.0000","台化母公司2023年經第三方查證數據，請參閱本公司2023年永續報告書P.70","台化母公司","37.5052"
"=""1337""","再生-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1338""","廣華-KY","1,503.9900","子公司東莞廣澤汽車飾件有限公司","子公司東莞廣澤汽車飾件有限公司","27,200.5000","子公司東莞廣澤汽車飾件有限公司","子公司東莞廣澤汽車飾件有限公司","25,407.0700","東莞廣澤汽車飾件有限公司","子公司東莞廣澤汽車飾件有限公司","60.6200"
"=""1339""","昭輝","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1340""","勝悅-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1341""","富林-KY","25,985.2346","僅本公司之子公司越南海防廠及同奈廠","僅本公司之子公司越南同奈廠","19,587.7507","僅本公司之子公司越南海防廠及同奈廠","僅本公司之子公司越南同奈廠","N/A","N/A","N/A","18.1129"
"=""1342""","八貫","3,164.6843","111年","111年","4,296.9425","111年","111年","1,562.3219","111年","111年","N/A"
"=""1402""","遠東新","1,025,202.0000","母公司及合併財務報告部分子公司（70家）","母公司及合併財務報告部分子公司（70家）","1,156,734.0000","母公司及合併財務報告部分子公司（70家）","母公司及合併財務報告部分子公司（70家）","11,685,654.0000","母公司及合併財務報告部分子公司（70家）","母公司及合併財務報告部分子公司（70家）","6.8300"
"=""1409""","新纖","106,566.0000","僅母公司","僅母公司","180,973.0000","僅母公司","僅母公司","N/A","N/A","N/A","13.1772"
"=""1410""","南染","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
