"報告年度:2023","議題:溫室氣體排放"
"公司代號","公司名稱","直接(範疇一)溫室氣體排放量-數據(公噸CO₂e)","直接(範疇一)溫室氣體排放量-資料邊界","直接(範疇一)溫室氣體排放量-確信範圍","能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e)","能源間接(範疇二)溫室氣體排放量-資料邊界","能源間接(範疇二)溫室氣體排放量-確信範圍","其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e)","其他間接(範疇三)溫室氣體排放量-資料邊界","其他間接(範疇三)溫室氣體排放量-確信範圍","溫室氣體排放密集度-密集度(公噸CO₂e/百萬元營業額)"
"=""2890""","永豐金","1,508.2000","金控及旗下5家主要子公司（永豐銀行、永豐金證券、永豐投信、永豐金租賃、永豐創業投資)之國內外所有營運據點納入統計範疇(包含合併財務報表之母子公司)。","包含合併財務報表之母子公司","15,401.4500","金控及旗下5家主要子公司（永豐銀行、永豐金證券、永豐投信、永豐金租賃、永豐創業投資)之國內外所有營運據點納入統計範疇(包含合併財務報表之母子公司)。","包含合併財務報表之母子公司","3,384,058.4500","資料邊界： 1.上游運輸與配送、採購的產品與服務及營運過程產生的廢棄物等3項邊界包括金控及旗下5家主要子公司（永豐銀行、永豐金證券、永豐投信、永豐金租賃、永豐創業投資）之國內所有營運據點，其餘項目包括國內外所有營運據點(包含合併財務報表之母子公司)。 2.範疇三上游運輸與配送、下游運輸與配送、商務旅行、採購的產品與服務、燃燒與能源相關活動、營運過程產生的廢棄物、上游資產租賃、銷售產品與服務的使用及銷售產品與服務的生命終期處理等9項，經BSI 依ISO14064-3驗證標準驗證通過，排放量為9,316.17 t-CO2e；範疇三投融資部位之碳排放經經BSI 依ISO14064-3驗證標準驗證通過，排放量為3,374,742.28t-CO2e，依循「碳會計金融聯盟（PCAF）」2022年12月30日所發布之《投融資組合財務碳排放：全球溫室氣體盤查和報告準則》（Financed Emissions: The Global GHG Accounting and Reporting Standard Part A）、銀行公會2023年10月發布之《本國銀行投融資組合財務碳排放(範疇三)實務手冊》以及PCAF 2023年12月1日發布《資本市場促進碳排放：全球溫室氣體盤查和報告準則》（Facilitated Emissions: The Global GHG Accounting and Reporting Standard Part Ｂ），以2023年12月29日之自有資金投融資、投信資產管理業務以及2023年度資本市場促進金額進行碳盤查，並於今年度導入ISO 14064溫室氣體排放查證。盤查範疇涵蓋房屋貸款、商業貸款、公司債投資、主權債務、專案投融資、商業不動產投融資、上市櫃/未上市櫃股權投資、機動車貸款等資產類別。 ","上游運輸與配送、採購的產品與服務及營運過程產生的廢棄物等3項邊界包括金控及旗下5家主要子公司（永豐銀行、永豐金證券、永豐投信、永豐金租賃、永豐創業投資）之國內所有營運據點，其餘項目包括國內外所有營運據點(包含合併財務報表之母子公司)","0.3140"
"=""2891""","中信金","4,132.0000","中信金控、中信銀行、台灣彩券、中信保全、台灣人壽(含子公司中信產險及日月行館)、中信資產管理、中信創投(含子公司中信育樂、中信資本及和順興)、中信投信、中信證券(含子公司中信證投顧及中信證創投)及中信資融。","中信金控、中信銀行、台灣彩券、中信保全、台灣人壽(含子公司中信產險及日月行館)、中信資產管理、中信創投(含子公司中信育樂、中信資本及和順興)、中信投信、中信證券(含子公司中信證投顧及中信證創投)及中信資融。","40,044.0000","中信金控、中信銀行、台灣彩券、中信保全、台灣人壽(含子公司中信產險及日月行館)、中信資產管理、中信創投(含子公司中信育樂、中信資本及和順興)、中信投信、中信證券(含子公司中信證投顧及中信證創投)及中信資融。","中信金控、中信銀行、台灣彩券、中信保全、台灣人壽(含子公司中信產險及日月行館)、中信資產管理、中信創投(含子公司中信育樂、中信資本及和順興)、中信投信、中信證券(含子公司中信證投顧及中信證創投)及中信資融。","20,162,923.0000","1.員工差旅：中信金控及中信銀行，包含高鐵、飛機、計程車。 2.員工通勤：中信金控、中信銀行、台灣人壽(含中信產險)、中信證券(含中信證投顧、中信證創投)、中信資產管理、中信創投(含和順興)、中信投信、台灣彩券、中信資融之臺灣地區正式員工。 3.營運中產生的廢物：中信金控、中信銀行全據點及金控轄下各子公司之總部(不含總部園區商家)。 4.與燃料和能源有關的活動：中信金控、中信銀行、台灣彩券、中信保全、台灣人壽(含子公司中信產險及日月行館)、中信資產管理、中信創投(含子公司中信育樂、中信資本及和順興)、中信投信、中信證券(含子公司中信證投顧及中信證創投)及中信資融。 5.投融資： (1)法人授信：中信銀國內外分子行、台灣人壽； (2)股權及公司債投資：中信銀國內外分子行、中信證券及其子公司、台灣人壽及其子公司； (3)電廠專案融資：中信銀國內外分子行、台灣人壽； (4)國內個金房貸：中信銀國內外分子行； (5)商業不動產授信：中信銀國內外分子行、台灣人壽； (6)主權國家債務：投資：中信銀國內外分子行、中信證券及其子公司、台灣人壽及其子公司；授信：中信銀國內外分行。","1.員工差旅：中信金控及中信銀行，包含高鐵、飛機、計程車。 2.員工通勤：中信金控、中信銀行、台灣人壽(含中信產險)、中信證券(含中信證投顧、中信證創投)、中信資產管理、中信創投(含和順興)、中信投信、台灣彩券、中信資融之臺灣地區正式員工。 3.營運中產生的廢物：中信金控、中信銀行全據點及金控轄下各子公司之總部(不含總部園區商家)。 4.與燃料和能源有關的活動：中信金控、中信銀行、台灣彩券、中信保全、台灣人壽(含子公司中信產險及日月行館)、中信資產管理、中信創投(含子公司中信育樂、中信資本及和順興)、中信投信、中信證券(含子公司中信證投顧及中信證創投)及中信資融。 5.投融資：涵蓋高碳排產業暴險、PCAF財務碳排放、暴雨淹水風險與坡地災害風險暴險。","0.3200"
"=""2892""","第一金","2,809.0000","包含合併財務報表之母子公司","包含合併財務報表之母子公司","16,431.0000","包含合併財務報表之母子公司","包含合併財務報表之母子公司","12,925,535.0000","類別三：運輸中的間接溫室氣體排放(上游運輸配送、商務旅行、員工通勤、下游運輸配送) 類別四：組織使用產品造成之間接溫室氣體排放(購買的商品及服務、資本貨物、燃料與能源相關活動、營運中產生的廢棄物) 類別五：使用來自組織之產品造成之間接溫室氣體排放 (銷售產品加工、銷售產品使用、 銷售產品終端處理、下游租賃資產)、投資","商務旅行、員工通勤、下游運輸配送、 燃料與能源相關活動、營運中產生的廢棄物、 銷售產品終端處理、 購買的商品及服務(自來水)","0.2900"
"=""2897""","王道銀行","287.0700","包含母公司個體之全球營運據點","包含母公司個體之全球營運據點","2,471.5900","包含母公司個體之全球營運據點","包含母公司個體之全球營運據點","1,487.1800","包含母公司個體之全球營運據點","包含母公司個體之全球營運據點","0.4000"
"=""2901""","欣欣","N/A","N/A","N/A","2,626,431.0000","本公司賣場大樓(含影城)","N/A","N/A","N/A","N/A","N/A"
"=""2903""","遠百","5,512.2852","遠百母公司及2023年取得ISO 14064認證之子公司，包含遠百各營運據點","遠百母公司及2023年取得ISO 14064認證之子公司，包含遠百各營運據點","72,050.0577","遠百母公司及2023年取得ISO 14064認證之子公司，包含遠百各營運據點","遠百母公司及2023年取得ISO 14064認證之子公司，包含遠百各營運據點","73,049.0714","第4 類：組織使用產品產生之間接溫室氣體排放 (台電、柴油、車用汽油、液化石油氣、水) 第5類：與組織的產品使用相關之間接溫室氣體排放 (台電、水、液化石油氣、天然氣)","遠東百貨組織邊界14大區域地址","12.7570"
"=""2904""","匯僑","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2905""","三商","1.2555","母公司","母公司","93.7530","母公司","母公司","19.0042","母公司","N/A","0.0006"
"=""2906""","高林","6.5568","本公司依ISO 14064-1:2018組織邊界採營運控制權方法，針對公司2023年度溫室氣體排放或移除量進行彙總。G2000門市佈局全台，其用途為銷售產品之零售門市，溫室氣體盤查推行小組決議22家具代表性之路邊 店門市，以利推動公司減碳業務。","本公司依ISO 14064-1:2018組織邊界採營運控制權方法，針對公司2023年度溫室氣體排放或移除量進行彙總。G2000門市佈局全台，其用途為銷售產品之零售門市，溫室氣體盤查推行小組決議22家具代表性之路邊 店門市，以利推動公司減碳業務。","605.3163","本公司依ISO 14064-1:2018組織邊界採營運控制權方法，針對公司2023年度溫室氣體排放或移除量進行彙總。G2000門市佈局全台，其用途為銷售產品之零售門市，溫室氣體盤查推行小組決議22家具代表性之路邊 店門市，以利推動公司減碳業務。","本公司依ISO 14064-1:2018組織邊界採營運控制權方法，針對公司2023年度溫室氣體排放或移除量進行彙總。G2000門市佈局全台，其用途為銷售產品之零售門市，溫室氣體盤查推行小組決議22家具代表性之路邊 店門市，以利推動公司減碳業務。","119.7459","本公司依ISO 14064-1:2018組織邊界採營運控制權方法，針對公司2023年度溫室氣體排放或移除量進行彙總。G2000門市佈局全台，其用途為銷售產品之零售門市，溫室氣體盤查推行小組決議22家具代表性之路邊 店門市，以利推動公司減碳業務。","本公司依ISO 14064-1:2018組織邊界採營運控制權方法，針對公司2023年度溫室氣體排放或移除量進行彙總。G2000門市佈局全台，其用途為銷售產品之零售門市，溫室氣體盤查推行小組決議22家具代表性之路邊 店門市，以利推動公司減碳業務。","N/A"
"=""2908""","特力","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2910""","統領","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2911""","麗嬰房","470.0000","僅母公司","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2912""","統一超","30,177.0300","母公司，盤查範圍涵蓋7,009 個據點，包含門市、總公司、商場及地區辦公室、訓練中心用電等，溫室氣體盤查邊界涵蓋率99.45%。","母公司，盤查範圍涵蓋7,009 個據點，包含門市、總公司、商場及地區辦公室、訓練中心用電等，溫室氣體盤查邊界涵蓋率99.45%。","513,790.6000","母公司，盤查範圍涵蓋7,009 個據點，包含門市、總公司、商場及地區辦公室、訓練中心用電等，溫室氣體盤查邊界涵蓋率99.45%。","母公司，盤查範圍涵蓋7,009 個據點，包含門市、總公司、商場及地區辦公室、訓練中心用電等，溫室氣體盤查邊界涵蓋率99.45%。","4,556,627.9300","母公司，包含採購商品、電力上游排放、上游運輸、廢棄物處理、商務旅行、員工通勤、銷售產品廢棄物處理排放。","母公司","2.7500"
"=""2913""","農林","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2915""","潤泰全","271.9799","母公司","母公司","3,091.3628","母公司","母公司","616.0647","母公司","母公司-有限保證","1.2545"
"=""2923""","鼎固-KY","1,527.0000","包含母子公司主要項目據點、上海打浦橋日月光中心、上海嘉定日月光中心、上海嘉定日月光辦公樓、上海御華山以及重慶日月光中心。","鼎固控股有限公司2023年度母公司個體","39,094.0000","包含母子公司主要項目據點、上海打浦橋日月光中心、上海嘉定日月光中心、上海嘉定日月光辦公樓、上海御華山以及重慶日月光中心。","鼎固控股有限公司2023年度母公司個體","N/A","N/A","N/A","3.4600"
"=""2929""","淘帝-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2939""","凱羿-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2945""","三商家購","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3002""","歐格","N/A","N/A","N/A","37.1715","母公司","N/A","N/A","N/A","N/A","0.0923"
"=""3003""","健和興","70.3466","母公司","N/A","5,244.0698","母公司","N/A","N/A","N/A","N/A","1.9575"
"=""3004""","豐達科","419.1942","豐達科技股份有限公司母公司(TW一、二、三、四廠) 及 其主要子公司(大陸昆山)","豐達科技股份有限公司 母公司(TW一、二、三、四廠) 及 其主要子公司(大陸昆山)皆達合理保證等級之確信","11,697.5422","豐達科技股份有限公司母公司(TW一、二、三、四廠) 及 其主要子公司(大陸昆山)","豐達科技股份有限公司 母公司(TW一、二、三、四廠) 及 其主要子公司(大陸昆山)皆達合理保證等級之確信","9,104.1944","豐達科技股份有限公司母公司(TW一、二、三、四廠) 及 其主要子公司(大陸昆山)","豐達科技股份有限公司 母公司(TW一、二、三、四廠) 及 其主要子公司(大陸昆山)皆查證確信","3.9460"
"=""3005""","神基","13,223.7538","涵蓋神基投控暨其八家子公司","涵蓋神基投控暨其八家子公司","93,958.5677","涵蓋神基投控暨其八家子公司","涵蓋神基投控暨其八家子公司","233,235.3608","涵蓋神基投控暨其八家子公司","涵蓋神基投控暨其八家子公司","3.0806"
"=""3006""","晶豪科","55.8122","台灣辦公室(新竹、台北南港、台南)","N/A","3,896.5984","台灣辦公室(新竹、台北南港、台南)","N/A","N/A","N/A","N/A","0.3326"
"=""3008""","大立光","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3010""","華立","2,786.3571","母公司華立及子公司全順、國軒 ","N/A","1,248.6473","母公司華立及子公司全順、國軒  ","N/A","973.2811","母公司華立及子公司全順、國軒 ","N/A","13.0000"
"=""3011""","今皓","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3013""","晟銘電","5,449.8400","包含合併財務報表之母子公司","母公司-內部依據科學園區排放標準係數自行計算影響金額 子公司-東莞成銘電子有限公司-揭露溫室氣體總排放量中，4,501.81公噸CO2e經確信機構採ISO14064-3準則確信，確信意見為合理保證等級確信。 子公司-晟銘電子(寧波)有限公司-揭露溫室氣體總排放量中，192.85公噸CO2e經確信機構採ISO14064-3準則確信，確信意見為合理保證等級確信。","14,670.0200","包含合併財務報表之母子公司","母公司-內部依據科學園區排放標準係數自行計算影響金額 子公司-東莞成銘電子有限公司-揭露溫室氣體總排放量中，7,229.01公噸CO2e經確信機構採ISO14064-3準則確信，確信意見為合理保證等級確信。 子公司-晟銘電子(寧波)有限公司-揭露溫室氣體總排放量中，7.007.20公噸CO2e經確信機構採ISO14064-3準則確信，確信意見為合理保證等級確信。","N/A","N/A","N/A","N/A"
"=""3014""","聯陽","168.4000","母公司","N/A","1,231.0000","母公司","N/A","N/A","N/A","N/A","0.2200"
"=""3015""","全漢","1,141.5335","時間為2023年1月1日~12月31日；廠區包含全漢企業股份有限公司總部、桃二廠區與桃三廠、全漢企業股份有限公司高雄分公司、輝力廠、仲漢電子(深圳)有限公司、深圳市眾漢科技有限公司福永廠、無錫全漢科技有限公司","時間為2023年1月1日~12月31日；廠區包含全漢企業股份有限公司總部、桃二廠區與桃三廠、全漢企業股份有限公司高雄分公司、輝力廠、仲漢電子(深圳)有限公司、深圳市眾漢科技有限公司福永廠、無錫全漢科技有限公司","14,920.9434","時間為2023年1月1日~12月31日；廠區包含全漢企業股份有限公司總部、桃二廠區與桃三廠、全漢企業股份有限公司高雄分公司、輝力廠、仲漢電子(深圳)有限公司、深圳市眾漢科技有限公司福永廠、無錫全漢科技有限公司","時間為2023年1月1日~12月31日；廠區包含全漢企業股份有限公司總部、桃二廠區與桃三廠、全漢企業股份有限公司高雄分公司、輝力廠、仲漢電子(深圳)有限公司、深圳市眾漢科技有限公司福永廠、無錫全漢科技有限公司","49.2337","時間為2023年1月1日~12月31日；廠區包含全漢企業股份有限公司總部、桃二廠區與桃三廠、全漢企業股份有限公司高雄分公司、輝力廠、仲漢電子(深圳)有限公司、深圳市眾漢科技有限公司福永廠、無錫全漢科技有限公司","時間為2023年1月1日~12月31日；廠區包含全漢企業股份有限公司總部、桃二廠區與桃三廠、全漢企業股份有限公司高雄分公司、輝力廠、仲漢電子(深圳)有限公司、深圳市眾漢科技有限公司福永廠、無錫全漢科技有限公司","1.2200"
"=""3016""","嘉晶","602.9000","僅母公司","僅母公司","42,517.1000","僅母公司","僅母公司","8,796.0000","僅母公司","僅母公司","10.2000"
"=""3017""","奇鋐","6,084.1900","台灣、深圳奇宏/興奇宏、東莞明鑫/興奇宏、成都奇宏、武漢奇宏/興奇宏、嘉善萬順達、越南","深圳奇宏/興奇宏-BV 東莞明鑫/興奇宏-BV 成都奇宏-Intertek 武漢奇宏/興奇宏-BV 嘉善萬順達-TUV Rheinland 越南-TUV Nord","96,846.0900","台灣、深圳奇宏/興奇宏、東莞明鑫/興奇宏、成都奇宏、武漢奇宏/興奇宏、嘉善萬順達、越南","深圳奇宏/興奇宏-BV 東莞明鑫/興奇宏-BV 成都奇宏-Intertek 武漢奇宏/興奇宏-BV 嘉善萬順達-TUV Rheinland 越南-TUV Nord","251,081.3000","台灣、深圳奇宏/興奇宏、東莞明鑫/興奇宏、成都奇宏、武漢奇宏/興奇宏、嘉善萬順達、越南","深圳奇宏/興奇宏-BV 東莞明鑫/興奇宏-BV 成都奇宏-Intertek 武漢奇宏/興奇宏-BV 嘉善萬順達-TUV Rheinland 越南-TUV Nord","5.9805"
"=""3018""","隆銘綠能","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3019""","亞光","177.0520","母公司","母公司","9,411.3251","母公司","母公司","1,853.6881","母公司","母公司","0.5378"
"=""3021""","鴻名","26.1987","母公司(辦公室/泰山工廠)","N/A","163.1997","母公司(辦公室/泰山工廠)","N/A","61.9148","母公司(辦公室/泰山工廠)","N/A","N/A"
"=""3022""","威強電","173.6215","母公司","母公司","1,714.6078","母公司","母公司","1,842.0415","母公司","母公司","0.3802"
"=""3023""","信邦","2,838.3800","本公司、100%持股子公司","本公司、100%持股子公司","18,135.9500","本公司、100%持股子公司","本公司、100%持股子公司","128,715.9000","本公司、100%持股子公司","本公司、100%持股子公司","4.5700"
"=""3024""","憶聲","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3025""","星通","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3026""","禾伸堂","367.6258","母公司","母公司","29,670.8726","母公司","母公司","6,865.4039","母公司","母公司","N/A"
"=""3027""","盛達","68.9552","盛達電業、盛齊綠能、盛威儲能、晉好能源及盛智達科技","盛達電業、盛齊綠能、盛威儲能、晉好能源及盛智達科技","312.7713","盛達電業、盛齊綠能、盛威儲能、晉好能源及盛智達科技","盛達電業、盛齊綠能、盛威儲能、晉好能源及盛智達科技","262.1372","盛達電業、盛齊綠能、盛威儲能、晉好能源及盛智達科技","盛達電業、盛齊綠能、盛威儲能、晉好能源及盛智達科技","0.4100"
"=""3028""","增你強","101.2400","台北總公司、新竹、台中及高雄營運據點 ","N/A","574.0800","台北總公司、新竹、台中及高雄營運據點","N/A","N/A","N/A","N/A","0.0470"
"=""3029""","零壹","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3030""","德律","788.0550","僅母公司","N/A","1,556.9830","僅母公司","N/A","2,208.2300","僅母公司","N/A","1.0266"
"=""3031""","佰鴻","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3032""","偉訓","5.6000","僅母公司","N/A","476.6300","僅母公司","N/A","150.5200","僅母公司","N/A","0.0751"
"=""3033""","威健","104.4325","母公司營運據點(含香港,大陸)","N/A","369.1078","母公司營運據點(含香港,大陸)","N/A","1,011.4285","母公司營運據點(含香港,大陸)","N/A","0.0143"
"=""3034""","聯詠","750.0743","母公司,子公司(蘇州 , 西安)","母公司,子公司(蘇州 , 西安)","17,913.7282","母公司,子公司(蘇州 , 西安)","母公司,子公司(蘇州 , 西安)","1,646,004.3340","母公司","母公司","0.1666"
"=""3035""","智原","237.3393","僅母公司(新竹營運據點、台北及台南辦公室)為統計邊界","僅母公司(新竹營運據點、台北及台南辦公室)","3,229.0882","僅母公司(新竹營運據點、台北及台南辦公室)為統計邊界","僅母公司(新竹營運據點、台北及台南辦公室)","71,497.3059","僅母公司(新竹營運據點、台北及台南辦公室)為統計邊界","僅母公司(新竹營運據點、台北及台南辦公室)","0.2897"
"=""3036""","文曄","110.0573","個體公司及合併報表台灣子公司","個體公司及合併報表台灣子公司","1,431.8865","個體公司及合併報表台灣子公司","個體公司及合併報表台灣子公司","373.4026","個體公司及合併報表台灣子公司","個體公司及合併報表台灣子公司","0.0041"
"=""3037""","欣興","39,771.0000","母公司及部分子公司","母公司及部分子公司","930,311.0000","母公司及部分子公司","母公司及部分子公司","228,929.0000","母公司及部分子公司","母公司及部分子公司","9.3200"
"=""3038""","全台","98.0000","母公司及東莞廠","N/A","10,492.6900","母公司及東莞廠","N/A","50,520.0100","母公司","N/A","13.9300"
"=""3040""","遠見","0.0000","母公司","N/A","20.0000","母公司","N/A","N/A","N/A","N/A","N/A"
"=""3041""","揚智","0.0000","合併財報之母子公司","N/A","1,442.1100","合併財報之母子公司","N/A","N/A","N/A","N/A","0.0352"
"=""3042""","晶技","1,441.3380","平鎮廠","平鎮廠","21,774.9341","平鎮廠","平鎮廠","4,394.9502","平鎮廠","平鎮廠","3.1366"
"=""3043""","科風","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3044""","健鼎","68,479.0000","包含合併財務報表之母子公司","無錫及湖北廠區","670,980.0000","包含合併財務報表之母子公司","無錫及湖北廠區。","12,997.0000","無錫廠","N/A","12.5600"
"=""3045""","台灣大","6,098.4759","含合併財務報表之母子公司共30家","含合併財務報表之母子公司共30家","285,603.6986","含合併財務報表之母子公司共30家","含合併財務報表之母子公司共30家","341,603.4850","含合併財務報表之母子公司共30家","含合併財務報表之母子公司共30家","3.9363"
"=""3046""","建碁","0.0000","含合併財務報表之母子公司","含合併財務報表之母子公司","6.6919","含合併財務報表之母子公司","含合併財務報表之母子公司","93.9600","類別3、類別5、類別7","類別3、類別5、類別7","0.0012"
"=""3047""","訊舟","39.1096","母公司(台北總公司) ","N/A","814.0330","母公司(台北總公司)","N/A","515.2385","母公司(台北總公司)","N/A","0.2592"
"=""3048""","益登","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0045"
"=""3049""","精金","5,757.1929","母公司","母公司","40,356.7506","母公司","母公司","12,264.3630","母公司","母公司","0.0001"
"=""3050""","鈺德","73.4873","僅母公司","N/A","6,080.6072","僅母公司","N/A","N/A","N/A","N/A","N/A"
"=""3051""","力特","4,362.9236","母公司","N/A","9,746.3320","母公司","N/A","N/A","N/A","N/A","7.0405"
"=""3052""","夆典","97.7594","包含 1.夆典科技開發集團總部辦公室，97.5339 tCO2e 2.昌吉營造總部辦公室，0.2256 tCO2e","夆典科技開發集團總部辦公室(新民街)、昌吉營造總部辦公室(中正路)之溫室氣體排放量(範疇一、範疇二)。","162.6840","包含 1.夆典科技開發集團總部辦公室，157.9369 tCO2e 2.昌吉營造總部辦公室，4.7471 tCO2e","夆典科技開發集團總部辦公室(新民街)、昌吉營造總部辦公室(中正路)之溫室氣體排放量(範疇一、範疇二)。","593.9575","夆典科技開發集團總部辦公室、昌吉營造總部辦公室","N/A","0.0748"
"=""3054""","立萬利","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3055""","蔚華科","N/A","N/A","N/A","1,867.0000","僅母公司","N/A","N/A","N/A","N/A","1.3905"
"=""3056""","富華新","20.0000","資料涵蓋母公司及子公司總太營造","N/A","749.0000","資料涵蓋母公司及子公司總太營造 ","N/A","N/A","N/A","N/A","0.5052"
"=""3057""","喬鼎","21.2200","母公司","N/A","958.4200","母公司","N/A","N/A","N/A","N/A","1.6746"
"=""3058""","立德","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3059""","華晶科","23.8390","新竹總部、台北辦公室","N/A","1,267.5020","新竹總部、台北辦公室","N/A","N/A","N/A","N/A","0.1420"
"=""3060""","銘異","50.1230","僅母公司桃園市龜山區範疇","N/A","3,836.3990","僅母公司桃園市龜山區範疇","N/A","N/A","N/A","N/A","N/A"
"=""3062""","建漢","145.8026","母公司(含創新廠)","N/A","499.7304","母公司(含創新廠)","N/A","3,850.6649","母公司(含創新廠)","N/A","16.9636"
"=""3090""","日電貿","60.4900","盤查範圍為日電貿公司(僅母公司)/新店、中和","N/A","115.2500","盤查範圍為日電貿公司(僅母公司)/新店、中和","N/A","281.5300","盤查範圍為日電貿公司(僅母公司)","N/A","0.2500"
"=""3092""","鴻碩","1,260.9700","合併財務報表之重要子公司-鴻碩蘇州公司及鴻碩湖北公司","合併財務報表之重要子公司-鴻碩蘇州公司及鴻碩湖北公司","16,792.0800","合併財務報表之重要子公司-鴻碩蘇州公司及鴻碩湖北公司","合併財務報表之重要子公司-鴻碩蘇州公司及鴻碩湖北公司","20,766.3000","合併財務報表之重要子公司-鴻碩蘇州公司及鴻碩湖北公司","合併財務報表之重要子公司-鴻碩蘇州公司及鴻碩湖北公司","17.9793"
"=""3094""","聯傑","87.7770","聯傑大樓(排除出租樓層並且不含公共區域)+台南兩間辦公室","N/A","399.8872","聯傑大樓(排除出租樓層並且不含公共區域)+台南兩間辦公室","N/A","830.9600","母公司","N/A","2.1022"
"=""3130""","一零四","98.1005","包含全集團。","N/A","1,069.5302","包含合併財務報表之母子公司。","N/A","N/A","N/A","N/A","0.5013"
"=""3138""","耀登","14.9659","母公司","母公司","118.7835","母公司","母公司","61.9204","母公司","母公司","0.1400"
"=""3149""","正達","218.0300","母子公司(台灣地區)","N/A","14,914.7000","母子公司(台灣地區)","N/A","4,664.1800","母子公司(台灣地區)","N/A","18.5300"
"=""3150""","鈺寶-創","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3164""","景岳","239.1000","製程用:112年鍋爐天然氣使用量","N/A","1,859.2400","112年全廠用電","N/A","N/A","N/A","N/A","6.7810"
"=""3167""","大量","85.3079","僅母公司","N/A","475.9706","僅母公司","N/A","N/A","N/A","N/A","N/A"
"=""3168""","眾福科","68.9641","合併財務報表之母子公司","N/A","5,414.7424","合併財務報表之母子公司","N/A","N/A","N/A","N/A","N/A"
"=""3189""","景碩","13,287.0570","母公司","母公司","224,552.9364","母公司","母公司","108,854.4258","母公司","母公司","12.2959"
"=""3209""","全科","N/A","N/A","N/A","245.9400","本公司台灣總部、台灣的各點辦公室及物流倉儲。","N/A","N/A","N/A","N/A","0.0044"
"=""3229""","晟鈦","N/A","N/A","N/A","4,149.0000","合併財務報表之母子公司","N/A","N/A","N/A","N/A","4.4700"
"=""3231""","緯創","15,378.0100","緯創資通股份有限公司、緯創資通(昆山)有限公司、緯創資通(中山)有限公司、緯創資通(重慶)有限公司、緯創資通(成都)有限公司、Wistron InfoComm Mexico S.A. de C.V. 、Wistron InfoComm (Czech Republic) s.r.o. 、緯視晶光電(昆山)有限公司、Wistron Technology (Malaysia) Sdn. Bhd. 、Wistron InfoComm (Vietnam) Co., Ltd、高雄晶傑達光電科技股份有限公司、緯潤高新材料(昆山)有限公司、蔚隆(昆山)汽車電子有限公司及2023年報中之專業投資/控股事業(鼎創有限公司除外）","同資料邊界","246,984.1800","緯創資通股份有限公司、緯創資通(昆山)有限公司、緯創資通(中山)有限公司、緯創資通(重慶)有限公司、緯創資通(成都)有限公司、Wistron InfoComm Mexico S.A. de C.V. 、Wistron InfoComm (Czech Republic) s.r.o. 、緯視晶光電(昆山)有限公司、Wistron Technology (Malaysia) Sdn. Bhd. 、Wistron InfoComm (Vietnam) Co., Ltd、高雄晶傑達光電科技股份有限公司、緯潤高新材料(昆山)有限公司、蔚隆(昆山)汽車電子有限公司及2023年報中之專業投資/控股事業(鼎創有限公司除外）","同資料邊界","7,901,089.8500","緯創資通股份有限公司、緯創資通(昆山)有限公司、緯創資通(中山)有限公司、緯創資通(重慶)有限公司、緯創資通(成都)有限公司、Wistron InfoComm Mexico S.A. de C.V. 、Wistron InfoComm (Czech Republic) s.r.o. 、緯視晶光電(昆山)有限公司、Wistron Technology (Malaysia) Sdn. Bhd. 、Wistron InfoComm (Vietnam) Co., Ltd、高雄晶傑達光電科技股份有限公司、緯潤高新材料(昆山)有限公司、蔚隆(昆山)汽車電子有限公司及2023年報中之專業投資/控股事業(鼎創有限公司除外）","同資料邊界","0.4000"
"=""3257""","虹冠電","927.0000","母公司或包含合併財務報表之母子公司","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.8664"
