報告年度:2024,議題:能源管理,,,
6706,惠特,N/A,N/A,N/A
6715,嘉基,N/A,N/A,N/A
6719,力智,N/A,N/A,N/A
6742,澤米,N/A,N/A,N/A
6743,安普新,N/A,N/A,N/A
6753,龍德造船,0.00%,僅母公司,N/A
6754,匯僑設計,N/A,N/A,N/A
6756,威鋒電子,N/A,N/A,N/A
6757,台灣虎航,N/A,N/A,N/A
6768,志強-KY,N/A,N/A,N/A
6770,力積電,1.08%,力積電個體及合併財報子公司,ISO 50001
6771,平和環保-創,N/A,N/A,N/A
6776,展碁國際,3.00%,已完成合併財務報表之母子公司,N/A
6781,AES-KY,80.59%,申報數據未包含太普越南,ISO 50001
6782,視陽,13.00%,合併財務報表之母子公司,N/A
6789,采鈺,37.05%,采鈺公司新竹廠及龍潭廠,ISO 50001
6790,永豐實,18.51%,台灣區主要紙品工廠；統計能源項目包含太陽能、生質能、替代燃料等再生能源。,ISO 50001
6792,詠業,N/A,N/A,N/A
6794,向榮生技-創,N/A,N/A,N/A
6796,晉弘,N/A,N/A,N/A
6799,來頡,N/A,N/A,N/A
6805,富世達,N/A,N/A,N/A
6806,森崴能源,28.45%,森崴土城總部辦公室2024年購買綠電度數/森崴(土城總部辦公室+彰化辦公室+台南歸仁辦公室)總用電度數,ISO 50001
6807,峰源-KY,19.35%,主要生產基地,N/A
6830,汎銓,N/A,N/A,N/A
6834,天二科技,N/A,N/A,N/A
6835,圓裕,N/A,N/A,N/A
6838,台新藥,N/A,N/A,N/A
6854,錼創科技-KY創,N/A,N/A,N/A
6861,睿生光電,N/A,N/A,N/A
6862,三集瑞-KY,N/A,N/A,N/A
6863,永道-KY,10.08%,已完成合併財務報表之母子公司,N/A
6869,雲豹能源,40.73%,僅母公司,N/A
6873,泓德能源,N/A,N/A,N/A
6885,全福生技,N/A,N/A,N/A
6887,寶綠特-KY,4.79%,已完成合併財務報表之母子公司,N/A
6890,來億-KY,12.92%,臺灣總部、樂億、樂億Ⅱ、億春、億柏、億碩、昌億、嘉智、億泉、億福、歐紐,N/A
6901,鑽石投資,0.00%,母公司(目前無應納入合併財務報告子公司),N/A
6902,GOGOLOOK-創,N/A,N/A,N/A
6906,現觀科,N/A,N/A,N/A
6909,創控,20.00%,已完成母公司,N/A
6914,阜爾運通,N/A,N/A,N/A
6916,華凌,0.00%,母公司及合併財務報表之重要子公司,N/A
6918,愛派司,N/A,N/A,N/A
6919,康霈*,N/A,N/A,N/A
6923,中台,N/A,N/A,N/A
6924,榮惠-KY創,2.36%,僅涵蓋台灣分公司及泰國子公司等營運與生產據點,N/A
6928,攸泰科技,14.05%,僅母公司,N/A
6931,青松健康,N/A,N/A,N/A
6933,AMAX-KY,N/A,N/A,N/A
6936,永鴻生技,N/A,N/A,N/A
6937,天虹,N/A,N/A,N/A
6944,兆聯實業,N/A,N/A,N/A
6949,沛爾生醫-創,N/A,N/A,N/A
6951,青新-創,N/A,N/A,N/A
6952,大武山,N/A,N/A,ISO 50001
6955,邦睿生技-創,N/A,N/A,N/A
6957,裕慶-KY,N/A,N/A,N/A
6958,日盛台駿,N/A,N/A,N/A
6962,奕力-KY,N/A,N/A,N/A
6965,中傑-KY,N/A,N/A,N/A
6969,成信實業*-創,N/A,N/A,N/A
6988,威力暘-創,N/A,N/A,N/A
6994,富威電力,10.00%,數據僅涵蓋頂埔大樓富威電力總部,N/A
7631,聚賢研發,N/A,N/A,N/A
7705,三商餐飲,N/A,N/A,N/A
7722,LINEPAY,N/A,N/A,N/A
7732,金興精密,17.58%,已完成合併報表之母子公司,N/A
7736,虎山,N/A,N/A,N/A
7740,熙特爾,N/A,N/A,N/A
7749,意騰-KY,N/A,N/A,N/A
7788,松川精密,N/A,N/A,N/A
8011,台通,N/A,N/A,N/A
8016,矽創,N/A,N/A,N/A
8021,尖點,1.19%,僅母公司,ISO 50001
8028,昇陽半導體,N/A,N/A,N/A
8033,雷虎,N/A,N/A,N/A
8039,台虹,0.02%,一廠、二廠、三廠、五廠,ISO 50001
8045,達運光電,N/A,N/A,N/A
8046,南電,0.10%,母公司,N/A
8070,長華*,0.10%,包含合併財務報表之母子公司,確信準則3000號（TWSAE3000） 
8072,陞泰,N/A,N/A,N/A
8081,致新,N/A,N/A,N/A
8101,華冠,N/A,N/A,N/A
8103,瀚荃,1.40%,新北市淡水區中正東路一段3巷9號9樓,N/A
8104,錸寶,N/A,N/A,N/A
8105,凌巨,N/A,N/A,N/A
8110,華東,1.00%,僅母公司,ISO 50001
8112,至上,N/A,N/A,N/A
8114,振樺電,N/A,N/A,N/A
8131,福懋科,3.09%,福懋科技公司全廠區,ISO 50001
8150,南茂,0.57%,已完成合併財務報表之母子公司,ISO 50001
8162,微矽電子-創,N/A,N/A,中華民國確信準則3000號
8163,達方,8.71%,達方(包含總部與桃園廠、台南廠、蘇州廠、淮安廠、重慶廠、越南廠),ISO 50001
8201,無敵,N/A,N/A,N/A
8210,勤誠,5.49%,勤誠總部、嘉義廠、勤昆廠、前盛廠、勤鋒廠、美國辦公室、德國辦公室、中國辦公室,ISO 50001
8213,志超,0.58%,統盟無錫、志超遂寧,ISO 50001
8215,明基材,23.72%,桃園廠區、雲林廠區及大陸廠區,ISO 50001
8222,寶一,N/A,N/A,N/A
8249,菱光,N/A,N/A,N/A
8261,富鼎,N/A,N/A,N/A
8271,宇瞻,N/A,N/A,N/A
8341,日友,N/A,N/A,N/A
8367,建新國際,N/A,N/A,N/A
8374,羅昇,N/A,N/A,N/A
8404,百和興業-KY,42.09%,江蘇百宏複合材料科技股份有限公司、東莞百宏實業有限公司、越南百宏責任有限公司,ISO 50001
8411,福貞-KY,N/A,N/A,N/A
8422,可寧衛,46.17%,本公司以下營運據點：上評資源循環股份有限公司、大倉實業股份有限公司、大創綠能股份有限公司、可寧衛企業股份有限公司、可寧衛股份有限公司-固化廠、可寧衛股份有限公司-總部、吉鼎材料股份有限公司、岡聯事業股份有限公司,ISO 50001
8429,金麗-KY,N/A,N/A,N/A
8438,昶昕,N/A,N/A,N/A
8442,威宏-KY,32.70%,合併財務報表之母子公司,N/A
8443,阿瘦,N/A,N/A,N/A
8454,富邦媒,N/A,N/A,N/A
8462,柏文,N/A,N/A,N/A
8463,潤泰材,N/A,N/A,N/A
8464,億豐,N/A,N/A,N/A
8466,美吉吉-KY,2.10%,美喆國際企業股份有限公司(土城總公司：新北市土城區大暖路126號及台南廠區：台南市安南區工業三路16號) 東莞美哲塑膠製品有限公司 東莞普隆塑膠製品有限公司 ,N/A
8467,波力-KY,16.96%,桐鄉波力及桐鄉健佑,N/A
8473,山林水,0.20%,合併財務報表之母子公司,N/A
8476,台境*,N/A,N/A,N/A
8478,東哥遊艇,N/A,N/A,N/A
8481,政伸,4.17%,母公司,N/A
8482,商億-KY,N/A,N/A,N/A
8487,愛爾達-創,N/A,N/A,N/A
8488,吉源-KY,N/A,N/A,N/A
8499,鼎炫-KY,N/A,N/A,N/A
8926,台汽電,N/A,N/A,N/A
8940,新天地,N/A,N/A,N/A
8996,高力,N/A,N/A,N/A
9802,鈺齊-KY,8.91%,台灣總部、中國和誠廠、柬埔寨齊鼎廠、越南鈺齊廠,N/A
9902,台火,N/A,N/A,N/A
9904,寶成,26.69%,本公司製鞋業務範圍中，共有8個廠區有取得能源管理驗證,ISO 50001
9905,大華,N/A,N/A,N/A
9906,欣巴巴,N/A,N/A,N/A
9907,統一實,0.89%,母公司個體(包含:台灣個體一廠及二廠),N/A
9908,大台北,N/A,N/A,N/A
9910,豐泰,21.40%,包含豐泰集團總部及各地區子公司，但不包含控股等關係企業。,N/A
9911,櫻花,N/A,N/A,N/A
9912,偉聯,N/A,N/A,N/A
9914,美利達,4.70%,已完成母公司,ISO 50001
9917,中保科,N/A,N/A,N/A
9918,欣天然,N/A,N/A,N/A
9919,康那香,N/A,N/A,N/A
9921,巨大,12.05%,巨大集團-台灣廠（日南）,ISO 50001
9924,福興,N/A,N/A,N/A
9925,新保,N/A,N/A,N/A
9926,新海,N/A,N/A,N/A
9927,泰銘,N/A,N/A,N/A
9928,中視,N/A,N/A,N/A
9929,秋雨,N/A,N/A,N/A
9930,中聯資源,2.03%,涵蓋母公司南部研磨廠及中部研磨廠,ISO 50001
9931,欣高,N/A,N/A,N/A
9933,中鼎,61.00%,總部大樓再生能源使用率,N/A
9934,成霖,0.08%,子公司(山東美林衛浴有限公司),ISO 50001
9935,慶豐富,N/A,N/A,N/A
9937,全國,0.00%,包含合併財務報表之母子公司,N/A
9938,百和,13.62%,本公司、越南百和責任有限公司、印尼百和股份有限公司、江蘇百宏複合材料股份有限公司、東莞百宏實業有限公司及越南百宏責任有限公司,ISO 50001
9939,宏全,N/A,N/A,N/A
9940,信義,21.99%,信義房屋股份有限公司,ISO 50001
9941,裕融,1.49%,本公司+子公司新鑫、裕富全台辦公室據點,N/A
9942,茂順,N/A,N/A,N/A
9943,好樂迪,0.00%,合併財務報表之母子公司,N/A
9944,新麗,N/A,N/A,N/A
9945,潤泰新,N/A,N/A,N/A
9946,三發地產,N/A,N/A,N/A
9955,佳龍,4.29%,僅母公司環科廠,N/A
9958,世紀鋼,N/A,N/A,ISO 50001
