"報告年度:2024","議題:投資人溝通"
"公司代號","公司名稱","公司年度召開法說會次數(次)-公司年度召開法說會次數(次)","利害關係人或公司治理專區連結-利害關係人或公司治理專區連結"
"=""1611""","中電","2","http://www.chinaelectric.com.tw/investor11.php"
"=""1612""","宏泰","2","https://www.hong-tai.com.tw/tc/investor18_39_0_0.htm"
"=""1614""","三洋電","1","https://sanlux.com.tw/company-investment-contact"
"=""1615""","大山","1","http://www.dahsan.com.tw/chinese-105.html"
"=""1616""","億泰","1","http://www.evertop.com/?action=info&info=34"
"=""1617""","榮星","1","http://www.jswire.com.tw"
"=""1618""","合機","2","http://www.hold-key.com.tw/stakeholder_holdkey_01.html"
"=""1626""","艾美特-KY","1","www.airmate-china.com"
"=""1702""","南僑","2","http://www.namchow.com.tw/page/main_page/04_01/index_07.html"
"=""1707""","葡萄王","5","https://www.grapeking.com.tw/stakeholder/62591ad4df427"
"=""1708""","東鹼","1","http://www.sesoda.com.tw/chinese/investors.html"
"=""1709""","和益","2","https://www.fucc.com.tw/h/Data?key=sxgnr&set=8&cat=106325"
"=""1710""","東聯","","https://www.oucc.com.tw/csr-99-page470"
"=""1711""","永光","2","https://www.ecic.com/csr/stakeholder/"
"=""1712""","興農","4","https://www.sinon.com.tw/sustainability/index/41/"
"=""1713""","國化","1","www.ccwi.com.tw"
"=""1714""","和桐","2","http://www.htgroup.com.tw/service/?parent_id=13"
"=""1717""","長興","4","https://www.eternal-group.com/Esg_sta"
"=""1718""","中纖","1","https://www.cmfc.com.tw/stakeholder_tw.php"
"=""1720""","生達","2","http://www.standard.com.tw"
"=""1721""","三晃","2","https://www.sunko.com.tw/esg/b08.php"
"=""1722""","台肥","3","https://www.taifer.com.tw/CSR/Persistencemanagement/Stakeholder/IAC.htm"
"=""1723""","中碳","4","http://www.cscc.com.tw/csr/cg/int_ide.html"
"=""1725""","元禎","1","http://www.yuanjen.com/"
"=""1726""","永記","1","https://www.rainbowpaint.com.tw/ir"
"=""1727""","中華化","1","www.chciw.com.tw"
"=""1730""","花仙子","1","https://www.farcent.com.tw/stakeholders"
"=""1731""","美吾華","1","http://www.maywufa.com.tw/stakeholder.php"
"=""1732""","毛寶","1","https://www.maobao.com.tw/sustainability/itemlist/category/451.html"
"=""1733""","五鼎","2","http://www.apexbio.com.tw/contact_index.php"
"=""1734""","杏輝","1","https://www.sinphar.com.tw/interested-parties"
"=""1735""","日勝化","2","www.twemc.com"
"=""1736""","喬山","5","www.johnsonfitness.com"
"=""1737""","臺鹽","1","https://www.tybio.com.tw/taiyen/tw/investors/manage/more11"
"=""1752""","南光","1","https://www.nangkuang.com.tw/?route=article/article&article_id=12"
"=""1760""","寶齡富錦","2","https://www.pbf.com.tw/environment-social-governance/corporate-social-responsibility/stakeholder/"
"=""1762""","中化生","2","http://www.ccsb.com.tw/chinese/11_stakeholder/00_overview.aspx"
"=""1773""","勝一","2","http://www.shinychem.com.tw/index.php?option=module&lang=cht&task=pageinfo&id=20&index=3"
"=""1776""","展宇","1","https://www.headway.com.tw/csr/stakeholder/"
"=""1783""","和康生","4","https://www.mbi.com.tw/invest51.php?lan=tw"
"=""1786""","科妍","2","https://www.scivision.com.tw/invest?id=122"
"=""1789""","神隆","5","https://www.scinopharm.com/tw/esg-detail/channels/"
"=""1795""","美時","14","https://www.lotuspharm.com.tw/investors/shareholders-services"
"=""1802""","台玻","1","http://www.taiwanglass.com/information_list.php?langeno=tw&sid=281"
"=""1805""","寶徠","1","https://blgroup.com.tw/investment"
"=""1806""","冠軍","1","http://group.champion.com.tw/shareholder"
"=""1808""","潤隆","1","https://www.runlong.com.tw/stakeholder.php"
"=""1809""","中釉","2","https://www.china-glaze.com.tw/投資人關係/"
"=""1810""","和成","1","http://www.hcg.com.tw/About/Employee"
"=""1817""","凱撒衛","2","https://www.caesar.com.tw/page/stakeholder"
"=""1903""","士紙","1","http://www.shihlin.com.tw/stakeholder.html"
"=""1904""","正隆","2","https://www.clc.com.tw/contact-csr"
"=""1905""","華紙","4","http://www.chp.com.tw/responsibility/stakeholders"
"=""1906""","寶隆","2","http://www.baolongintl.com/B4001.asp"
"=""1907""","永豐餘","4","https://esg.yfy.com/zh-tw/stakeholder"
"=""1909""","榮成","2","https://www.longchenpaper.com/B7001.asp"
"=""2002""","中鋼","4","https://www.csc.com.tw/csc/allContact.html"
"=""2006""","東和鋼鐵","4","https://www.tunghosteel.com/csr/investment"
"=""2007""","燁興","2","http://www.yheco.com.tw/Interest_Relation.asp"
"=""2008""","高興昌","1","www.khc.com.tw"
"=""2009""","第一銅","2","http://www.fcht.com.tw/index.php?option=module&lang=cht&task=pageinfo&id=217&index=2"
"=""2010""","春源","1","https://www.cysco.com.tw/stakeholders-page103"
"=""2012""","春雨","2","www.chunyu.com.tw"
"=""2013""","中鋼構","2","https://csr.cssc.com.tw/cssc_csr/ch1_04_stakeholders.php"
"=""2014""","中鴻","4","https://www.chsteel.com.tw/sh/Int.html"
"=""2015""","豐興","4","http://www.fenghsin.com.tw/investor.html"
"=""2017""","官田鋼","4","http://www.quintain.com.tw/about.asp?le=tchinese"
"=""2020""","美亞","2","http://www.mayer.com.tw/2015/01/blog-post.html"
"=""2022""","聚亨","2","http://www.tycons.com.tw/serviceslist.aspx?id=57"
"=""2023""","燁輝","2","http://www.yiehphui.com.tw"
"=""2024""","志聯","1","http://www.chihlien.com.tw"
"=""2025""","千興","1","http://www.csssc.com.tw/tw/about_stakeholder.htm"
"=""2027""","大成鋼","1","www.tachen.com.tw/download/contact.pdf"
"=""2028""","威致","2","http://www.weichih.com.tw/stakeholder.php"
"=""2029""","盛餘","4","https://www.shengyusteel.com/main/concern.aspx"
"=""2030""","彰源","2","http://www.froch.com/TCHI/Stakeholders.php"
"=""2031""","新光鋼","2","https://www.hkssteel.com.tw/#"
"=""2032""","新鋼","1","https://www.sinkang.com.tw/investor-67"
