報告年度:2024,議題:職業安全衛生,,,,,,
公司代號,公司名稱,職業災害人數及比率-人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數)
1563,巧新,1,0.07%,,0,0,0
1568,倉佑,2,2.68%,"被夾、被捲                                                                                          			",0,0,0
1582,信錦,0,0.00%,,0,0,0
1583,程泰,0,0.00%,,0,0,0
1587,吉茂,0,0.00%,,0,0,0
1589,永冠-KY,56,2.56%,,0,0,0
1590,亞德客-KY,53,0.61%,,0,0,0
1597,直得,1,0.00%,跌倒,0,0,0
1598,岱宇,0,0.00%,無職災,0,0,0
1603,華電,8,1.36%,,0,0,0
1604,聲寶,6,0.54%,,0,0,0
1605,華新,109,1.02%,,0,0,0
1608,華榮,0,0.00%,,0,0,0
1609,大亞,6,0.93%,,2,0,0.00%
1611,中電,0,0.00%,,0,0,0
1612,宏泰,0,0.00%,,0,0,0
1614,三洋電,0,0.00%,N/A,0,0,0
1615,大山,3,1.08%,,0,0,0
1616,億泰,0,0.00%,,0,0,0
1617,榮星,0,0.00%,,0,0,0
1618,合機,1,0.46%,墜落(滾落)、被夾(捲)傷切(割)傷,0,0,0
1626,艾美特-KY,5,0.90%,,0,0,0
1702,南僑,30,0.57%,,1,0,0.00%
1707,葡萄王,2,0.39%,,0,0,0
1708,東鹼,1,3.45%,,0,0,0
1709,和益,0,0.00%,無此情形,0,0,0
1710,東聯,2,2.89%,暫時性全失能,0,0,0.00%
1711,永光,1,0.05%,與有害物接觸、火災爆炸、物體飛落、衝撞、感電、物體倒塌、被捲夾、缺氧中毒、墜落、滾落、溺斃,0,0,0
1712,興農,2,0.29%,受傷類型為1件捲夾事故，已採消除方式進行風險改善，並經過檢討後修正相關作業及進行人員教育，另1件為職場環境事故，已採用人車分道之改善措施，並設置「管制引導人員」，降低發生事故的風險。,0,0,0
1713,國化,1,0.45%,N/A,0,0,0
1714,和桐,0,0.00%,113年無發生職業災害,0,0,0
1717,長興,8,0.00%,跌倒、絆倒，衝撞，與有害物等之接觸,0,0,0.00%
1718,中纖,6,1.12%,災害類型為跌倒、被夾、被切割與有害物接觸,0,0,0
1720,生達,2,0.24%,,0,0,0
1721,三晃,7,1.50%,,0,0,0
1722,台肥,5,0.75%,,1,0,0.00%
1723,中碳,0,0.00%,,0,0,0
1725,元禎,0,0.00%,,0,0,0
1726,永記,13,8.78%,廠內職災主要為：噴濺、割傷、摔傷等                  廠外職災主要為：交通事故,0,0,0
1727,中華化,8,3.15%,,0,0,0
1730,花仙子,0,0.00%,,0,0,0
1731,美吾華,0,0.00%,,0,0,0
1732,毛寶,1,0.63%,N/A,0,0,0
1733,五鼎,0,0.00%,,0,0,0
1734,杏輝,4,0.50%,,0,0,0
1735,日勝化,1,0.44%,有害物質接觸。,0,0,0
1736,喬山,20,1.44%,,0,0,0
1737,臺鹽,0,0.00%, 113年度無職業災害,0,0,0
1752,南光,8,1.21%,職災主因以上下班之交通事故占大多數，已加強宣導行車之間需保持安全距離。其次是手指被夾傷，已制定新的標準作業程序或張貼警示標語，並完成現場同仁之教育訓練。,0,0,0
1760,寶齡富錦,1,0.18%,N/A,0,0,0
1762,中化生,1,0.33%,2024年公司共計發生1起職災案件，為上下班途中發生交通事故，造成1名員工受傷。對於上下班交通事故案件，加強交通安全宣導，強化同仁日常安全意識及行車安全之重要性，以降低職災發生率，未來依然持續推動傷害預防方案，朝零災害目標前進。,0,0,0
1773,勝一,0,0.00%,,0,0,0
1776,展宇,1,0.86%,,0,0,0
1783,和康生,0,0.00%,,0,0,0
1786,科妍,0,0.00%,,0,0,0
1789,神隆,11,1.47%,,0,0,0
