"報告年度:2024","議題:溫室氣體排放"
"公司代號","公司名稱","直接(範疇一)溫室氣體排放量-數據(公噸CO₂e)","直接(範疇一)溫室氣體排放量-資料邊界","直接(範疇一)溫室氣體排放量-確信範圍","直接(範疇一)溫室氣體排放量-確信意見","能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e)","能源間接(範疇二)溫室氣體排放量-資料邊界","能源間接(範疇二)溫室氣體排放量-確信範圍","能源間接(範疇二)溫室氣體排放量-確信意見","其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e)","其他間接(範疇三)溫室氣體排放量-活動類別","其他間接(範疇三)溫室氣體排放量-資料邊界","其他間接(範疇三)溫室氣體排放量-確信範圍","其他間接(範疇三)溫室氣體排放量-確信意見","溫室氣體排放密集度-密集度(公噸CO₂e/百萬元營業額)","溫室氣體減量目標、策略及具體行動計畫-溫室氣體減量基準年及其數據、減量目標","溫室氣體減量目標、策略及具體行動計畫-溫室氣體減量策略及具體行動計畫","溫室氣體減量目標、策略及具體行動計畫-溫室氣體減量目標達成情形"
"=""3622""","洋華","4,270.0867","已完成母公司,台灣適而優股份有限公司及洋華越南責任有限公司","已完成母公司,台灣適而優股份有限公司及洋華越南責任有限公司","合理保證等級","8,854.7690","已完成母公司,台灣適而優股份有限公司及洋華越南責任有限公司","已完成母公司,台灣適而優股份有限公司及洋華越南責任有限公司","合理保證等級","7,785.4544","與燃料及能源相關活動（未納入範疇1或範疇2）,營運中產生之廢棄物,商務旅行,員工通勤,下游租賃資產","已完成母公司,台灣適而優股份有限公司及洋華越南責任有限公司","已完成母公司,台灣適而優股份有限公司及洋華越南責任有限公司","有限保證等級","3.4118","本公司溫室氣體減量基準年為2023 年，其範疇一及範疇二之排放量分別為6,835.7381 噸CO2e及1,499.2831 噸CO2e 減量目標如下： (1)以2023年為基準年，至2030年減少範疇一及範疇二共20%的碳排放量; (2)範疇三以2024年為基準年，至2030年減少範疇三10-20%的碳排放量  ","(1)節能及提高能源效率: 目標：至2030年將範疇二外購能源碳排放量減少10-15% 計劃：定期維護及更新各項冷卻系統（含冰水系統及機房空調）；持續推動辦公環境節能措施，汰換或更新節能照明、空調及電器等設備。 (2)SF6減量及回收 目標：至2030年SF6回收或破壞量目標為減少碳排放量5-10% 計劃：安裝SF6回收設備或燃燒式破壞去除設備 (3)優化交通和運輸 目標：至2030年減少範疇一之公務車燃油消耗3-5%；範疇三之碳排放量5-10% 計劃： A.公務車到期後，將選擇更環保，油耗更低的車輛，包括油電混合車或電車等 B.鼓勵員工使用公共運輸工具、或自行車或步行或電動汽機車等節能方式。 C.適時適當推動遠程辦公措施，減少員工通勤或出差等所產生之碳排放量。(4)採購綠色能源 目標：至2030年，確保至少1~3%公司電力來自綠色能源 計劃： A.適時將觀音三廠屋頂太陽能發電轉為自發自用餘額躉售方式。 B.越南廠興建太陽能屋頂。   ","範疇一及範疇二:2024年母公司排放量5,380.4830 (ton CO2e/年) 較2023年溫室氣體排放量8,335.0212 (ton CO2e/年)，減少2,954.5382 (ton CO2e/年)，減少35.45%。"
"=""3645""","達邁","16,251.8200","已完成母公司","已完成母公司","合理保證等級","30,310.5600","已完成母公司","已完成母公司","合理保證等級","52,952.3200","已銷售產品之加工,已銷售產品生命週期結束之處理","已完成母公司","已完成母公司","有限保證等級","21.0500","本公司由永續發展委員會之環境永續小組管理溫室氣體排放相關議題，依循ISO 14064-1溫室氣體盤查規範，推動溫室氣體排放基線盤查工作，針對達邁科技所有廠區範疇一與範疇二溫室氣體排放進行盤查，並通過第三方驗證單位查證。以2021年作為盤查基準年，永續小組未來將根據盤查結果制訂相關減碳目標並逐年實施。","為因應全球淨零轉型趨勢與氣候變遷挑戰，本公司訂定以2023年為基準年的減碳路徑，明確規劃短、中、長期減碳目標，並以2050年實現淨零碳排為最終目標。短期目標（2025年）為範疇一與範疇二碳排放總量較基準年減少10%，並透過導入節能技術、提升設備效率、健全碳盤查制度與改善空調系統等措施降低排放。 中期目標方面，2026至2029年將推進碳排減量至20%，再生能源使用占比提高至2%以上，並執行碳中和計畫與產品碳足跡盤查。至2030年，預計碳排降幅達35%，同時建構供應鏈碳管理機制，並逐步推動電力綠電化。 長期目標為2050年達成範疇一至三全面淨零碳排、全廠使用綠電並完成供應鏈碳中和，規劃透過自然碳匯等方式進行抵換，實踐企業永續轉型與氣候韌性。","2024年範疇一排放量為16,251.82 公噸CO2e，範疇二排放量為30,310.56公噸CO2e，總排放量為46,562.38 噸CO2e。由於消費性電子需求逐步回溫，本公司產品接單量穩定成長，2024年總產量較2023年上升83.6%，導致總溫室氣體排放量較前一年增加，然而溫室氣體排放強度相較前一年度下降 39.39%。 為提升能源數據可視化，進一步規劃能源減量計畫，達邁科技即時監測設備能耗、流量、溫度、壓力等數據，分析設備節能效率，掌握節能減碳措施執行成果。2024年總計投入新台幣22,435仟元執行節能措施，預計兩廠一年可降低74,995.69 GJ，相當於約5,024.76噸溫室氣體排放量。"
"=""3652""","精聯","251.7714","已完成母公司","已完成母公司","合理保證等級","461.5024","已完成母公司","已完成母公司","合理保證等級","405.7181","與燃料及能源相關活動（未納入範疇1或範疇2）,商務旅行,員工通勤","已完成母公司","已完成母公司","有限保證等級","0.5378","由2024年度溫室氣體排放清冊中，可知電力使用為本公司主要溫室氣體排放源，推動節能措施應為最有效之減量方案。未來將針對廠區及辦公室用電進行減量規劃，秉持提升能源效率、降低能源使用作為主要節能減碳的行動方案，希望未來五年內溫室氣體總排放量能達成減少3%的目標，以達到溫室氣體減量之目的。","本公司溫室氣體排放都是間接排放型態，排放源主要來自空調、產品驗證設備與辦公照明需求的電力。本公司近年來推動的減量管理策略： 1. 每月監控用電量，並加以檢討。 2. 從空調系統、電力照明及其他用電三方面推動節電方案，定期檢視耗能設備並進行汰換。 3. 空調系統裝設有節能設備並訂定相關使用規範。 4. 對廠區/辦公區換用LED節能燈具，確認照度符合標準，在適當處所採用自動感應之燈具等。 5. 資訊主機(server)陸續整併、汰換新型節能主機。  溫室氣體減量行動計畫： 1. 目前公司採用夜間關閉照明及空調之策略，來減少用水及用電量。 2. 加強宣導並隨手關閉電源。 3. 加強設備保養，降低故障率，提高設備運行效率。 4. 平常善用以電子郵件方式溝通，資料備存時多使用掃瞄，減少紙張印製。 5. 本公司持續進行簽核表單電子化，以降低紙張使用，朝向無紙化的目標前進。",""
"=""3653""","健策","594.7141","已完成母公司","已完成母公司","合理保證等級","29,440.0680","已完成母公司","已完成母公司","合理保證等級","8,648.8165","與燃料及能源相關活動（未納入範疇1或範疇2）","已完成母公司","已完成母公司","有限保證等級","2.2538","基準年定為2023年，基準年溫室氣體排放量範疇一:433.367T，範疇二:2,7289.77T，範疇三:891.3619T。                                                           短期目標(2024): • 溫室氣體碳排密集度較2023 年減少3% • 溫室氣體查證涵蓋所有台灣子公司 中期目標(2027): • 溫室氣體碳排密集度較2023 年減少14% • 溫室氣體範疇1+2 較2023 年減少5% • 再生能源使用比率達2% • 溫室氣體查證涵蓋50% 海外子公司 長期目標(2030): • 溫室氣體碳排密集度較2023 年減少28% • 溫室氣體範疇1+2 較2023 年減少15% • 再生能源使用比率達15% • 溫室氣體查證涵蓋100% 海外子公司","負面衝擊管理 1.預防：未來規劃導入ISO 50001能源管理系統，藉由建置標準化管理制度以提高能源使用效率，及執行節能減碳專案(照明系統/空調系統等)。 2.實際：因應金管會上市櫃永續發展路徑及客戶要求，組織除啟動母公司各廠區的溫室氣體盤查作業外，自2023年起分階段陸續針對子公司啟動廠區溫室氣體盤查作業。 正面衝擊管理 1.推動低碳製造，生產製造採用最佳技術以使範疇一&二的溫室氣體排放密度降低 ","2024年溫室氣體排放密集度2.25，較2023 年減少11.7% "
"=""3661""","世芯-KY","3.8211","已完成母公司","已完成母公司","合理保證等級","230.7351","已完成母公司","已完成母公司","合理保證等級","60.6282","上游運輸及配送,營運中產生之廢棄物,員工通勤","已完成母公司","已完成母公司","2024年外部查證保證等級訂為類別1、2合理保證等級；類別3、4間接溫室氣體排放依本公司與BSI公司的確證(Validation)與協議程序(agreed-upon procedure, AUP)進行查驗","0.0045","1.企業對於因應氣候變遷或溫室氣體管理之策略 ​​為因應氣候變遷之議題，世芯電子辨識各項氣候相關風險機會，並訂定出各項因應措施以防止營運中斷、增加綠色營運效能並降低潛在之財務影響風險，例如相關辦公室緊急應變設備之設置、節能減碳措施、節約水能源訓練，並為持續減碳訂定各項低碳策略。                                                                              ​ 2. 企業溫室氣體排放量減量目標 世芯電子依2022年用電之碳排放量為基準，目標每年減少碳排放量1%。 3. 企業溫室氣體排放量減量之預算與計畫 公司著重環保節能之宣導，例如控制空調溫度、隨手關燈、雙面用紙及電子化減少紙本影印量、自備可重複使用餐具以減少使用一次性塑膠製品、實施垃圾分類等，並持續投入節能設施之使用，以達成節能減碳之目的。 4. 企業產品或服務帶給客戶或消費者之減碳效果 世芯電子結合商用的設計軟體工具(EDA) 與內部研發的設計技術，提供客戶高效能、小尺寸、低功耗的晶片設計服務，以符合現在節能減碳之環保趨勢。","依2022年之碳排放強度為基準，目標每年減少碳排放強度1%，於2030年達成減少碳排放強度8%並以2050年達成碳排淨零為目標。將每年審視溫室氣體排放情形及達成率，若有未達成之目標再進行檢討及修正。","世芯透過積極的宣導節能減碳，2024年度溫室氣體排放強度較2022年減少74.58%。"
"=""3665""","貿聯-KY","5,225.8056","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","27,939.9168","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","6,914.4076","員工通勤","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","0.6133","基準年2022年排放總量49,131公噸CO2當量。貿聯集團的溫室氣體減量目標為: 2030年溫室氣體排放總量相較於2022基準年減少50%; 並設定2050年達成淨零排放。 每年達成進度 A. 2023~2028每年減排6%，共計為36%。 B. 2029~2030每年減排7%，共計為14%。C. 2023~2030年共計為36%+14% =50%。","策略:A.自建太陽能發電。B.外購綠電(可再生能源)。C.導入ISO 50001。D.購入綠電憑證。 具體行動數據:目前國際上運用「森林碳匯」、「購買再生能源憑證(RECs) 」、「購買可再生能源」與「自建太陽能發電」來達成目標。2024年執行成果: A.「自建太陽能發電」: 2024年共計有5個據點太陽能發電1,368,079 KWH，佔該年度1.5%總消耗能源。 B. 「購買可再生能源」: 2024年共計有8個據點外購14,080,550 KWH外購潔淨能源，佔該年度11.8%總消耗能源。 C.德國廠導入ISO 50001 能源管理系統執行改善措施，例如:用紅外線加熱系統取代燃氣加熱，進行溫室氣體排放減量。D.「購買再生能源憑證(RECs) 」: 2024年共計有6個據點購買9,644,000 KWH再生能源憑證(RECs) 。","2024年實際減量(已驗證)累計百分比，下降32.5% > 12%，已達標。 "
"=""3669""","圓展","83.1094","已完成母公司","已完成母公司","合理保證等級","1,879.6944","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","70,660.8919","上游運輸及配送","已完成母公司","已完成母公司","有限保證等級","27.8251","本公司溫室氣體排放以 2021 年為基準年，短期目標為每年減少 10%溫室氣體排放；中長期目標為2050年前各營運據點溫室氣體排放為零。","每年定期檢視整體能源使用情況，推動低碳轉型，執行溫室氣體與能源查證，優化節能措施。","公司自 2022 年起導入 ISO14064-1 溫室氣體盤查，總公司率先於 2022年取得查證，預計於2024 年達到本公司及各子公司所有營運據點皆通過驗證，覆蓋率100%。2024年總排放量相較與基準年2021年相比，下降17.43%。"
"=""3673""","TPK-KY","7,376.4017","已完成合併財務報表之母子公司","僅完成宸鴻科技（廈門）有限公司、祥達光學（廈門）有限公司集美分公司確信。","合理確信","96,571.4145","已完成合併財務報表之母子公司","僅完成宸鴻科技（廈門）有限公司、祥達光學（廈門）有限公司集美分公司確信。","合理確信","472,919.3446","購買之商品及勞務,資本財,與燃料及能源相關活動（未納入範疇1或範疇2）,上游運輸及配送,營運中產生之廢棄物,商務旅行,員工通勤,下游運輸及配送,已銷售產品之加工,已銷售產品之使用,已銷售產品生命週期結束之處理","已完成合併財務報表之母子公司","僅完成宸鴻科技（廈門）有限公司、祥達光學（廈門）有限公司集美分公司確信。","合理確信","1.5092","宸鴻科技集團自2011年起依循ISO14064-1標準逐步完成各營運廠區溫室氣體盤查，且宸鴻科技（廈門）有限公司和祥達光學（廈門）有限公司集美分公司分別於2012年和2022年起通過外部查證進行排放資訊的揭露，規劃2029年集團各公司完成協力廠商廠商盤查驗證。 溫室氣體減量基準年：2022年 基準年排放量： Scope 1直接排放 12190.0919 tCO2e Scope 2間接排放 296086.4625 tCO2e 減量目標： 至2030年範疇一和二溫室氣體排放量較基準年減量42%","TPK訂有「集團溫室氣體盤查管理手冊」、「集團環境、職業健康安全管理手冊」、「集團能源管理手冊」，並採用氣候相關財務揭露（Task Force on Climate-related Financial Disclosures, TCFD）評估氣候變遷風險與機會，以設定減量目標，持續推動節能減碳方案及措施。 自建廠起，TPK陸續導入 ISO 14001、ISO 14064、ISO 50001等管理系統；完成各廠單位產品碳排數據收集、碳揭露，及能源管理績效指標。推動碳管理實踐，拓展環境治理相關領域投資，以2050 年淨零碳排為目標，踏上向低碳經營升級的永續發展道路。","2024年範疇一和二溫室氣體排放量較基準年已減量66.28%"
"=""3679""","新至陞","688.1580","已完成合併財務報表之母子公司","子公司(昆山新至升)","合理保證等級","35,574.2410","已完成合併財務報表之母子公司","子公司(昆山新至升)","合理保證等級","156.8230","與燃料及能源相關活動（未納入範疇1或範疇2）","子公司(昆山新至升)","子公司(昆山新至升)","合理保證等級","8.5500","新至陞集團承諾以2023年設定為基準年，承諾到近期目標年2030年，將範疇一與範疇二的溫室氣體排放強度減少20%，同時將範疇三降低5%，且針對範疇三排放的減排行動，我們將要求供應商逐步提供其用電相關的碳排據數作業未來範疇三碳排放管理的參考依據。","1.生產端節能措施： 製程能源耗用減量、設備效率提升及能源管理等。 2.辦公室節能措施：  (1)集團總部大樓於2012年6月取得美國綠建築協會LEED綠建築黃金級認證。  (2)辦公環境隨季節調整空調及設定恆溫於26度，以減低電力負荷。  (3)事務機器閒置15分鐘自動休眠。  (4)宣導員工養成隨手關燈、關閉電源及盡量使用自然光源之習慣。  (5)本公司定期對辦公室用電量較大之照明與空調設備進行維護保養與節能規劃，並進行持續檢視並汰換高耗能設備與節能措施。  (6)加強各類電器用品之維護與定期保養、定期汰換已屆使用期限之電氣設備及每日定期節能巡查等，以降低電力使用量與二氧化碳排放量。  (7)宣導員工勤走樓梯代替電梯。  (8)宣導員工享用團膳時，拿取適量食材減少浪費，鼓勵自帶餐具減少使用免洗餐具。 3.其他：  (1)採行文件電子簽核系統，執行電子簽核，減少紙張使用量，並多加利用再生紙。  (2)確實執行廢棄物如廚餘、鐵鋁玻璃罐、廢紙與保特瓶等的回收管理與資源分類，並由專業人員負責廢棄物的處理與分類","1.本公司昆山廠2024年陸續再購入射出成型機共11台節能設備，倘若全數投入生產，預計每年度總效益，製程能源使用可減量116,160度，可減碳約57.5公噸，約當每年種植104棵大樟樹。 2.本公司越南廠2024年新購碎料機、移印機、成型機等20台節能設備，當年度省電量估計達93,305度，碳排約減46公噸，約當每年種植84棵大樟樹；未來每年省電量估計達444,053度，碳排約減220公噸，約當每年種植399棵大樟樹。 3.2024年昆山廠購入綠電10,914.000000 (MWh); 越南廠購入綠電4,253.000000 (MWh)。"
"=""3686""","達能","2.8066","已完成合併財務報表之母子公司","N/A","","27.3318","已完成合併財務報表之母子公司","N/A","","6.6136","購買之商品及勞務,營運中產生之廢棄物,員工通勤","N/A","N/A","","0.3651","為規劃溫室氣體減量行動計畫，本公司於2024年完成 ISO 14064-1溫室氣體盤查，選用2024年度為基準年主要為範疇一新增逸散性溫室氣體排放源:冷媒和化糞池以及範疇三新增員工通勤、事業廢棄物處理和購買的產品與服務(自來水)，相較於前年度較為準確，故基準年為2024年，期望透過下列具體行動進一步降低以2024年基準減量5%溫室氣體排放，以達成2030年減少50%目標","1)管控辨公室空調運轉溫度和時間，減少能源損耗，並針對特殊獨立空間空調需求管理。 2)每日午休時間關燈一小時。  3)提高設備效率，做好設備保養。","溫室氣體排放密度在2023年為0.70公噸COe/百萬元營業額降至2024年0.3651公噸COe/百萬元營業額，減少48% 。"
"=""3694""","海華","159.0700","已完成母公司,紘華光電及紘華(上海)廠區","N/A","","8,691.9700","已完成母公司,紘華光電及紘華(上海)廠區","N/A","","1,564,252.3400","購買之商品及勞務,商務旅行","紘華(上海)廠區","紘華(上海)廠區","合理保證等級","0.9568","(1).	減量基準年及其數據：基準年為2019年，該年度範疇一、二溫室氣體排放量為(Ton CO2e)；公司自2022年開始增加範疇三之商務差旅，2024年增加範疇四之購買貨物與未包含服務之量化，但企業運營生產未發生改變，亦尚未針對該部分設定目標，故不調整基準年。 (2).	減量目標：2030年較2019年，範疇一、二 GHG排放量減少4,026 (Ton CO2e)當量5,033 (Ton CO2e)，即降低40~50%，並於2050年達到淨零排放；2025年較2019年，碳排放量下降>=20%。","汰換老舊設備、工程技術優化、調整管理方式、建置數位化管理系統、提高再生能源使用量","2024年溫室氣體排放量為(噸 CO2e)，較基準年(2019年)溫室氣體排放量(噸 CO2e)減少30.24%，已達成階段性減碳目標。"
"=""3701""","大眾控","713.9697","已完成母公司,台灣地區: 包含大眾投控(母公司)、大眾電腦、眾晶科技、3CEMS Corp.（Cayman）、攸泰科技、睿剛電訊、廣仁電科 大陸地區: 包含廣上科技、才眾電腦","已完成母公司,台灣地區: 包含大眾投控(母公司)、大眾電腦、眾晶科技、3CEMS Corp.（Cayman）、攸泰科技、睿剛電訊、廣仁電科 大陸地區: 包含廣上科技、才眾電腦","合理保證等級","17,870.8206","已完成母公司,台灣地區: 包含大眾投控(母公司)、大眾電腦、眾晶科技、3CEMS Corp.（Cayman）、攸泰科技、睿剛電訊、廣仁電科 大陸地區: 包含廣上科技、才眾電腦","已完成母公司,台灣地區: 包含大眾投控(母公司)、大眾電腦、眾晶科技、3CEMS Corp.（Cayman）、攸泰科技、睿剛電訊、廣仁電科 大陸地區: 包含廣上科技、才眾電腦","合理保證等級","59,527.6945","購買之商品及勞務,資本財,與燃料及能源相關活動（未納入範疇1或範疇2）,上游運輸及配送,營運中產生之廢棄物,商務旅行,員工通勤,下游運輸及配送","已完成母公司,台灣地區: 包含大眾投控(母公司)、大眾電腦、眾晶科技、3CEMS Corp.（Cayman）、攸泰科技、睿剛電訊、廣仁電科 大陸地區: 包含廣上科技、才眾電腦","已完成母公司,台灣地區: 包含大眾投控(母公司)、大眾電腦、眾晶科技、3CEMS Corp.（Cayman）、攸泰科技、睿剛電訊、廣仁電科  為有限證及開立AUP 大陸地區: 包含廣上科技、才眾電腦 為合理保證等級","確信機構: 除泰科技、睿剛電訊採用AFNOR為確信機構， 其他查證範圍之公司皆採用BSI為確信機構 確信意見: 皆為無保留意見  台灣地區: 包含大眾投控(母公司)、大眾電腦、眾晶科技、3CEMS Corp.（Cayman）開立AUP 攸泰科技、睿剛電訊、廣仁電科  為有限保證等級 大陸地區: 廣上科技、才眾電腦 為合理保證等級","1.6464","目前，本公司已設定長期淨零排放目標，並正在積極規劃短期與中期減碳路徑。考量大眾投控合併報表子公司眾多，我們將以2024年為基準年，逐一盤點各子公司的溫室氣體排放量。此盤點工作將為後續的量化專案和目標設定奠定基礎，確保我們能依循2050年碳淨零計畫，逐步實施具體減量行動，並定期追蹤與報告減量目標達成情形。 •	中長期碳減排目標： 本集團已參照政府「2050 淨零排放路徑圖」，設定以 2050 年達成淨零溫室氣體排放為長期目標 。近期減碳路徑與中期目標正在規劃中，將於 2025 年起逐步納入短中期年度行動方案與關鍵績效指標 。 •	氣候相關財務揭露： 我們將於 2025 年起依循 IFRS 永續揭露準則（IFRS S1、S2）逐步導入相關作業，並預計於 2029 年正式完成氣候變遷風險管理成本分析之整合與揭露 。 •	減碳路徑與實施： 我們亦將評估各營運據點減碳可能性，並優先採用再生能源並實施減碳計畫，如無法採用再生能源亦考慮碳抵換或再生能源憑證(RECs)以達成相關目標 。 ","廣上科技有太陽能發電自發自用共1,291,127kWh，。 鼓勵將電腦將傳統燈具更換為LED節能燈具， 2024年度才眾電腦總計共更換486組燈具。，相當於235,818MJ。約減少28.8419公噸CO₂e排放量/年 子公司攸泰科技及才眾電腦購買再生能源憑證共計1,155,000kWh，相當於減少506.47公噸CO₂e排碳量。 節電量65,505kWh，相當於235,818MJ。(註1) 約減少28.8419公噸CO₂e排放量/年 ","廣上科技有太陽能發電自發自用共1,291,127kWh，。 鼓勵將電腦將傳統燈具更換為LED節能燈具， 2024年度才眾電腦總計共更換486組燈具。相當於235,818MJ。約減少28.8419公噸CO₂e排放量/年 子公司攸泰科技及才眾電腦購買再生能源憑證共計1,155,000kWh，相當於減少506.47公噸CO₂e排碳量。 節電量65,505kWh，相當於235,818MJ。(註1) 約減少28.8419公噸CO₂e排放量/年"
"=""3702""","大聯大","983.8787","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","6,987.8648","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","34,774.9667","購買之商品及勞務,資本財,與燃料及能源相關活動（未納入範疇1或範疇2）,上游運輸及配送,商務旅行,員工通勤,下游運輸及配送","已完成母公司,範圍說明：上、下游運輸、商務差旅、與燃料及能源相關活動（未納入範疇1或範疇2），已完成合併財報之子母公司盤查；購買之商品及勞務、資本財、員工通勤，則盤查部分臺灣地區、中國大陸地區(含香港)及部分海外地區的辦公室及自有倉庫。","已完成母公司,確信範圍說明：上、下游運輸、商務差旅、與燃料及能源相關活動（未納入範疇1或範疇2），已完成合併財報之子母公司確信；購買之商品及勞務、資本財、員工通勤，確信範圍為部分台灣地區、中國大陸地區(含香港)及部分海外地區的辦公室及自有倉庫。","協議程序","0.0091","基準年：台灣區辦公室2023年；大中華區倉庫2024年 台灣區辦公室基準年數據(範疇一+二)：納入範圍為南港總部、新竹辦公室、台中辦公室、高雄辦公室，排放量為 1,223.1711 公噸CO2e。 大中華區倉庫基準年數據(範疇一+二)：納入範圍為林口倉、香港倉、東莞倉，排放量為 2,694.1818 公噸CO2e。 減量目標： 短期：臺灣辦公室區域每年減碳1%；大中華區倉庫每年減碳2%。 中期（2030年）：全集團營運據點（辦公室及自有倉儲）淨零排放（範疇一、二）。 長期（2050年）：2050年達成淨零排放（範疇一、二、三)。","1.為強化自身營運碳管理力道，本公司已啟動碳管理專案，將排放量具重大性的營運據點納入優先管理之對象，透過設定減碳目標及制定具體行動計畫等，以降低集團整體碳排放。 2.為瞭解自身倉儲服務的碳排放，2024年首次進行服務碳足跡盤查，針對林口、香港、東莞及新加坡等四個倉庫盤查其「每噸倉儲服務」的碳排放，以作為日後排放減量或改善成效追蹤之參考依據。 3.範疇二減量計劃，除強化各據點用電管理外，將逐步提升再生能源使用率，以「採購憑證（REC）、採購綠電、自建」等作為策略工具。","臺灣辦公室：達標 ; 較基準年減量6.6%。 大中華區倉庫：未達標 ; 因林口倉導入新商業模式，增加設備；新加坡倉庫搬遷，故後續將持續追蹤目標達成情形。"
"=""3703""","欣陸","5,135.5065","已完成母公司,欣陸管顧(個體)、大陸工程(個體)、大陸建設(個體)、欣達環工(合併)","已完成母公司,欣陸管顧(個體)","合理保證等級","56,251.5523","已完成母公司,欣陸管顧(個體)、大陸工程(個體)、大陸建設(個體)、欣達環工(合併)","已完成母公司,欣陸管顧(個體)","合理保證等級","22,177.0349","購買之商品及勞務,與燃料及能源相關活動（未納入範疇1或範疇2）,營運中產生之廢棄物,下游租賃資產","已完成母公司,欣陸管顧(個體)及主要營運子公司","已完成母公司,欣陸管顧(個體)","有限保證等級","1.9995","","",""
"=""3704""","合勤控","1,241.8832","已完成母公司,合勤投控、合勤科技、兆勤科技、盟創科技及無錫盟創。","已完成母公司,合勤投控、合勤科技、兆勤科技、盟創科技及無錫盟創。","合理保證等級","16,481.5750","已完成母公司,合勤投控、合勤科技、兆勤科技、盟創科技及無錫盟創。","已完成母公司,合勤投控、合勤科技、兆勤科技、盟創科技及無錫盟創。","合理保證等級","398,160.4492","購買之商品及勞務,資本財,與燃料及能源相關活動（未納入範疇1或範疇2）,上游運輸及配送,營運中產生之廢棄物,商務旅行,員工通勤,下游運輸及配送,已銷售產品之使用,已銷售產品生命週期結束之處理,投資","已完成母公司,合勤投控、合勤科技、兆勤科技、盟創科技及無錫盟創。","已完成母公司,合勤投控、合勤科技、兆勤科技、盟創科技及無錫盟創。","有限保證等級","0.6825","合勤投控2025年通過SBTi審查的目標，短期目標以2021年為基準年，至2030年範疇1與 範疇2的溫室氣體絕對減量42%；自2023年基準年起，至2034年範疇3絕對減量58.8%。長期目標計畫於2050年範疇1、範疇2與範疇3減碳90%","為達成企業長期淨零排放目標，本公司已啟動多項減碳措施並建立階段性行動計畫，涵蓋能源轉型、設備優化與員工行為引導等面向。策略重點包括推動建置太陽光電發電系統、完成高功率低效能設備（如導入高效能冰機系統）之汰換、採用LED燈管取代傳統T8螢光燈、導入智慧能源電表系統等，持續精進節能管理制度。此外，公司亦積極培養員工日常低碳意識，鼓勵多步行、少搭電梯等行為改變，強化整體節能文化。未來將持續透過能源使用盤查、行動成效評估與減碳成果揭露機制，滾動式修正並推動減碳行動，落實氣候韌性與永續發展承諾。","範疇1+2 較2021年減碳率22.76%"
"=""3705""","永信","10,013.7529","永信國際投資控股股份有限公司、永信藥品工業股份有限公司、永鴻國際生技股份有限公司。","N/A","","21,696.4905","永信國際投資控股股份有限公司、永信藥品工業股份有限公司、永鴻國際生技股份有限公司。","N/A","","8,470.4295","與燃料及能源相關活動（未納入範疇1或範疇2）,上游運輸及配送,營運中產生之廢棄物,商務旅行,下游運輸及配送,加盟","永信國際投資控股股份有限公司、永信藥品工業股份有限公司、永鴻國際生技股份有限公司。","N/A","","3.9500","","",""
