報告年度:2024,議題:人力發展,,,,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,新進員工年齡分布-新進員工年齡分布,離職員工年齡分布-離職員工年齡分布,高齡員工晉用政策及培訓計畫-高齡員工晉用政策及培訓計畫
1304,台聚,"1,239","1,029","1,038",-14.85%,958,-13.69%,0.90%,2024年新進員工共10人，年齡分布如下： 30歲以下：4人(男：3、女：1)， 30~50歲：6人(男：4、女：2)， 年齡落在25~45歲，男性7人，女性3人，占員工總人數2.3%。,2024年離職員工共21人，年齡分布如下： 30歲以下：4人(男：4、女：0)， 30~50歲：17人(男：13、女：4)， 年齡落在25~45歲，男性17人，女性4人，占員工總人數4.9%。(註：不含退休離職員工13人),本集團積極面對全球高齡化與人才挑戰，為提高人力運用效益，促進世代經驗交流，於「集團員工退休作業」標準書載明再聘屆齡退休員工的相關薪資福利及職務設計原則。 同時協助高齡員工維持競爭力，促進經驗傳承，開辦培訓課程類別有 1.    數位賦能：提供數位工具、軟體應用、網路安全等課程，助其掌握科技、 2.    知識傳承：開辦分享會，讓資深員工指導年輕世代，傳授專業與智慧。 3.    健康與福祉：關注身心健康管理，並提供財務規劃，提升安心感。 透過這些策略，集團不僅有效運用高齡人才資產，更為所有員工營造包容、活力且永續發展的職場環境。
1305,華夏,"1,140",959,961,1.26%,907,0.11%,3.25%,21~30歲：43%、31~40歲：36%、41~50歲：15%、51~60歲：2%、61歲以上：4%,21~30歲：6%、31~40歲：7%、41~50歲：6%、51~60歲：20%、61歲以上：61%,本集團積極面對全球高齡化與人才挑戰，為提高人力運用效益，促進世代經驗交流，於「集團員工退休作業」標準書載明再聘屆齡退休員工的相關薪資福利及職務設計原則。 同時協助高齡員工維持競爭力，促進經驗傳承，開辦培訓課程類別有 1.    數位賦能：提供數位工具、軟體應用、網路安全等課程，助其掌握科技、 2.    知識傳承：開辦分享會，讓資深員工指導年輕世代，傳授專業與智慧。 3.    健康與福祉：關注身心健康管理，並提供財務規劃，提升安心感。 透過這些策略，集團不僅有效運用高齡人才資產，更為所有員工營造包容、活力且永續發展的職場環境。
1307,三芳,"1,314","1,142","1,014",19.58%,971,20.17%,8.00%,21~30歲  佔71% 31~40歲   佔26% 40歲以上   佔3%,21~30歲  佔70% 31~40歲   佔11% 40歲以上   佔19%,"高齡員工晉用政策及培訓計畫同一般員工, 請參考本公司年報及113年永續報告書"
1308,亞聚,"1,317","1,107","1,094",-14.73%,"1,035",-13.68%,3.45%,亞聚2024年新進員工共7人，年齡分布如下： 30歲以下：2人(男：2、女：0)， 30~50歲：5人(男：4、女：1)， 50歲以上：0人(男：0、女：0)， 年齡落在29~45歲，女性1人，男性6人，占員工總人數3%。,亞聚2024年離職員工共2人，年齡分布如下： 30歲以下：0人(男：0、女：0)， 30~50歲：2人(男：2、女：0)， 50歲以上：0人(男：0、女：0)， 離職員工：2人，實質離職率為0.85% (註：不含退休離職員工6人),本集團積極面對全球高齡化與人才挑戰，為提高人力運用效益，促進世代經驗交流，於「集團員工退休作業」標準書載明再聘屆齡退休員工的相關薪資福利及職務設計原則。 同時協助高齡員工維持競爭力，促進經驗傳承，開辦培訓課程類別有 1.    數位賦能：提供數位工具、軟體應用、網路安全等課程，助其掌握科技、 2.    知識傳承：開辦分享會，讓資深員工指導年輕世代，傳授專業與智慧。 3.    健康與福祉：關注身心健康管理，並提供財務規劃，提升安心感。 透過這些策略，集團不僅有效運用高齡人才資產，更為所有員工營造包容、活力且永續發展的職場環境。
1309,台達化,"1,241","1,044","1,031",0.00%,987,1.96%,20.34%,2024年度新進員工共計15人，年齡分布在30~50歲  30歲以下：2人(男：1、女：1)， 30~50歲：13人(男：11、女：2)， 50歲以上：0人(男：0、女：0)。,2024年度離職員工共計31人，年齡分布在30~50歲  30歲以下：6人(男：6、女：0)， 30~50歲：15人(男：14、女：1)， 50歲以上：10人(男：9、女：1)。,本集團積極面對全球高齡化與人才挑戰，為提高人力運用效益，促進世代經驗交流，於「集團員工退休作業」標準書載明再聘屆齡退休員工的相關薪資福利及職務設計原則。 同時協助高齡員工維持競爭力，促進經驗傳承，開辦培訓課程類別有 1.    數位賦能：提供數位工具、軟體應用、網路安全等課程，助其掌握科技、 2.    知識傳承：開辦分享會，讓資深員工指導年輕世代，傳授專業與智慧。 3.    健康與福祉：關注身心健康管理，並提供財務規劃，提升安心感。 透過這些策略，集團不僅有效運用高齡人才資產，更為所有員工營造包容、活力且永續發展的職場環境。
1310,台苯,"1,242",985,938,2.85%,849,6.26%,20.69%,,,
1312,國喬,"1,188","1,009",992,11.34%,887,11.15%,22.73%,,,
1313,聯成,"1,523","1,308","1,249",1.30%,"1,145",1.60%,31.60%,1.30歲以下：男性2位、女性4位，共6位。 2.31歲~49歲：男性6位、女性3位，共9位。 3.50歲以上：男性2位、女性1位，共3位。,1.30歲以下：男性1位、女性1位，共2位。 2.31歲~49歲：男性2位、女性2位，共4位。 3.50歲以上：男性8位、女性3位，共11位。,1. 接班人計畫：盤點次年退休人員，於離職日前半年至一年前進行徵才。 2. 強化人員專業訓練和經驗傳承(跟班學習、資格考核) ，並進行輪崗訓練。 3. 調整薪資結構吸引人才，降低離職率。
1314,中石化,"1,032",856,849,11.71%,781,11.73%,6.12%,2024年新進員工共62人，30歲以下18人(29%)，30~50歲42人(67.8%)，50歲以上2人(3.2%),2024年離職員工共171人(包含退休)，30歲以下25人(14.6%)，30~50歲124人(72.5%)，50歲以上22人(12.9%),
1315,達新,789,668,636,1.92%,583,4.48%,46.30%,"                                         男性	                           女性                                  人數	新進率(%)	人數	新進率(%) 30歲以下                 10	   2.890	            7	           2.020 30-50歲                      1	    0.290	            7	            2.020 51歲以上                   1	    0.290	            0	            0.000 合計新進人數    26 員工總人數      345 總新進率(%)    7.54 ","                                         男性	                        女性                                 人數	離職率(%)	人數	離職率(%)     30歲以下             7	             2.02	            6	            1.73    30-50歲                 5	             1.45	            5              1.45     51歲以上              6	             1.73	            4	             1.16    合計新進人數 33    員工總人數345    總新進率(%)9.57 ",
