報告年度:2024,議題:人力發展,,,,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,新進員工年齡分布-新進員工年齡分布,離職員工年齡分布-離職員工年齡分布,高齡員工晉用政策及培訓計畫-高齡員工晉用政策及培訓計畫
2891,中信金,"2,133","1,876","1,704",6.97%,"1,349",2.66%,57.47%,"2024年男性新進員工：50歲以上66人、30歲以上未滿50歲601人、未滿30歲892人；女性新進員工：50歲以上50人、30歲以上未滿50歲668人、未滿30歲1,238人。",2024年男性離職員工：50歲以上68人、30歲以上未滿50歲354人、未滿30歲283人；女性離職員工：50歲以上29人、30歲以上未滿50歲347人、未滿30歲359人。,
2892,第一金,"1,953","1,678","1,539",10.16%,"1,402",8.43%,49.11%,新進員工未滿30歲計363人(女215/男148)，占比3.52% 新進員工30~50歲計268人(女146/男122)，占比2.6% 新進員工50歲以上計56人(女32/男24)，占比0.54% 總計新進員工687人，占比6.66%,離職員工未滿30歲計164人(女85/男79)，占比1.59% 離職員工30~50歲計233人(女123/男110)，占比2.26% 離職員工50歲以上計172人(女108/男64)，占比1.67% 總計離職員工569人，占比5.52%,除專業人才及管理人才多由內部自行培育，我們亦鼓勵員工利用公餘時間在職進修學習，並依課程、級別補助其學費，且員工攻讀國內外碩士以上學位可申請留職停薪，期間最長三年，培育員工具有終身被雇用之能力，以提升企業之續航力。
2897,王道銀行,"1,799","1,574","1,344",2.05%,"1,109",2.59%,41.62%,王道銀行2024年共有312位新進員工，其中包含30歲以下：98人、31歲~49歲：181人和50歲以上：33人。,王道銀行2024年共有237人離職，其中包含30歲以下：54人、31歲~49歲：134人和50歲以上：49人。,
2901,欣欣,"1,081",902,792,2.99%,705,-0.28%,17.00%,,,
2903,遠百,974,846,788,-1.25%,732,-1.21%,25.00%,29歲以下128人， 30-49歲32人， 合計人數160人,29歲以下130人， 30-49歲65人， 50歲以上13人， 合計人數208人,
2904,匯僑,"1,236","1,037",777,13.76%,737,10.16%,20.00%,,,
2905,三商,"3,809","3,572","1,000",9.41%,863,9.80%,44.48%,,,
2906,高林,790,654,620,0.49%,559,-2.10%,50.00%,高林實業重視人力資源的穩定與發展，持續檢視員工進出情形，作為招募與留任策略之重要依據，2024年新進人員入職人數共136人。其中<30歲共88人，佔64.71%；30-50歲共40人，佔29.41%；>50歲共8人，佔5.88%。 詳細數據歡迎參考 2024 年永續報告書 5.1 人才政策-人力結構章節。,高林實業重視人力資源的穩定與發展，持續檢視員工進出情形，作為招募與留任策略之重要依據，2024年離職人員總數共157人。其中<30歲共118人，佔75.16%；30-50歲共19人，佔12.10%；>50歲共20人，佔12.74%。 詳細數據歡迎參考 2024 年永續報告書 5.1 人才政策-人力結構章節。,
2908,特力,"1,181",963,999,3.74%,870,2.35%,60.86%,,,
2910,統領,863,708,657,-1.05%,599,-1.32%,26.15%,,,
2911,麗嬰房,670,560,557,7.12%,513,7.55%,41.67%,,,
2912,統一超,"1,032",867,"1,080",-0.28%,908,-1.52%,55.79%,,,
2913,農林,843,620,616,13.44%,528,7.98%,50.00%,,,
2915,潤泰全,889,756,605,4.49%,457,3.86%,60.87%,,,
2923,鼎固-KY,N/A,N/A,N/A,,N/A,,40.00%,,,
2929,淘帝-KY,N/A,N/A,N/A,,N/A,,33.33%,,,
2939,永邑-KY,N/A,N/A,N/A,,N/A,,54.50%,31-50,31-50,
2945,三商家購,488,393,485,8.50%,414,10.40%,62.00%,,,
3002,歐格,"1,362","1,161",911,3.17%,833,-1.42%,52.90%,2024年度新進人員中，30歲以下員工佔42.86 %，30-50歲佔57.14 %，50歲含以上佔0 %。,2024年度離職人員中，30歲以下員工佔22.22 %，30-50歲佔66.67 %，50歲含以上佔11.11%。,公司皆依招募任用、教育訓練相關管理辦法辦理，不得因種族、年齡、性別、宗教等因素影響人員任用與訓練機會，同時在招募過程中，去除年齡暗示之職缺內容。
3003,健和興,749,617,660,-1.05%,605,-1.47%,18.80%,,,
3004,豐達科,"1,210","1,031",979,13.84%,804,7.06%,21.30%,36.6,39.6,推行系統化職涯發展機制，支持員工專業技能提升，覆蓋超過5種專業課程 提供內部及外部培訓資源，每年推動至少4次專案或技能訓練 建立公平晉用制度，保證員工晉升率不因為年齡與性別而有所不一樣
3005,神基,"2,784","2,549","1,795",2.57%,"1,565",2.56%,27.50%,2024年月平均新進員工為82.36人，月平均新進率為7.27%。其中30歲以下月平均新進人數46.45人，月平均新進率12.69%；31-50歲月平均新進人數為36.64人，月平均新進率5.34%；51歲以上月平均新進人數為0.23人，月平均新進率0.91%。,2024年月平均離職員工為63.01人，月平均離職率為5.91%。其中30歲以下月平均離職人數34.00人，月平均離職率9.33%；31-50歲月平均離職人數為28.70人，月平均離職率4.62%；51歲以上月平均離職人數為0.37人，月平均新進率1.37%。,
3006,晶豪科,"2,350","2,103","2,113",-0.52%,"1,969",-0.05%,23.14%,2024年新進人員平均年齡為34.35，最年輕為24歲，最高為56歲,2024年新進人員平均年齡為44.51，最年輕為27歲，最高為64歲,依據勞動部職業安全衛生署之中高齡及高齡工作者安全衛生指引，對於中高齡或高齡員工規劃相關流程與訓練
3008,大立光,"1,396","1,250","1,319",15.80%,927,8.04%,9.67%,30歲以下：1146人 31~50歲：283人 51歲以上：0人,30歲以下，552人 31~50歲，440人 51歲以上，2人,無
3010,華立,"2,058","1,781","1,468",5.31%,"1,182",2.52%,18.51%,30歲以下：6位 ;  30-50歲以下：43位 ;   51歲以上：9位 ,30歲以下：7位 ;  30-50歲以下：24位 ;   51歲以上：14位 ,透過公平任用與晉升制度，覓求各種不同背景及專長之人才，入選商周及104人力銀行舉辧的「DEI壯世代100強企業」。 本公司在高齡族群的人才策略上，從職場友善環境、工作彈性、職涯延續性等多方面著手。例如，提供適合壯世代的彈性工時、職位再設計、健康管理機制及技能再培訓計畫，讓這些資深員工能夠持續發揮所長，適應職場變遷。此外，建立公平的升遷與薪資制度，提升工作滿意度，避免因年齡歧視導致人才流失。
3011,今皓,"1,120",945,881,15.77%,698,5.12%,20.00%,29歲(含)以下：2人 30 - 50歲：26人 51歲(含)以上：7人,29歲(含)以下：1人 30 - 50歲：22人 51歲(含)以上：8人,規劃中
3013,晟銘電,"1,118",935,977,0.21%,928,1.53%,3.50%,"性別 女  東莞廠區 <30歲     138 人數   5.39%新進率	寧波廠區 <30歲    204 人數   11.82% 新進率  台灣 <30歲     5人數    4%新進率    總計 347人數  8%新進率  性別 女 東莞廠區  30-49歲  218人數     8.51%新進率  寧波廠區 30-49歲   178人數 10.31%新進率    台灣 30-49歲 15人數   12%新進率 總計 411人數 9%新進率  性別 女   東莞廠區 ≥ 50歲  3人數         0.12%新進率  寧波廠區 ≥ 50歲      29人數     1.68%新進率   台灣≥ 50歲     1人數     1%新進率    總計 33人數   1%新進率 性別男 東莞廠區 <30歲	  630人數    24.56%新進率    寧波廠區 <30歲     465人數	26.94%新進率  台灣 <30歲    13人數  10%新進率   總計1,108人數  25%新進率 性別男 東莞廠區 30-49歲   333 人數 12.98%新進率   寧波廠區 30-49歲  222人數    12.86%新進率  台灣 30-49歲  23人數  18%新進率  總計578人數    13%新進率 性別男 東莞廠區 ≥ 50歲   130人數    5.06%新進率    寧波廠區 ≥ 50歲     23人數        1.33%新進率 台灣≥ 50歲       5人數     4%新進率  總計158人數     4%新進率","性別 女  東莞廠區      <30歲       136 人數   5.31%離職率	寧波廠區 <30歲       95 人數   4.48% 離職率    台灣 <30歲      0人數   0%離職率   總計 231人數  5% 離職率 性別 女 東莞廠區	30-49歲    144人數   5.62% 離職率     寧波廠區 30-49歲  136人數   6.42% 離職率    台灣 30-49歲  5人數   4% 離職率   總計 285人數 6%離職率 性別 女   東莞廠區	≥ 50歲     119人數   4.64%離職率      寧波廠區 ≥ 50歲      20人數  0.94% 離職率     台灣≥ 50歲     1人數  1% 離職率   總計 140人數 3% 離職率 性別男   東莞廠區     <30歲	  193人數  7.53% 離職率        寧波廠區 <30歲       341人數	16.08% 離職率  台灣 <30歲      3人數   2%離職率    總計 537人數 12% 離職率 性別男   東莞廠區    30-49歲    189人數  7.38% 離職率        寧波廠區 30-49歲  216人數 10.19% 離職率    台灣 30-49歲  12人數  9%離職率   總計  417人數  9% 離職率 性別男   東莞廠區     ≥ 50歲   131人數 5.11% 離職率         寧波廠區 ≥ 50歲       11人數   0.52% 離職率     台灣≥ 50歲     6人數  5% 離職率   總計  148人數  3% 離職率",建立全體員工的績效考核體系，包括設置定期考核制度、全面的考核指標與明確的考核程式，從而獲取員工職場客觀表現及發展情況作為年度績效評估依據。績效考核項目包括經營業務目標與關鍵工作事項，具體考核內容視部門與崗位職責而定。考核過程中，員工需與主管進行多輪溝通、明確考核目標、獲取回饋結 果並制定相應改善計畫，並通過實施複評主管進行核准的兩級核准制，確保考核結果的客觀與公平。通過應用科學、 合理的績效考核體系，不斷強化人力資源管理，改善績效回饋流程，提高員工工作積極性及長期留任率。
3014,聯陽,"3,101","2,842","2,629",4.20%,"2,435",3.79%,13.13%,30歲以下66%，31-50歲34%，51歲以上0%,30歲以下17%，31-50歲66%，51歲以上17%,本公司人權政策明定禁止歧視，晉用政策重視人才專業符合度，不因年齡、性別等等而有差別。
3015,全漢,"1,172","1,001","1,001",3.09%,819,-2.27%,42.80%,以35歲以下居多,大約40歲上下居多,規劃中
3016,嘉晶,"1,091",897,940,5.03%,872,4.43%,30.19%,<30歲_54%；30-50歲_46%；>50歲_0%,<30歲_36%；30-50歲_56%；>50歲_8%,N/A
3017,奇鋐,"2,724","2,445","1,253",3.90%,"1,064",1.72%,23.00%,113年新進員工小於30歲佔53.84%，30~50歲佔45.76%，大於50歲佔0.40%,113年離職員工小於30歲佔總離職員工56.31%，30~50歲佔總離職員工42.95%，大於50歲佔總離職員工0.74%。,為促進職場經驗的有效傳承，本公司配合政府推動「繼續僱用高齡者補助計畫」，鼓勵各部門持續僱用屆齡65歲之高齡勞工。 ◆ 計畫目的：促進高齡勞工於職場中傳承專業知識與工作經驗，協助企業穩定人力與提升經營效益。 ◆ 適用對象：年滿65歲，且原為本公司僱用之勞工，於屆齡後仍持續任職者。 ◆ 本公司2024年度申請屆滿 65 歲高齡勞工(超過65以上者不適用)共計2名。
3018,隆銘綠能,"1,151",895,834,-1.53%,770,-7.00%,30.00%,,,
3019,亞光,"1,179","1,031","1,017",19.09%,862,20.39%,23.23%,2024年新進同仁101人，≦29歲佔51%，30-50歲佔44%，≧50歲佔5%。,2024年離職同仁82人，≦29歲佔29%，30-50歲佔59%，≧50歲佔12%。,
3021,鴻名,810,648,732,1.24%,599,-1.48%,38.89%,,,
3022,威強電,"1,167","1,006","1,124",-1.14%,"1,007",-1.47%,24.64%,,,
3023,信邦,984,827,759,4.12%,573,5.33%,44.24%,29歲（含）以下：141人 30~50歲：144人 51歲（含）以上：8人,29歲（含）以下：89人 30~50歲：144人 51歲（含）以上：14人,
3024,憶聲,962,797,678,9.71%,627,16.33%,9.00%,,,
3025,星通,"1,348","1,165","1,061",8.38%,907,13.09%,29.63%,,,
3026,禾伸堂,"1,072",926,843,3.18%,737,4.24%,49.41%,,,
3027,盛達,"1,106",921,868,6.90%,882,13.08%,25.00%,,,
3028,增你強,"1,208","1,014",968,-5.10%,877,-4.26%,34.20%,,,
3029,零壹,"1,505","1,220","1,149",3.61%,926,-14.26%,48.00%,,,
3030,德律,"1,568","1,370","1,348",17.01%,"1,168",16.68%,8.97%,,,
3031,佰鴻,"1,252","1,091",815,-0.12%,760,2.15%,33.33%,新進員工年齡分佈：介於20~29歲2名，30~39歲1名，40~49歲3名，50~59歲5名，60~69歲1名。,離職員工年齡分佈：介於20~29歲1名，30~39歲2名，40~49歲2名，50~59歲4名，60~69歲1名。,明確訂定鼓勵高齡員工晉用的政策，包含繼續僱用、轉任、職務再設計等方案。每月一次特約醫護臨場服務，辦理健康管理，職業病預防及健康促進等勞工健康事項，同時進行環境危害評估改善及同仁的健康諮詢給予協助。
3032,偉訓,"1,682","1,468","1,190",-6.74%,"1,067",-9.19%,24.00%,,,
3033,威健,"1,695","1,458","1,291",11.68%,"1,128",9.20%,39.77%,,,
3034,聯詠,"3,889","3,586","3,521",-5.15%,"2,865",-5.38%,9.21%,全球之新進員工為422人，其中30歲以下為310人占73.46%，31~50歲為110人占26.07%、51歲以上為2人占0.47%,全球之離職員工為217人，30歲以下為76人占35.02%，31~50歲為131人占60.37%、51歲以上為10人占4.61%,屆齡退休之員工，聯詠科技將以內部職務之需評估回聘，2024年有1位同仁屆齡退休持續回聘。
3035,智原,"2,512","2,253","2,089",-10.07%,"1,802",-8.99%,21.43%,30歲(含)以下：男31人(37.3%)、女18人(31.6%) 30~50歲：男24人(9.6%)、女6人(5.1%) 50歲(含)以上：男4人(3.8%)、女1人(3.3%),30歲(含)以下：男8人(9.6%)、女4人(7%) 30~50歲：男34人(13.7%)、女8人(6.8%) 50歲(含)以上：男4人(3.8%)、女2人(6.7%),1. 招募多元人才：透過公平、公開的甄選程序及多元招募管道等方式，吸引多元人才加入，並透過量身定制的專業評鑑模式及結構化面談，精準選拔符合公司需求的目標人才。 2. 永續人才發展及終身學習：為永續人才發展及終身學習的養成，以教育訓練發展藍圖為基礎，依據短、中期的經營策略方向規畫各類課程的執行重點，進行完善規劃。 3. 兼顧員工個人及家庭照顧：為促進員工健康，安排優於法規的健檢頻率及檢查項目；另推動彈性工作時間，使員工得以兼顧職場及家庭照顧。
3036,文曄,"2,418","2,182","1,486",6.75%,"1,178",5.46%,42.00%,2024年新進405人(不含Future Electronics)（新進率12.68%），依性別分析，兩者之間的差異僅有0. 90%；依年齡分析，30歲以下新進率41.39%相對較高。,2024年離職673人(不含Future Electronics)（離職率21.06%），其中自願離職672人（自願離職率21.03%），非自願離職1人；依年齡分析，50歲以上離職率為19.66%，30歲以下則為較高之30.09%。,"本公司秉持多元共融的人才理念，重視不同年齡層員工的價值與經驗；因此，對外招聘網站上，未設年齡限制之聘用原則。 公司依循訓練藍圖，針對所有員工依階層別，無年齡限制，提供職務所需之線上/線下培訓。"""
3037,欣興,916,766,820,-3.98%,692,0.14%,20.42%,"台灣地區：30歲以下456人、30~50歲575人、50歲以上27人。大陸地區：30歲以下1,454人、30~50歲1,119人、50歲以上1人。","台灣地區：30歲以下387人、30~50歲890人、50歲以上145人。大陸地區：30歲以下1,035人、30~50歲1,184人、50歲以上15人。",公司晉用政策無年齡區別。培訓計畫會依據所屬職務或崗位安排所需的一般課程或專業課程，以增進工作技能符合職務所需。
3038,全台,794,686,674,0.00%,542,-2.52%,16.28%,,,
3040,遠見,"1,486","1,262",866,13.95%,903,12.03%,25.00%,,,
3041,揚智,"2,180","1,928","1,718",0.29%,"1,662",3.55%,25.90%,,,
3042,晶技,"1,220","1,078","1,090",15.96%,849,16.46%,36.41%,依循GRI401-1「新進員工和離職」指標，新進員工年齡：分布以29歲(含)以下佔比最大，依次遞減為30歲(含)-39歲(含)、40歲(含)-40歲(含)、50歲(含)以上，詳細內容請參閱台灣晶技2024年度永續報告書-第5章 社會。,依循GRI401-1「新進員工和離職」指標，離職員工年齡：分布以29歲(含)以下佔比最大，依次遞減為30歲(含)-39歲(含)、40歲(含)-40歲(含)、50歲(含)以上，詳細內容請參閱台灣晶技2024年度永續報告書-第5章 社會。,請參閱台灣晶技2024年度永續報告書第5章-社會。
3043,科風,680,563,549,7.44%,549,32.29%,25.00%,,,
3044,健鼎,"1,268","1,127",735,3.67%,462,-0.86%,0.27%,,,
3045,台灣大,"1,328","1,138","1,163",3.19%,"1,004",3.61%,47.40%,30歲以下為354人、31~50歲為348人、51歲以上為9人,30歲以下為246人、31~50歲為471人、51歲以上為66人,
3046,建碁,"1,959","1,591","1,367",7.30%,"1,497",7.23%,7.46%,未滿30歲: 36% 30-50歲: 46% 超過50歲: 18%,"未滿30 歲	0% 30-50 歲	70% 超過50 歲	30%",建碁公司恪遵全球各據點的勞動法令聘僱員工，秉持機會平等的原則，透過公開遴選的程序招募員工，招募甄選人員時以人員能力及職務合適度作為考量，適才適所唯才是用，不因其年齡、性別、種族..等因素而有所差別。
3047,訊舟,"1,391","1,138","1,108",5.52%,"1,014",7.42%,19.51%,,,
3048,益登,"1,446","1,241","1,155",-5.33%,"1,014",-4.16%,23.50%,,,
3049,精金,977,767,750,-0.13%,690,2.99%,15.83%,至於年齡分布而言，近年不論是直接人員或間接人員，50歲以下的員工合計約佔89.93％，代表精金公司現階段以中壯年員工為主幹，由資深具有實務經驗的主管帶領年輕團隊衝刺，人力結構穩定，無發生人力缺口之虞。,NA,NA
3050,鈺德,797,655,631,-0.32%,577,-0.86%,5.76%,30歲以下 3名 31~50歲 8名 51歲以上 3名,30歲以下 5名 31~50歲 3名 51歲以上 8名,
3051,力特,768,632,588,2.44%,557,4.90%,25.00%,新進員工年齡分布如下：30歲以下占34.2%、30歲以上-40歲占24.7%、40歲以上-50歲占37%、50歲以上占4.1%。,離職員工年齡分布如下：30歲以下占26.3%、30歲以上-40歲占31.3%、40歲以上-50歲占35%、50歲以上占7.4%。,晉用:聘用過程不以年齡設限，歡迎具備經驗及專業的高齡者應徵及再就業；同時鼓勵各單位繼續僱用高齡者計畫。培訓計畫: 提供高齡員工持續學習課程，包括工作安全與健康促進等內容。
3052,夆典,"1,098",942,736,14.64%,687,18.65%,25.00%,詳永續報告書(新進員工統計表),詳永續報告書(離職員工統計表),詳永續報告書(教育訓練)
3054,立萬利,"1,196","1,016",929,-0.64%,840,6.33%,50.00%,無資料,無資料,無資料
3055,蔚華科,"2,147","1,723","1,185",-10.97%,"1,035",-14.25%,22.50%,,,
3056,富華新,"1,942","1,658","1,024",6.78%,981,39.74%,37.50%,,,
3057,喬鼎,"1,405","1,195","1,151",-0.26%,"1,029",5.11%,25.00%,,,
3058,立德,"1,114",801,733,3.82%,520,-0.38%,22.73%,,,
3059,華晶科,"1,930","1,715","1,431",8.82%,"1,258",2.69%,14.29%,,,
3060,銘異,968,802,685,15.51%,617,14.05%,22.00%,,,
3062,建漢,"1,421","1,202","1,198",2.92%,"1,140",1.51%,23.40%,,,
3090,日電貿,"1,005",838,887,8.44%,753,4.87%,46.81%,未滿30歲9人；30-50歲14人；超過50歲0人,未滿30歲4人；30-50歲10人；超過50歲0人,本公司致力於建立多元包容的工作環境，應聘條件以工作能力、專業經驗及健康狀況為主要考量，不因年齡因素限制聘用可能，充分發揮高齡人才之價值與貢獻。 員工培訓計畫則依據職務需求及個人能力進行規劃與安排，一視同仁，不因年齡有所區別，確保所有員工皆能獲得適切資源以持續精進並發揮所長。
3092,鴻碩,"1,736","1,544",703,0.86%,635,-9.93%,21.00%,,,
3094,聯傑,"1,561","1,326","1,141",-3.55%,"1,097",-5.51%,18.18%,,,
3130,一零四,"1,689","1,484","1,351",5.55%,"1,210",6.89%,56.11%,18-30 歲：82 人 31-40 歲：89 人 41-50 歲：34 人 51 歲以上：5 人,18-30 歲：30 人 31-40 歲：68 人 41-50 歲：22 人 51 歲以上：22 人,
3138,耀登,"1,567","1,368","1,185",-8.35%,986,-4.55%,35.00%,,,
3149,正達,855,718,621,1.97%,535,1.71%,22.00%,113年度新進員工共計3人，30歲以下1人、31-50歲2人。,113年度離職員工共計61人，30歲以下9人、31-50歲43人、51歲以上9人。,本公司提供中高齡者平等就業機會，截至113年底，50歲以上員工占比達21.2%，且不設年齡門檻，依各職能需求規劃培訓課程，促進職涯延續與經驗傳承，打造友善共融的多元職場環境。
3150,鈺寶-創,"1,644","1,429","1,270",,"1,099",,18.75%,<30歲：１人 31~50歲：9人,31~50歲：５人 ＞51歲：２人,
3164,景岳,772,635,601,0.84%,553,4.34%,39.28%,,,
3167,大量,"1,071",672,783,22.34%,717,17.54%,27.00%,29歲以下：27人 30-39歲：25人 40-49歲：12人 50-59歲：6人,29歲以下：15人 30-39歲：8人 40-49歲：15人 50-59歲：8人 60歲以上：1人,
3168,眾福科,"1,670","1,470","1,225",11.87%,"1,018",3.46%,30.77%,,,
3189,景碩,824,683,736,8.24%,634,11.62%,2.09%,,,
3209,全科,"1,463","1,231","1,150",6.88%,"1,007",4.90%,9.90%,,,
3229,晟鈦,663,555,565,3.86%,534,9.43%,40.58%,,,
3231,緯創,"1,644","1,441","1,443",7.85%,"1,253",4.77%,22.18%,2024新進人員中，30歲以下員工佔62.66%、30-50歲36.55%、50歲含以上0.79%。,2024離職人員中，30歲以下員工佔38.96%、30-50歲54.93%、50歲含以上6.11%。,公司皆依招募任用、教育訓練相關管理辦法，不得因種族、年齡、性別等因素影響人員任用與訓練機會。並在招募過程中，去除年齡暗示之職缺內容。
3257,虹冠電,"2,004","1,808","1,266",-8.19%,"1,029",-10.99%,15.79%,,,
3266,昇陽,"2,569","2,312","1,778",3.79%,"1,777",4.47%,19.00%,,,
3296,勝德,897,734,686,3.00%,596,-2.93%,40.91%,,,
3305,昇貿,954,810,664,-2.50%,526,5.62%,14.71%,"29歲(含)以下：6人,30 - 50歲：16人,51歲(含)以上：5人","29歲(含)以下：2人,30 - 50歲：14人,51歲(含)以上：0人",
3308,聯德,"1,756","1,554",704,-80.34%,603,-83.92%,50.00%,,,
3311,閎暉,720,589,617,-8.86%,503,9.11%,51.40%,,,
3312,弘憶股,"1,450","1,278",878,0.57%,832,2.72%,13.33%,,,
3321,同泰,674,567,594,11.24%,551,14.32%,42.86%,,,
3338,泰碩,"1,597","1,411","1,040",15.17%,909,14.05%,,,,
3346,麗清,"1,246","1,004",861,-8.89%,721,1.41%,28.26%,,,
3356,奇偶,"1,195","1,019",997,1.73%,936,4.70%,33.33%,29歲以下：8人；30~49歲：4人,29歲以下：5人；30~49歲：5人,
3376,新日興,736,632,664,10.30%,577,7.85%,28.10%,,,
3380,明泰,"1,359","1,155","1,144",1.06%,"1,132",6.19%,22.82%,18~20歲:2.45% 21~30歲:15.34% 31~40歲:31.29% 41~50歲:37.42% 51~60歲:13.5%,21~30歲:24.35% 31~40歲:35.65% 41~50歲:26.96% 51~60歲:11.3% 61歲以上:1.74%,N/A
3406,玉晶光,"1,205","1,053",862,11.66%,666,9.18%,14.29%,,,
3413,京鼎,"1,552","1,395","1,518",10.80%,"1,351",5.55%,3.50%,新進員工聘僱狀況 小於30歲為86人，30-50歲為150人，大於50歲為13人 大陸廠區 小於30歲為395人，30-50歲為423人，大於50歲為0人,離職員工聘僱狀況 小於30歲為13人，30-50歲為57人，大於50歲為12人 大陸廠區 小於30歲為148人，30-50歲為134人，大於50歲為1人,
3416,融程電,"1,097",925,853,2.40%,737,4.84%,22.06%,2024 年新進員工數總計全職員工 61 人，兼職員工 0 人。 年齡分布：30 歲以下 36 人、31-50 歲 24 人、51 歲以上 1 人,2024 年離職員工數總計全職員工 39 人，兼職員工 0 人。 年齡分布：30 歲以下 24 人、31-50 歲 15 人、51 歲以上 0 人,
3419,譁裕,"1,263","1,093",942,4.43%,779,3.73%,6.28%,,,
3432,台端,"1,153",985,775,6.75%,634,0.63%,33.00%,31~62,38~60,無
3437,榮創,841,682,680,4.29%,562,2.37%,29.63%,母公司(湖口/四維廠區)新進員工年齡未滿30歲者佔總新進員工人數37.1%；30以上 未滿60者佔60%；50以上者佔2.9%,母公司(湖口/四維廠區)離職員工年齡未滿30歲者佔總離職人數11.5%；30以上未滿50者佔80.2%；50以上者佔8.3%,本公司重視職場年齡多元與世代共融，113年高齡員工（年齡 50 歲以上）占整體員工比例18.94%。因應結構高齡化趨勢及發揮高齡人才的經驗優勢，公司擬計畫定期辦理世代交流與經驗傳承workshop，用以強化知識累積與企業文化延續。
3443,創意,"3,948","3,631","3,160",0.83%,"2,559",-1.50%,14.10%,,,
3447,展達,"1,497","1,288","1,224",-0.73%,"1,085",0.18%,6.78%,<30歲，9% ; 30~50歲，91% ,30~50歲，82%  ;  >50歲，18%,健康促進計畫、延長就業年限
3450,聯鈞,953,730,852,46.14%,627,26.41%,2.84%,0,0,否
3481,群創,"1,153",982,"1,008",12.37%,785,8.43%,17.94%,,,
3494,誠研,"1,070",907,603,2.38%,453,5.10%,0.50%,,,
3501,維熹,960,829,701,25.85%,488,20.79%,39.22%,2024年統計母公司新進人員男性及女性比例各為以下(以2024年底在職員工總人數為分母計算佔比)： 1.30歲(含)以下為2%及4% 2.31~50歲為6%及4% 3.51歲(含)以上為1%及0%,2024年統計母公司新進人員男性及女性比例各為以下(以2024年底在職員工總人數為分母計算佔比)： 1.30歲(含)以下為4%及3% 2.31~50歲為4%及5% 3.51歲(含)以上為2%及1%,本公司中高齡(45歲以上)員工佔全體員工比例約48%。為打造友善職場環境，留住資深人才，本公司針對中高齡員工作出多項相關政策，包括：  1.提供職務輔助設備_小型電動堆高機，以減輕人工搬運負擔 2.改善工作動線與流程，減輕搬運距離與彎腰次數’ 3.提供專業姿勢訓練，減少手腕與肩背負荷  期能透過改善就業環境安全與輔具協助，提升中高齡員工留任與生產效率，也順利延續資深員工職業生涯。
3504,揚明光,906,748,763,4.81%,590,3.69%,23.44%,30歲以下男性為20人，女性為33人 ; 31~50歲男性為19人，女性為30人 ; 51歲以上男性為1人，女性為0人。,30歲以下男性為48人，女性為21人 ; 31~50歲男性為43人，女性為47人 ; 51歲以上男性為10人，女性為3人。,
3515,華擎,"2,535","2,295","1,746",7.51%,"1,527",6.86%,36.04%,,,
3518,柏騰,"2,020","1,460",884,-1.56%,877,-1.90%,29.00%,,,
3528,安馳,"1,748","1,508",900,-28.17%,820,-25.79%,37.84%,未滿30：5人 30 以上未滿50：7人 50 以上：1人,未滿30：9人 30 以上未滿50：16人,
3530,晶相光,"1,982","1,745","1,330",-12.90%,"1,107",-12.90%,20.00%,,,
3532,台勝科,"1,188","1,019","1,130",3.96%,"1,083",4.23%,5.70%,,,
3533,嘉澤,"2,813","2,533","1,658",-12.69%,"1,265",-19.84%,23.12%,,,
3535,晶彩科,"1,207","1,017",978,7.59%,866,11.89%,8.11%,本公司重視多元與包容的人才招募，2024年新進人員共14人，其中30歲以下5人（36%）、30至50歲8人（57%）、50歲以上1人（7%）。公司鼓勵不同年齡層、特別是中高齡人才的加入，發揮其經驗與專業，促進知識傳承與跨世代合作，強化組織韌性。,2024年本公司離職人員共計32人，其中30至50歲24人（75%）、30歲以下6人（19%）、50歲以上2人（6%）。公司將持續關注各年齡層員工的職涯發展與滿意度，透過離職訪談與回饋機制，分析離職原因並優化人力資源策略，支持企業長期穩健與永續發展。,本公司秉持尊重人權與公平晉用的精神，透過多元招募管道推動高齡員工的公平聘用，在職涯發展面，建立公平透明的晉升機制，重視中高齡員工的專業貢獻與團隊協作能力，確保其在組織中享有平等的成長與發展機會，並提供數位工具與系統、及身心支持相關措施，協助他們適應快速變化的工作環境，推動知識傳承與經驗分享。
3543,州巧,967,803,751,5.18%,642,5.42%,44.00%,,,
3545,敦泰,"2,767","2,511","2,239",22.15%,"1,954",26.39%,9.48%,,,
3550,聯穎,"1,095",911,890,3.13%,800,10.34%,32.43%,,,
3557,嘉威,"2,485","2,257","1,163",16.53%,"1,026",17.12%,37.00%,,,
3563,牧德,"1,296","1,054","1,099",1.57%,948,0.21%,14.60%,,,
