報告年度:2023,議題:董事會,,,,,,
公司代號,公司名稱,董事席次(含獨立董事)(席)-董事席次(含獨立董事)(席),獨立董事席次(席)-獨立董事席次(席),董事出席董事會出席率-董事出席董事會出席率,董事進修時數符合進修要點比率-董事進修時數符合進修要點比率,女性董事席次及比率-席,女性董事席次及比率-比率
8114,振樺電,9,3,98.61%,100.00%,4,44.44%
8131,福懋科,10,2,93.85%,100.00%,0,0.00%
8150,南茂,9,5,98.41%,100.00%,3,33.33%
8162,微矽電子,9,4,96.08%,100.00%,1,11.11%
8163,達方,9,4,100.00%,100.00%,1,11.11%
8201,無敵,7,3,96.94%,100.00%,0,0.00%
8210,勤誠,9,4,94.44%,100.00%,4,44.44%
8213,志超,15,4,98.10%,46.67%,6,40.00%
8215,明基材,9,4,100.00%,100.00%,0,0.00%
8222,寶一,8,4,100.00%,100.00%,3,37.50%
8249,菱光,7,3,96.00%,100.00%,1,14.29%
8261,富鼎,7,3,91.84%,100.00%,0,0.00%
8271,宇瞻,9,3,95.56%,100.00%,1,11.11%
8341,日友,9,4,96.49%,100.00%,0,0.00%
8367,建新國際,9,4,91.11%,100.00%,2,22.22%
8374,羅昇,9,3,100.00%,100.00%,2,22.22%
8404,百和興業-KY,10,4,96.36%,100.00%,1,10.00%
8411,福貞-KY,8,4,91.30%,100.00%,3,37.50%
8422,可寧衛,8,4,100.00%,100.00%,0,0.00%
8429,金麗-KY,7,3,76.62%,100.00%,0,0.00%
8438,昶昕,9,4,100.00%,100.00%,2,22.22%
8442,威宏-KY,9,3,89.39%,100.00%,1,11.11%
8443,阿瘦,7,3,93.00%,100.00%,1,14.29%
8454,富邦媒,9,3,96.83%,100.00%,1,11.11%
8462,柏文,7,3,98.81%,100.00%,2,28.57%
8463,潤泰材,9,3,92.06%,100.00%,1,11.11%
8464,億豐,9,3,98.41%,100.00%,0,0.00%
8466,美吉吉-KY,7,3,89.47%,100.00%,0,0.00%
8467,波力-KY,7,3,97.95%,100.00%,2,28.57%
8473,山林水,9,3,81.48%,100.00%,1,11.11%
8476,台境,7,4,92.06%,100.00%,1,14.29%
8478,東哥遊艇,7,3,97.14%,100.00%,1,14.29%
8481,政伸,11,3,98.18%,100.00%,1,9.09%
8482,商億-KY,8,4,94.59%,100.00%,1,12.50%
8487,愛爾達,11,4,89.90%,100.00%,6,54.55%
8488,吉源-KY,9,3,95.56%,100.00%,1,11.11%
8499,鼎炫-KY,7,3,100.00%,100.00%,3,42.86%
8926,台汽電,13,3,86.54%,100.00%,0,0.00%
8940,新天地,7,3,97.44%,100.00%,1,14.29%
8996,高力,9,3,97.78%,100.00%,0,0.00%
9802,鈺齊-KY,8,5,97.92%,100.00%,3,37.50%
9902,台火,7,3,100.00%,100.00%,0,0.00%
9904,寶成,9,3,98.41%,100.00%,2,22.22%
9905,大華,11,3,96.88%,100.00%,3,27.27%
9906,欣巴巴,7,3,94.00%,100.00%,5,71.00%
9907,統一實,10,3,100.00%,100.00%,1,10.00%
9908,大台北,11,3,92.72%,100.00%,1,9.09%
9910,豐泰,13,4,100.00%,100.00%,1,7.69%
9911,櫻花,6,3,98.15%,100.00%,1,11.11%
9912,偉聯,7,3,100.00%,100.00%,2,28.57%
9914,美利達,13,4,98.08%,100.00%,3,23.00%
9917,中保科,12,4,93.00%,100.00%,2,14.00%
9918,欣天然,24,5,95.83%,100.00%,5,20.83%
9919,康那香,11,4,96.08%,100.00%,4,36.36%
9921,巨大,11,3,100.00%,100.00%,1,9.09%
9924,福興,10,3,96.00%,100.00%,1,10.00%
9925,新保,9,4,80.56%,77.78%,0,0.00%
9926,新海,15,3,82.22%,46.67%,2,13.33%
9927,泰銘,9,3,96.83%,33.33%,0,0.00%
9928,中視,10,4,95.74%,72.73%,3,30.00%
9929,秋雨,7,3,94.20%,28.60%,0,0.00%
9930,中聯資源,15,3,95.56%,100.00%,0,0.00%
9931,欣高,9,3,97.78%,100.00%,1,11.11%
9933,中鼎,12,4,89.00%,100.00%,1,8.33%
9934,成霖,8,4,91.67%,87.50%,1,12.50%
9935,慶豐富,4,3,92.86%,96.00%,0,0.00%
9937,全國,9,3,91.00%,100.00%,2,22.22%
9938,百和,9,4,95.95%,100.00%,3,33.33%
9939,宏全,6,3,97.00%,100.00%,3,33.00%
9940,信義,7,4,92.06%,100.00%,2,28.57%
9941,裕融,11,4,95.45%,100.00%,1,9.09%
9942,茂順,9,4,90.74%,100.00%,1,11.11%
9943,好樂迪,11,3,90.91%,63.64%,5,45.45%
9944,新麗,7,3,97.62%,100.00%,4,57.14%
9945,潤泰新,9,3,88.89%,100.00%,2,22.22%
9946,三發地產,7,3,100.00%,100.00%,0,0.00%
9955,佳龍,8,4,94.12%,100.00%,1,12.50%
9958,世紀鋼,8,3,100.00%,100.00%,1,0.13%
