報告年度:2023,議題:董事會,,,,,,
公司代號,公司名稱,董事席次(含獨立董事)(席)-董事席次(含獨立董事)(席),獨立董事席次(席)-獨立董事席次(席),董事出席董事會出席率-董事出席董事會出席率,董事進修時數符合進修要點比率-董事進修時數符合進修要點比率,女性董事席次及比率-席,女性董事席次及比率-比率
1726,永記,7,3,88.57%,100.00%,1,14.29%
1727,中華化,10,4,96.00%,100.00%,1,10.00%
1730,花仙子,6,3,97.22%,100.00%,4,66.67%
1731,美吾華,13,4,89.23%,53.85%,4,30.77%
1732,毛寶,9,4,80.50%,100.00%,4,44.44%
1733,五鼎,6,4,99.00%,100.00%,1,16.67%
1734,杏輝,11,3,88.00%,100.00%,1,9.09%
1735,日勝化,9,3,100.00%,11.11%,0,0.00%
1736,喬山,13,4,95.90%,100.00%,4,30.76%
1737,臺鹽,9,3,97.00%,100.00%,2,22.00%
1752,南光,8,4,100.00%,100.00%,1,12.50%
1760,寶齡富錦,9,3,98.11%,100.00%,1,0.11%
1762,中化生,7,3,92.86%,100.00%,2,28.57%
1773,勝一,9,4,88.89%,100.00%,2,22.22%
1776,展宇,9,3,98.15%,100.00%,1,11.11%
1783,和康生,9,3,96.00%,100.00%,3,33.00%
1786,科妍,9,3,100.00%,100.00%,2,22.22%
1789,神隆,17,5,93.81%,100.00%,5,29.41%
1795,美時,11,3,95.45%,100.00%,4,36.36%
1802,台玻,15,3,88.33%,46.67%,1,6.67%
1805,寶徠,9,3,94.44%,100.00%,2,22.22%
1806,冠軍,7,3,100.00%,57.14%,1,14.29%
1808,潤隆,7,3,84.13%,100.00%,1,14.29%
1809,中釉,9,3,92.06%,100.00%,1,11.11%
1810,和成,7,3,71.43%,100.00%,0,0.00%
1817,凱撒衛,8,4,100.00%,100.00%,1,12.50%
1903,士紙,7,3,90.00%,42.86%,2,28.57%
1904,正隆,9,3,100.00%,100.00%,1,11.11%
1905,華紙,7,3,100.00%,100.00%,2,28.57%
1906,寶隆,6,3,98.00%,100.00%,1,16.67%
1907,永豐餘,9,4,97.20%,100.00%,2,22.22%
1909,榮成,9,3,100.00%,100.00%,1,11.00%
2002,中鋼,11,3,100.00%,100.00%,1,9.09%
2006,東和鋼鐵,9,3,100.00%,100.00%,1,11.11%
2007,燁興,7,3,95.24%,100.00%,0,0.00%
2008,高興昌,9,3,97.22%,55.56%,1,11.11%
2009,第一銅,7,3,82.14%,100.00%,1,14.29%
2010,春源,11,3,96.97%,27.27%,1,9.09%
2012,春雨,11,3,100.00%,100.00%,2,18.18%
2013,中鋼構,11,3,88.89%,100.00%,1,9.09%
2014,中鴻,7,3,100.00%,100.00%,1,14.29%
2015,豐興,13,3,95.38%,100.00%,0,0.00%
2017,官田鋼,12,3,88.00%,100.00%,2,16.67%
2020,美亞,9,3,97.10%,55.60%,2,22.20%
2022,聚亨,5,3,97.14%,100.00%,1,20.00%
2023,燁輝,7,3,95.24%,100.00%,0,0.00%
2024,志聯,6,2,96.97%,83.33%,2,33.33%
2025,千興,7,3,95.24%,28.57%,3,42.86%
2027,大成鋼,12,4,89.00%,100.00%,4,33.33%
2028,威致,8,4,94.74%,100.00%,3,37.50%
2029,盛餘,11,4,98.11%,36.36%,1,9.09%
2030,彰源,9,4,100.00%,100.00%,1,11.00%
2031,新光鋼,10,4,98.67%,100.00%,0,0.00%
2032,新鋼,9,3,97.00%,22.22%,1,11.11%
2033,佳大,7,3,82.14%,28.57%,2,28.57%
2034,允強,9,4,100.00%,100.00%,2,0.22%
2038,海光,10,4,95.83%,100.00%,0,0.00%
2049,上銀,10,3,100.00%,100.00%,3,30.00%
2059,川湖,7,4,100.00%,100.00%,3,42.86%
2062,橋椿,7,4,100.00%,100.00%,2,28.57%
2069,運錩,7,4,100.00%,100.00%,1,14.29%
2101,南港,9,3,95.56%,88.89%,5,55.56%
2102,泰豐,9,3,95.06%,44.44%,2,22.22%
2103,台橡,7,3,100.00%,100.00%,1,14.29%
2104,國際中橡,8,4,96.67%,100.00%,0,0.00%
2105,正新,11,3,98.00%,100.00%,1,9.00%
2106,建大,11,3,96.97%,123.00%,1,9.09%
2107,厚生,8,2,98.53%,100.00%,1,12.50%
2108,南帝,20,4,95.00%,100.00%,3,15.00%
2109,華豐,11,3,93.64%,27.27%,1,9.09%
2114,鑫永銓,9,3,100.00%,100.00%,0,0.00%
2115,六暉-KY,9,3,100.00%,100.00%,3,33.33%
2201,裕隆,9,3,92.59%,100.00%,1,11.11%
2204,中華,9,3,98.41%,100.00%,2,22.22%
2206,三陽工業,11,4,95.77%,100.00%,1,9.09%
2207,和泰車,14,3,99.11%,100.00%,2,14.28%
2208,台船,15,3,89.00%,50.70%,1,6.67%
2211,長榮鋼,7,3,100.00%,100.00%,2,28.57%
2227,裕日車,11,3,98.20%,100.00%,1,9.10%
