報告年度:2023,議題:人力發展,,,,,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數)
1439,雋揚,"1,287","1,070",769,786,50.00%,0,0.00%,,0,0,0
1440,南紡,689,563,619,556,12.12%,8,3.16%,,0,0,0
1441,大東,"1,103",909,608,551,29.00%,0,0.00%,N/A,0,0,0
1442,名軒,"1,515","1,276","1,047","1,021",50.00%,0,0.00%,,0,0,0
1443,立益物流,920,769,657,650,20.62%,0,0.00%,N/A,0,0,0
1444,力麗,631,501,513,446,22.45%,3,0.18%,,0,0,0
1445,大宇,839,735,689,587,16.00%,0,0.00%,,0,0,0
1446,宏和,896,775,637,515,17.50%,0,0.00%,,0,0,0
1447,力鵬,710,561,558,505,22.03%,4,0.31%,,0,0,0
1449,佳和,613,512,527,494,5.43%,4,0.46%,,0,0,0
1451,年興,826,611,518,470,22.00%,529,6.22%,,0,0,0
1452,宏益,744,617,565,483,32.00%,10,4.67%,,0,0,0
1453,大將,834,700,565,596,40.00%,0,0.00%,,0,0,0
1454,台富,673,558,557,507,9.45%,0,0.00%,N/A,0,0,0
1455,集盛,716,606,603,548,9.09%,9,0.71%,,1,0,0.00%
1456,怡華,"1,096",936,561,556,17.00%,0,0.00%,N/A,0,0,0
1457,宜進,"1,314","1,116",821,732,55.00%,0,0.00%,N/A,0,0,0
1459,聯發,752,611,449,394,16.67%,0,0.00%,,0,0,0
1460,宏遠,685,551,522,470,2.79%,13,0.93%,跌倒、壓傷、被切割傷、異常工作負荷、人因傷害,0,0,0
1463,強盛,620,531,515,465,29.03%,0,0.00%,,0,0,0
1464,得力,655,552,554,489,33.33%,15,1.81%,,0,0,0
1465,偉全,649,542,531,477,44.00%,0,0.00%,,0,0,0
1466,聚隆,736,607,570,550,18.18%,2,0.63%,,0,0,0
1467,南緯,913,763,660,583,12.20%,0,0.00%,,0,0,0
1468,昶和,699,578,543,522,20.00%,0,0.00%,,0,0,0
1470,大統新創,658,563,560,473,33.33%,0,0.00%,,0,0,0
1471,首利,"1,108",932,740,768,32.00%,0,0.00%,,0,0,0
1472,三洋實業,"1,142",981,803,651,21.88%,0,0.00%,N/A,0,0,0
1473,台南,891,767,589,493,86.60%,3,0.87%,,0,0,0
1474,弘裕,667,569,548,503,40.91%,2,0.44%,上下班交通意外,0,0,0
1475,業旺,"1,000",821,580,586,25.00%,0,0.00%,N/A,0,0,0
1476,儒鴻,"1,156","1,015",953,833,35.71%,30,0.16%,切割、衝撞、跌倒、捲夾、不當動作、高低溫接觸,0,0,0
1477,聚陽,"2,129","1,927","1,508","1,381",59.42%,10,1.37%,,0,0,0
1503,士電,"1,249","1,103","1,024",842,7.40%,1,0.24%,,3,0,0.00%
1504,東元,"1,267","1,102",920,748,21.57%,10,0.17%,"不當動作 2 件,被夾/捲 1 件,撞傷 2 件,壓/砸傷 2 件,跌倒/扭傷 3 件",2,0,0.00%
1506,正道,631,506,562,508,26.14%,11,3.76%,,0,0,0
1512,瑞利,772,636,585,503,12.50%,0,0.00%,,0,0,0
1513,中興電,"1,062",889,907,773,16.33%,4,1.24%,,0,0,0
1514,亞力,"1,182","1,023",943,809,36.00%,0,0.00%,,0,0,0
1515,力山,723,630,524,434,18.37%,15,1.83%,,0,0,0
1516,川飛,"1,765","1,535",970,862,0.00%,0,0.00%,,0,0,0
1517,利奇,464,372,395,345,10.67%,3,0.52%,,0,0,0
1519,華城,"1,646","1,483","1,546","1,113",13.13%,9,1.00%,,0,0,0
1521,大億,757,621,642,585,11.92%,0,0.00%,,0,0,0
1522,堤維西,730,600,618,562,25.00%,21,1.28%,,0,0,0
1524,耿鼎,773,647,633,545,14.29%,3,0.66%,,0,0,0
1525,江申,755,630,644,589,10.00%,0,0.00%,,0,0,0
1526,日馳,775,648,544,401,20.00%,1,0.60%,,0,0,0
1527,鑽全,651,548,576,471,0.77%,5,0.01%,,0,0,0
1528,恩德,817,701,710,608,3.78%,0,0.00%,,0,0,0
1529,樂事綠能,692,572,484,461,42.86%,1,1.22%,,0,0,0
1530,亞崴,860,725,649,608,13.95%,0,0.00%,,0,0,0
1531,高林股,896,752,748,687,48.54%,3,0.66%,,0,0,0.00%
1532,勤美,"1,017",873,775,610,32.60%,2,0.62%,112年勤美公司員工職災2件、人數2人、佔員工人數0.62%，兩件皆為人員操作不當導致物件掉落，在配戴安全鞋的情況下，仍擊傷足部。已針對事故發生原因加強人員教育訓練，同時找尋新式防護具，經測試有效後業已添購，並於該作業區全員裝配，提升防護效果。,0,0,0
1533,車王電,651,528,566,482,30.00%,2,0.40%,車王電子台灣母公司2021-2023 年非員工工作者沒有發生職業傷害。2021-2022年度員工工作者均無發生嚴重職業災害事件及執行職務發生之交通事故，2023年中港廠發生輕微燙傷1件、跌倒手部受傷住院治療事故1件共計2件。2023年失能傷害頻率(FR)為2.16，失能嚴重率(SR)為34.48，總合傷害指數為0.27。車王電子未來會保持高標準的安全管理，持續往零災害工時之目標推進。,1,0,0.00%
1535,中宇,"1,334","1,170","1,135","1,039",9.02%,0,0.00%,,0,0,0
1536,和大,796,647,607,582,10.00%,11,4.53%,,0,0,0
1537,廣隆,"1,083",921,784,641,34.10%,0,0.00%,,0,0,0
1538,正峰,858,749,594,437,40.00%,1,0.02%,機器壓傷,0,0,0
1539,巨庭,604,489,461,409,26.32%,0,0.00%,,0,0,0
1540,喬福,736,612,600,569,0.20%,0,0.00%,N/A,0,0,0
