"報告年度:2023","議題:功能性委員會"
"公司代號","公司名稱","薪酬委員會席次(席)-薪酬委員會席次(席)","薪酬委員會獨立董事席次(席)-薪酬委員會獨立董事席次(席)","薪酬委員會出席率-薪酬委員會出席率","審計委員會席次(席)-審計委員會席次(席)","審計委員會出席率-審計委員會出席率"
"=""2414""","精技","4","4","100.00%","4","100.00%"
"=""2415""","錩新","3","3","100.00%","3","100.00%"
"=""2417""","圓剛","4","4","100.00%","4","100.00%"
"=""2419""","仲琦","3","3","83.33%","3","91.67%"
"=""2420""","新巨","3","2","100.00%","3","100.00%"
"=""2421""","建準","3","3","100.00%","4","100.00%"
"=""2423""","固緯","3","3","100.00%","3","100.00%"
"=""2424""","隴華","3","3","100.00%","4","100.00%"
"=""2425""","承啟","4","4","91.66%","4","87.50%"
"=""2426""","鼎元","3","3","100.00%","3","100.00%"
"=""2427""","三商電","5","4","88.00%","4","90.00%"
"=""2428""","興勤","3","2","100.00%","3","100.00%"
"=""2429""","銘旺科","3","3","92.30%","3","92.59%"
"=""2430""","燦坤","3","3","100.00%","3","100.00%"
"=""2431""","聯昌","3","3","85.71%","3","91.67%"
"=""2432""","倚天酷碁-創","4","4","100.00%","4","100.00%"
"=""2433""","互盛電","3","3","100.00%","3","91.67%"
"=""2434""","統懋","3","3","100.00%","3","100.00%"
"=""2436""","偉詮電","3","3","100.00%","3","100.00%"
"=""2438""","翔耀","3","3","75.00%","3","75.00%"
"=""2439""","美律","3","3","100.00%","3","100.00%"
"=""2440""","太空梭","3","2","100.00%","3","100.00%"
"=""2441""","超豐","3","3","100.00%","3","100.00%"
"=""2442""","新美齊","3","2","92.86%","3","95.24%"
"=""2444""","兆勁","4","4","100.00%","4","100.00%"
"=""2449""","京元電子","4","3","100.00%","3","100.00%"
"=""2450""","神腦","5","5","100.00%","5","96.00%"
"=""2451""","創見","3","3","100.00%","3","100.00%"
"=""2453""","凌群","3","3","100.00%","3","100.00%"
"=""2454""","聯發科","3","2","100.00%","4","100.00%"
"=""2455""","全新","3","2","100.00%","3","100.00%"
"=""2457""","飛宏","4","4","100.00%","4","96.67%"
"=""2458""","義隆","3","3","91.70%","4","91.70%"
"=""2459""","敦吉","4","4","100.00%","4","100.00%"
"=""2460""","建通","3","3","83.33%","3","83.33%"
"=""2461""","光群雷","3","3","100.00%","4","93.33%"
"=""2462""","良得電","4","4","100.00%","4","100.00%"
"=""2464""","盟立","3","2","100.00%","2","100.00%"
"=""2465""","麗臺","3","3","100.00%","4","86.36%"
"=""2466""","冠西電","3","3","100.00%","3","91.66%"
"=""2467""","志聖","4","4","100.00%","4","100.00%"
"=""2468""","華經","3","3","91.67%","3","92.86%"
"=""2471""","資通","4","4","100.00%","4","100.00%"
"=""2472""","立隆電","3","2","100.00%","4","100.00%"
"=""2474""","可成","3","3","100.00%","3","100.00%"
"=""2476""","鉅祥","4","4","100.00%","4","100.00%"
"=""2477""","美隆電","3","2","100.00%","3","100.00%"
"=""2478""","大毅","4","4","100.00%","4","100.00%"
"=""2480""","敦陽科","4","4","100.00%","4","93.75%"
"=""2481""","強茂","4","4","100.00%","4","100.00%"
"=""2482""","連宇","3","3","100.00%","4","100.00%"
"=""2483""","百容","4","4","100.00%","4","100.00%"
"=""2484""","希華","3","3","100.00%","3","100.00%"
"=""2485""","兆赫","3","3","100.00%","3","100.00%"
"=""2486""","一詮","4","4","100.00%","4","100.00%"
"=""2488""","漢平","4","4","100.00%","4","100.00%"
"=""2489""","瑞軒","3","3","100.00%","4","95.75%"
"=""2491""","吉祥全","3","3","100.00%","3","100.00%"
"=""2492""","華新科","3","2","100.00%","3","100.00%"
"=""2493""","揚博","4","4","100.00%","4","100.00%"
"=""2495""","普安","3","3","100.00%","3","100.00%"
"=""2496""","卓越","3","3","100.00%","4","100.00%"
"=""2497""","怡利電","4","4","100.00%","4","100.00%"
"=""2498""","宏達電","3","2","100.00%","4","100.00%"
"=""2501""","國建","3","3","100.00%","3","90.00%"
"=""2504""","國產","4","4","100.00%","4","93.75%"
"=""2505""","國揚","3","3","83.33%","3","93.33%"
"=""2506""","太設","3","3","100.00%","3","100.00%"
"=""2509""","全坤建","3","2","100.00%","3","100.00%"
"=""2511""","太子","5","5","100.00%","5","100.00%"
"=""2514""","龍邦","3","3","100.00%","4","100.00%"
"=""2515""","中工","3","3","100.00%","3","100.00%"
"=""2516""","新建","3","3","100.00%","3","100.00%"
"=""2520""","冠德","3","2","100.00%","3","100.00%"
"=""2524""","京城","4","4","100.00%","4","100.00%"
"=""2527""","宏璟","3","3","83.33%","3","100.00%"
"=""2528""","皇普","3","3","83.33%","4","90.91%"
"=""2530""","華建","3","3","100.00%","3","100.00%"
"=""2534""","宏盛","3","3","66.67%","3","95.83%"
"=""2535""","達欣工","3","3","100.00%","3","100.00%"
"=""2536""","宏普","3","3","100.00%","4","100.00%"
"=""2537""","聯上發","3","3","100.00%","3","100.00%"
"=""2538""","基泰","5","3","90.00%","3","85.71%"
"=""2539""","櫻花建","3","2","100.00%","3","100.00%"
"=""2540""","愛山林","3","3","100.00%","3","87.50%"
"=""2542""","興富發","3","2","100.00%","3","94.12%"
"=""2543""","皇昌","3","3","100.00%","3","100.00%"
"=""2545""","皇翔","3","2","100.00%","4","100.00%"
"=""2546""","根基","3","2","100.00%","3","100.00%"
"=""2547""","日勝生","3","3","100.00%","4","100.00%"
"=""2548""","華固","4","4","100.00%","4","100.00%"
"=""2597""","潤弘","3","2","100.00%","3","100.00%"
"=""2601""","益航","4","4","80.00%","4","90.24%"
"=""2603""","長榮","3","3","88.89%","3","100.00%"
"=""2605""","新興","4","4","100.00%","4","100.00%"
"=""2606""","裕民","3","3","100.00%","3","100.00%"
"=""2607""","榮運","3","3","100.00%","3","100.00%"
