"報告年度:2023","議題:功能性委員會"
"公司代號","公司名稱","薪酬委員會席次(席)-薪酬委員會席次(席)","薪酬委員會獨立董事席次(席)-薪酬委員會獨立董事席次(席)","薪酬委員會出席率-薪酬委員會出席率","審計委員會席次(席)-審計委員會席次(席)","審計委員會出席率-審計委員會出席率"
"=""8201""","無敵","3","3","100.00%","3","100.00%"
"=""8210""","勤誠","3","3","100.00%","4","100.00%"
"=""8213""","志超","3","3","100.00%","4","100.00%"
"=""8215""","明基材","4","4","100.00%","4","100.00%"
"=""8222""","寶一","4","4","100.00%","4","100.00%"
"=""8249""","菱光","3","3","100.00%","3","100.00%"
"=""8261""","富鼎","3","3","100.00%","3","100.00%"
"=""8271""","宇瞻","3","3","100.00%","3","100.00%"
"=""8341""","日友","4","4","90.91%","4","100.00%"
"=""8367""","建新國際","4","4","100.00%","4","95.00%"
"=""8374""","羅昇","3","3","100.00%","3","100.00%"
"=""8404""","百和興業-KY","4","4","100.00%","4","93.18%"
"=""8411""","福貞-KY","3","3","83.33%","4","90.91%"
"=""8422""","可寧衛","4","4","100.00%","4","100.00%"
"=""8429""","金麗-KY","3","3","100.00%","3","100.00%"
"=""8438""","昶昕","3","3","100.00%","4","100.00%"
"=""8442""","威宏-KY","3","3","100.00%","3","100.00%"
"=""8443""","阿瘦","3","3","100.00%","3","100.00%"
"=""8454""","富邦媒","3","3","100.00%","3","100.00%"
"=""8462""","柏文","3","3","100.00%","3","100.00%"
"=""8463""","潤泰材","3","3","100.00%","3","100.00%"
"=""8464""","億豐","3","3","100.00%","3","100.00%"
"=""8466""","美吉吉-KY","3","3","100.00%","3","100.00%"
"=""8467""","波力-KY","3","3","100.00%","3","94.44%"
"=""8473""","山林水","3","3","100.00%","3","96.29%"
"=""8476""","台境","3","3","91.67%","4","93.75%"
"=""8478""","東哥遊艇","3","3","100.00%","3","100.00%"
"=""8481""","政伸","3","3","83.33%","3","93.33%"
"=""8482""","商億-KY","4","4","85.71%","4","94.11%"
"=""8487""","愛爾達","4","4","91.67%","4","94.44%"
"=""8488""","吉源-KY","3","3","100.00%","3","100.00%"
"=""8499""","鼎炫-KY","3","3","100.00%","3","100.00%"
"=""8926""","台汽電","4","3","92.86%","3","100.00%"
"=""8940""","新天地","3","3","100.00%","3","100.00%"
"=""8996""","高力","3","3","100.00%","3","100.00%"
"=""9802""","鈺齊-KY","3","3","100.00%","5","100.00%"
"=""9902""","台火","3","3","100.00%","3","100.00%"
"=""9904""","寶成","3","3","100.00%","3","100.00%"
"=""9905""","大華","3","3","83.33%","3","83.33%"
"=""9906""","欣巴巴","3","3","100.00%","3","94.44%"
"=""9907""","統一實","3","3","100.00%","3","100.00%"
"=""9908""","大台北","3","3","100.00%","3","100.00%"
"=""9910""","豐泰","4","4","100.00%","4","100.00%"
"=""9911""","櫻花","3","2","100.00%","3","100.00%"
"=""9912""","偉聯","3","3","100.00%","3","93.33%"
"=""9914""","美利達","3","2","100.00%","4","100.00%"
"=""9917""","中保科","3","2","88.00%","3","73.00%"
"=""9918""","欣天然","3","2","100.00%","5","90.00%"
"=""9919""","康那香","4","4","100.00%","4","100.00%"
"=""9921""","巨大","3","3","100.00%","3","100.00%"
"=""9924""","福興","3","3","100.00%","3","100.00%"
"=""9925""","新保","3","3","100.00%","4","95.00%"
"=""9926""","新海","3","3","100.00%","3","100.00%"
"=""9927""","泰銘","5","3","100.00%","3","100.00%"
"=""9928""","中視","3","2","100.00%","4","100.00%"
"=""9929""","秋雨","3","2","100.00%","3","100.00%"
"=""9930""","中聯資源","3","3","100.00%","5","100.00%"
"=""9931""","欣高","3","3","88.89%","3","91.67%"
"=""9933""","中鼎","4","4","100.00%","4","100.00%"
"=""9934""","成霖","5","3","92.00%","4","92.86%"
"=""9935""","慶豐富","3","3","100.00%","3","100.00%"
"=""9937""","全國","3","3","100.00%","3","100.00%"
"=""9938""","百和","4","4","100.00%","4","100.00%"
"=""9939""","宏全","3","3","83.00%","3","89.00%"
"=""9940""","信義","4","4","90.63%","4","91.67%"
"=""9941""","裕融","4","4","100.00%","4","100.00%"
"=""9942""","茂順","4","4","100.00%","4","100.00%"
"=""9943""","好樂迪","3","3","100.00%","3","100.00%"
"=""9944""","新麗","3","3","100.00%","3","100.00%"
"=""9945""","潤泰新","3","3","100.00%","3","100.00%"
"=""9946""","三發地產","3","3","100.00%","3","100.00%"
"=""9955""","佳龍","3","2","100.00%","4","91.67%"
"=""9958""","世紀鋼","3","3","100.00%","3","100.00%"
