報告年度:2023,議題:能源管理,,,
公司代號,公司名稱,使用率(再生能源/總能源)-使用率(再生能源/總能源),資料範圍-資料範圍,驗證標準-取得驗證
2062,橋椿,0.39%,中科分公司、烏日倉、鹿港倉、營運總部,ISO 50001
2069,運錩,N/A,N/A,N/A
2101,南港,N/A,N/A,N/A
2102,泰豐,N/A,N/A,N/A
2103,台橡,6.05%,涵蓋範圍包含母公司及實質營運子公司(含營運及貿易子公司),ISO 50001
2104,國際中橡,N/A,N/A,ISO 50001
2105,正新,1.23%,母公司,N/A
2106,建大,0.21%,台灣地區,ISO 50001
2107,厚生,61.36%,母公司,N/A
2108,南帝,2.19%,僅母公司,N/A
2109,華豐,N/A,N/A,N/A
2114,鑫永銓,N/A,N/A,N/A
2115,六暉-KY,N/A,N/A,N/A
2201,裕隆,6.36%,裕隆汽車母公司個體營運據點(三義廠區),N/A
2204,中華,2.43%,楊梅廠與新竹廠,ISO 50001
2206,三陽工業,N/A,N/A,N/A
2207,和泰車,0.52%,全公司,N/A
2208,台船,1.70%,台船公司高雄廠區,N/A
2211,長榮鋼,N/A,N/A,N/A
2227,裕日車,N/A,N/A,N/A
2228,劍麟,N/A,N/A,N/A
2231,為升,0.00%,僅母公司,N/A
2233,宇隆,N/A,N/A,N/A
2236,百達-KY,N/A,N/A,N/A
2239,英利-KY,N/A,N/A,N/A
2241,艾姆勒,0.00%,母公司,N/A
2243,宏旭-KY,N/A,N/A,N/A
2247,汎德永業,0.07%,合併財務報表全據點,N/A
2250,IKKA-KY,N/A,N/A,N/A
2254,巨鎧精密-創,N/A,N/A,N/A
2258,鴻華先進-創,N/A,N/A,N/A
2301,光寶科,28.30%,"光寶科技中和廠、光寶科技新莊辦公室、光寶科技內湖大樓、光寶科技高雄營運中心、光寶科技(常州)有限公司、光寶光電(常州)有限公司、光寶電子(天津)有限公司、光寶網絡通訊(東莞)有限公司、惠州市力信電子有限公司、光寶電子(東莞)有限公司、光寶電源科技(東莞)有限公司、旭麗電子(東莞)有限公司、建興光電科技(北海)有限公司、光寶電子(廣州)有限公司、敦揚（廣州）汽車電子有限公司、光寶智能汽車(廣州)有限公司、Lite-On Electronics (Thailand) Co., Ltd.、LITE-ON AUTOMOTIVE ELECTRONICS MEXICO, S.A. DE C.V.、LITE-ON VIETNAM CO., LTD.",ISO 50001
2302,麗正,N/A,N/A,N/A
2303,聯電,10.40%,合併財務報表之母子公司 (再生能源使用率依SASB準則定義，以再生能源/總能源比例計算；若以再生能源/總用電比例計算則為11.1%),ISO 50001
2305,全友,N/A,N/A,N/A
2308,台達電,76.00%,全球據點的電力數據 ,ISO 50001
2312,金寶,7.80%,合併財務報表之母子公司,ISO 50001
2313,華通,28.00%,全企業的電力數據,ISO 50001
2314,台揚,N/A,N/A,N/A
2316,楠梓電,N/A,N/A,ISO 50001
2317,鴻海,60.96%,合併財務報表之母子公司,ISO 50001
2321,東訊,N/A,N/A,N/A
2323,中環,N/A,N/A,N/A
2324,仁寶,47.77%,1. 共有平鎮、昆山三廠、成都廠及重慶2廠區(CQ及CQA)通過ISO 50001 2. 再生能源使用率計算範圍包含母公司、仁寶(越南)、仁寶電腦(重慶)、仁寶電腦(成都)及仁寶視訊電子(昆山)、仁寶電子科技(昆山)、仁寶資訊工業(昆山)、仁寶信息技術(昆山)、仁寶數碼科技（昆山）、吉寶通訊（南京），重慶翊寶智慧電子裝置 、Compal Wise Electronic (Vietnam)、 Compalead Eletrônica do Brasil Indústria e Comércio Ltda、Compal Electronica DA Amazonia Ltda,ISO 50001
2327,國巨,N/A,N/A,N/A
2328,廣宇,0.00%,母公司,N/A
2329,華泰,0.10%,母公司 ,ISO 50001
2330,台積電,11.16%,台積公司全球辦公室、海內外營運廠區、采鈺公司,ISO 50001
2331,精英,0.00%,精英電腦臺灣總部,ISO 50001
2332,友訊,0.26%,公司總部大樓,N/A
2337,旺宏,1.19%,母公司,N/A
2338,光罩,N/A,N/A,N/A
2340,台亞,49.39%,2023年度,ISO 50001
2342,茂矽,1.36%,僅母公司,N/A
2344,華邦電,0.30%,母公司,ISO 50001
2345,智邦,0.00%,母公司,ISO 50001
2347,聯強,N/A,N/A,N/A
2348,海悅,N/A,N/A,N/A
2349,錸德,0.14%,僅母公司,N/A
2351,順德,N/A,N/A,ISO 50001
2352,佳世達,26.19%,台灣、蘇州、越南,ISO 50001
2353,宏碁,47.68%,含合併財務報表之母子公司,ISO 50001
2354,鴻準,14.57%,大陸主要營運據點(煙臺、太原、佛山),ISO 50001
2355,敬鵬,N/A,N/A,N/A
