"報告年度:2022","議題:人力發展"
"公司代號","公司名稱","員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開)","員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開)","非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)","非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)","管理職女性主管占比-管理職女性主管占比","職業災害人數及比率-人數","職業災害人數及比率-比率"
"=""1727""","中華化","772","633","626","598","19.35%","9","3.45%"
"=""1730""","花仙子","1353","1153","890","708","50.00%","0","0.00%"
"=""1731""","美吾華","908","777","664","585","42.11%","2","1.07%"
"=""1732""","毛寶","624","524","538","456","50.00%","2","1.24%"
"=""1733""","五鼎","740","622","651","566","41.70%","11","1.38%"
"=""1734""","杏輝","774","646","617","533","41.53%","3","0.39%"
"=""1735""","日勝化","954","804","753","661","4.76%","2","0.94%"
"=""1736""","喬山","872","738","707","592","21.67%","3","0.51%"
"=""1737""","臺鹽","1159","981","985","895","29.06%","0","0.00%"
"=""1752""","南光","687","575","565","494","23.33%","13","2.06%"
"=""1760""","寶齡富錦","1113","954","838","624","44.10%","5","0.93%"
"=""1762""","中化生","1216","1042","967","885","19.00%","0","0.00%"
"=""1773""","勝一","1331","1164","1071","924","9.30%","4","0.90%"
"=""1776""","展宇","837","691","636","493","25.00%","2","1.64%"
"=""1783""","和康生","1085","923","677","538","57.14%","0","0.00%"
"=""1786""","科妍","1027","868","659","594","27.00%","0","0.00%"
"=""1789""","神隆","1068","906","813","744","34.04%","15","2.24%"
"=""1795""","美時","1339","1113","1096","774","34.00%","1","0.16%"
"=""1802""","台玻","776","652","677","631","13.20%","80","2.01%"
"=""1805""","寶徠","1331","1158","715","659","25.00%","0","0.00%"
"=""1806""","冠軍","749","605","672","595","23.53%","10","1.43%"
"=""1808""","潤隆","994","768","664","595","27.58%","2","2.04%"
"=""1809""","中釉","877","749","749","392","15.00%","1","0.49%"
"=""1810""","和成","734","625","618","535","9.26%","1","0.12%"
"=""1817""","凱撒衛","935","788","765","621","25.00%","0","0.00%"
"=""1903""","士紙","829","678","563","529","22.58%","0","0.00%"
"=""1904""","正隆","1085","934","918","850","4.31%","10","0.27%"
"=""1905""","華紙","940","785","735","678","9.32%","1","0.03%"
"=""1906""","寶隆","1587","1258","808","875","14.29%","0","0.00%"
"=""1907""","永豐餘","2606","2420","783","691","18.00%","39","0.44%"
"=""1909""","榮成","935","799","766","731","5.00%","1","0.09%"
"=""2002""","中鋼","1941","1664","1595","1495","2.35%","1","0.01%"
"=""2006""","東和鋼鐵","1210","1061","1088","1031","8.80%","12","0.62%"
