報告年度:2022,議題:溫室氣體排放,,,,,,,,,,,
公司代號,公司名稱,直接(範疇一)溫室氣體排放量-數據(公噸CO₂e),直接(範疇一)溫室氣體排放量-資料邊界,直接(範疇一)溫室氣體排放量-確信範圍,能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e),能源間接(範疇二)溫室氣體排放量-資料邊界,能源間接(範疇二)溫室氣體排放量-確信範圍,其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e),其他間接(範疇三)溫室氣體排放量-資料邊界,其他間接(範疇三)溫室氣體排放量-確信範圍,溫室氣體排放密集度-密集度(噸CO2e/單位),溫室氣體排放密集度-單位
1229,聯華,1277.536,"母公司-聯華實業投資控股(股)公司以及 子公司-聯華製粉食品(股)公司、聯華置產(股)公司",ISO 14064-1:2018                                                                                                                                                                                        ,16358.178,"母公司-聯華實業投資控股(股)公司以及 子公司-聯華製粉食品(股)公司、聯華置產(股)公司",ISO 14064-1:2018                                                                                                                                                                                        ,3223.575,"母公司-聯華實業投資控股(股)公司以及 子公司-聯華製粉食品(股)公司、聯華置產(股)公司用水、廢棄物和商務差旅",ISO 14064-1:2018                                                                                                                                                                                        ,2.39,百萬元營業額
1231,聯華食,8747.13,臺灣地區各工廠之所有營運相關之活動,,16853.49,臺灣地區各工廠之所有營運相關之活動,,無，尚未進行盤查,,,2.38,百萬元營業額
1232,大統益,29545.1271,僅母公司,ISO 14064,64871.3879,僅母公司,ISO 14064,無，無統計相關數據,,,4.6702,百萬元營業額
1233,天仁,869.729,本公司天仁茶業股份有限公司直營單位,,2630.876,本公司天仁茶業股份有限公司直營單位,,無，無統計相關數據,,,1.917,百萬元營業額
1234,黑松,9170.6358,黑松總公司、中壢廠、斗六廠,ISO 14064,15087.3269,黑松總公司、中壢廠、斗六廠,ISO 14064,6302.3154,黑松總公司、中壢廠、斗六廠,ISO 14064,0.16,產品
1235,興泰,919.2922,依108年製成排放量檢測結果換算111年母子公司排放量,,208.384,依111年台灣電力公司記錄排放量資訊之母子公司排放量,,無，無統計相關數據,,,0.0179,千元營業額                                                                                                                                                                                              
1236,宏亞,2475,母子公司,,8569,母子公司,,無，無統計相關數據,,,4.6,百萬元營業額
1256,鮮活果汁-KY,2096.898,子公司：蘇州鮮活飲品股份有限公司,ISO 14064,13345.036,子公司：蘇州鮮活飲品股份有限公司,ISO 14064,無，無統計相關數據,,,0.0038,千元營業額                                                                                                                                                                                              
1301,台塑,3338612,母公司,ISO 14064,4605137,母公司,ISO 14064,11298608,母公司,ISO 14064,40.719,百萬元營業額
1303,南亞,1628833.186,揭露母公司111年度溫室氣體排放量。,ISO 14064,2955506.835,揭露母公司111年度溫室氣體排放量。,ISO 14064,13680477.28,揭露母公司111年度溫室氣體排放量。,ISO 14064,27.097,百萬元營業額
1304,台聚,25483,台聚高雄廠+龜山研發處+台北總部(個體公司),ISO 14064,117786,台聚高雄廠+龜山研發處+台北總部(個體公司),ISO 14064,130,台聚高雄廠,ISO 14064,0.69,產品
1305,華夏,161650,個體公司(華夏公司)及合併財報子公司(華聚、台氯、寰靖公司),ISO 14064,185440,個體公司(華夏公司)及合併財報子公司(華聚、台氯、寰靖公司),ISO 14064,無，定性說明:因實質性不易歸類及量化，目前以組織地理邊界範圍內非屬本公司所有之排放源為主，並且只進行定性盤查工作。,,,0.33,產品
1307,三芳,8242.1,母公司,ISO 14064,22268.8,母公司,ISO 14064,無，無統計相關數據,,,18.49,百萬元營業額
1308,亞聚,10443.52,母公司(林園廠及台北總部),ISO 14064,101531.43,母公司(林園廠及台北總部),ISO 14064,220420.66,母公司(林園廠及台北總部),ISO 14064,0.8614,產品
1309,台達化,15223,台北辦、前鎮廠、林園廠、頭份廠(個體公司),ISO 14064,50227,台北辦、前鎮廠、林園廠、頭份廠(個體公司),ISO 14064,114224,台北辦、前鎮廠、林園廠、頭份廠(個體公司),ISO 14064,0.211,產品
1310,台苯,199683.073,台苯高雄廠,ISO 14064,29524.4432,台苯高雄廠,ISO 14064,無，僅進行排放源鑑別，無量化,,,0.688,產品
1312,國喬,318971.9774,僅母公司,ISO 14064,36899.6496,僅母公司,ISO 14064,827392.244,僅母公司,ISO 14064,19.58,百萬元營業額
1313,聯成,40948.9315,母公司林園廠,ISO 14064,15118.827,母公司林園廠,ISO 14064,無，無統計相關數據,,,0.46,產品
