"報告年度:2022","議題:董事會"
"公司代號","公司名稱","董事席次(含獨立董事)(席)-董事席次(含獨立董事)(席)","獨立董事席次(席)-獨立董事席次(席)","女性董事席次及比率-席","女性董事席次及比率-比率","董事出席董事會出席率-董事出席董事會出席率","董事進修時數符合進修要點比率-董事進修時數符合進修要點比率"
"=""2006""","東和鋼鐵","11","3","0","0.00%","100.00%","100.00%"
"=""2007""","燁興","7","3","0","0.00%","100.00%","100.00%"
"=""2008""","高興昌","9","3","1","11.11%","94.44%","66.67%"
"=""2009""","第一銅","7","3","1","14.29%","82.86%","100.00%"
"=""2010""","春源","11","3","1","9.00%","97.00%","27.00%"
"=""2012""","春雨","11","3","2","18.18%","100.00%","100.00%"
"=""2013""","中鋼構","11","3","1","9.00%","93.00%","100.00%"
"=""2014""","中鴻","7","3","1","14.29%","100.00%","100.00%"
"=""2015""","豐興","13","3","0","0.00%","95.38%","100.00%"
"=""2017""","官田鋼","12","3","2","16.67%","88.51%","100.00%"
"=""2020""","美亞","8","2","1","12.50%","98.84%","100.00%"
"=""2022""","聚亨","5","3","1","20.00%","91.00%","100.00%"
"=""2023""","燁輝","7","3","0","0.00%","100.00%","100.00%"
"=""2024""","志聯","7","3","3","42.86%","100.00%","71.43%"
"=""2025""","千興","6","2","3","50.00%","100.00%","0.00%"
"=""2027""","大成鋼","11","3","3","27.27%","84.00%","91.00%"
"=""2028""","威致","7","3","2","28.57%","85.71%","71.42%"
"=""2029""","盛餘","10","3","0","0.00%","96.00%","30.00%"
"=""2030""","彰源","9","4","1","11.11%","96.83%","100.00%"
"=""2031""","新光鋼","9","3","0","0.00%","100.00%","100.00%"
"=""2032""","新鋼","9","3","1","11.11%","94.44%","33.33%"
"=""2033""","佳大","7","3","2","28.57%","82.86%","14.28%"
"=""2034""","允強","9","4","1","11.10%","100.00%","100.00%"
"=""2038""","海光","9","3","0","0.00%","97.22%","100.00%"
"=""2049""","上銀","10","3","3","30.00%","100.00%","100.00%"
"=""2059""","川湖","7","4","2","28.57%","93.88%","100.00%"
"=""2062""","橋椿","7","4","2","28.57%","100.00%","100.00%"
"=""2069""","運錩","7","3","1","14.28%","97.61%","100.00%"
"=""2072""","世紀風電","","","","","",""
"=""2101""","南港","9","3","5","55.56%","98.41%","77.78%"
"=""2102""","泰豐","9","3","2","22.22%","90.12%","33.33%"
"=""2103""","台橡","7","3","1","14.28%","100.00%","100.00%"
"=""2104""","國際中橡","7","3","0","0.00%","96.00%","100.00%"
"=""2105""","正新","11","3","2","18.00%","98.70%","100.00%"
"=""2106""","建大","11","3","1","9.09%","100.00%","100.00%"
"=""2107""","厚生","9","3","1","11.00%","98.00%","100.00%"
"=""2108""","南帝","20","4","4","0.20%","94.20%","100.00%"
"=""2109""","華豐","11","3","1","9.09%","92.42%","18.18%"
"=""2114""","鑫永銓","9","3","0","0.00%","96.00%","100.00%"
"=""2115""","六暉-KY","9","3","3","33.33%","100.00%","100.00%"
"=""2201""","裕隆","9","3","1","11.11%","94.44%","100.00%"
"=""2204""","中華","9","3","2","22.22%","94.64%","100.00%"
"=""2206""","三陽工業","9","3","1","11.11%","98.15%","100.00%"
"=""2207""","和泰車","14","3","2","14.29%","98.41%","100.00%"
"=""2208""","台船","15","3","1","6.67%","83.33%","60.00%"
"=""2211""","長榮鋼","7","3","3","42.86%","98.41%","100.00%"
"=""2227""","裕日車","11","3","1","9.09%","100.00%","100.00%"
"=""2228""","劍麟","7","3","2","28.57%","97.14%","100.00%"
"=""2231""","為升","7","3","2","28.57%","98.71%","100.00%"
"=""2233""","宇隆","9","3","0","0.00%","94.74%","100.00%"
"=""2236""","百達-KY","7","3","1","14.29%","100.00%","85.71%"
"=""2239""","英利-KY","7","3","0","0.00%","80.36%","100.00%"
"=""2241""","艾姆勒","6","2","1","16.67%","95.24%","100.00%"
"=""2243""","宏旭-KY","7","3","1","14.29%","97.62%","100.00%"
"=""2247""","汎德永業","7","3","2","28.57%","96.43%","100.00%"
"=""2248""","華勝-KY","","","","","",""
"=""2250""","IKKA-KY","9","3","0","0.00%","98.00%","100.00%"
"=""2254""","巨鎧精密-創","","","","","",""
"=""2258""","鴻華先進-創","","","","","",""
"=""2301""","光寶科","8","4","0","0.00%","93.88%","100.00%"
"=""2302""","麗正","8","3","3","37.50%","87.50%","89.58%"
"=""2303""","聯電","9","5","2","22.22%","100.00%","100.00%"
"=""2305""","全友","9","3","1","11.11%","94.44%","33.33%"
"=""2308""","台達電","12","5","3","25.00%","100.00%","100.00%"
"=""2312""","金寶","11","2","2","18.20%","100.00%","100.00%"
"=""2313""","華通","9","3","1","11.11%","91.67%","33.33%"
"=""2314""","台揚","7","3","1","14.29%","98.18%","100.00%"
"=""2316""","楠梓電","9","3","2","22.00%","98.15%","100.00%"
"=""2317""","鴻海","9","5","2","22.22%","87.65%","77.78%"
"=""2321""","東訊","9","3","2","22.22%","94.44%","100.00%"
"=""2323""","中環","8","3","3","37.50%","92.68%","37.50%"
"=""2324""","仁寶","15","3","0","0.00%","93.33%","60.00%"
"=""2327""","國巨*","9","3","0","0.00%","82.83%","100.00%"
"=""2328""","廣宇","7","3","0","0.00%","100.00%","71.43%"
"=""2329""","華泰","6","3","0","0.00%","85.71%","100.00%"
"=""2330""","台積電","10","6","1","10.00%","100.00%","30.00%"
"=""2331""","精英","9","3","0","0.00%","100.00%","100.00%"
"=""2332""","友訊","8","3","0","0.00%","92.45%","87.50%"
"=""2337""","旺宏","15","4","2","13.33%","96.08%","100.00%"
"=""2338""","光罩","7","3","2","28.57%","95.65%","100.00%"
"=""2340""","台亞","7","3","0","0.00%","100.00%","100.00%"
"=""2342""","茂矽","8","3","1","12.50%","100.00%","100.00%"
"=""2344""","華邦電","11","4","2","18.00%","98.70%","100.00%"
"=""2345""","智邦","8","5","1","12.50%","85.42%","100.00%"
"=""2347""","聯強","9","3","1","11.00%","96.88%","100.00%"
"=""2348""","海悅","13","3","3","23.08%","85.71%","15.38%"
"=""2349""","錸德","7","3","3","42.86%","94.29%","100.00%"
"=""2351""","順德","9","4","0","0.00%","95.56%","100.00%"
"=""2352""","佳世達","7","3","0","0.00%","100.00%","100.00%"
"=""2353""","宏碁","6","3","1","16.67%","95.24%","100.00%"
"=""2354""","鴻準","5","3","0","0.00%","97.14%","80.00%"
"=""2355""","敬鵬","9","3","2","22.22%","90.48%","100.00%"
"=""2356""","英業達","9","3","0","0.00%","100.00%","100.00%"
"=""2357""","華碩","15","5","2","13.33%","95.96%","100.00%"
"=""2359""","所羅門","9","4","1","11.11%","100.00%","100.00%"
"=""2360""","致茂","7","3","0","0.00%","97.96%","100.00%"
"=""2362""","藍天","7","3","1","14.00%","96.80%","100.00%"
"=""2363""","矽統","9","3","3","33.33%","94.23%","100.00%"
"=""2364""","倫飛","11","3","2","18.00%","84.38%","0.00%"
"=""2365""","昆盈","7","3","1","14.29%","89.80%","100.00%"
