"報告年度:2024","議題:持股及控制力"
"=""1447""","力鵬","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1447_20250613F17.pdf"
"=""1449""","佳和","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1449_20250619F17.pdf"
"=""1451""","年興","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1451_20250617F17.pdf"
"=""1452""","宏益","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1452_20250613F17.pdf"
"=""1453""","大將","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1453_20250613F17.pdf"
"=""1454""","台富","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1454_20250623F17.pdf"
"=""1455""","集盛","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1455_20250610F17.pdf"
"=""1456""","怡華","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1456_20250529F17.pdf"
"=""1457""","宜進","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1457_20250610F17.pdf"
"=""1459""","聯發","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1459_20250625F17.pdf"
"=""1460""","宏遠","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1460_20250523F17.pdf"
"=""1463""","強盛新","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1463_20250527F17.pdf"
"=""1464""","得力","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1464_20250610F17.pdf"
"=""1465""","偉全","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1465_20250526F17.pdf"
"=""1466""","聚隆","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1466_20250617F17.pdf"
"=""1467""","南緯","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1467_20250613F17.pdf"
"=""1468""","昶和","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1468_20250616F17.pdf"
"=""1470""","大統新創","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1470_20250626F17.pdf"
"=""1471""","首利","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1471_20250620F17.pdf"
"=""1472""","三洋實業","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1472_20250528F17.pdf"
"=""1473""","台南","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1473_20250526F17.pdf"
"=""1474""","弘裕","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1474_20250626F17.pdf"
"=""1475""","業旺","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1475_20250625F17.pdf"
"=""1476""","儒鴻","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1476_20250613F17.pdf"
"=""1477""","聚陽","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1477_20250528F17.pdf"
"=""1503""","士電","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1503_20250613F17.pdf"
"=""1504""","東元","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1504_20250603F17.pdf"
"=""1506""","正道","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1506_20250610F17.pdf"
"=""1512""","瑞利","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1512_20250624F17.pdf"
"=""1513""","中興電","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1513_20250523F17.pdf"
"=""1514""","亞力","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1514_20250611F17.pdf"
"=""1515""","力山","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1515_20250522F17.pdf"
"=""1516""","川飛","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1516_20250613F17.pdf"
"=""1517""","利奇","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1517_20250626F17.pdf"
"=""1519""","華城","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1519_20250613F17.pdf"
"=""1521""","大億","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1521_20250610F17.pdf"
"=""1522""","堤維西","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1522_20250619F17.pdf"
"=""1524""","耿鼎","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1524_20250617F17.pdf"
"=""1525""","江申","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1525_20250526F17.pdf"
"=""1526""","日馳","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1526_20250619F17.pdf"
"=""1527""","鑽全","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1527_20250618F17.pdf"
"=""1528""","恩德","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1528_20250526F17.pdf"
