"報告年度:2024","議題:水資源管理"
"公司代號","公司名稱","用水量(公噸(t))-用水量(公噸(t))","資料邊界-資料邊界","用水密集度-用水密集度","用水密集度-單位","驗證標準-取得驗證"
"=""1605""","華新","14,942,400.0000","華新麗華股份有限公司個體公司及子公司( 包括上海華新、江陰合金、煙台華新、常熟華新、華新精密)","10.4900","公噸/產品","ISO 46001"
"=""1608""","華榮","78,485.5873","高楠廠生產工廠","9.5667","公噸/百萬元營業額","N/A"
"=""1609""","大亞","94,709.1603","大亞公司(個體)","2.2047","公噸/產品","N/A"
"=""1611""","中電","N/A","N/A","N/A","N/A","N/A"
"=""1612""","宏泰","59,940.0000","僅母公司","9.0970","公噸/百萬元營業額","N/A"
"=""1614""","三洋電","52,974.0000","台灣三洋電機股份有限公司及三洋全能股份有限公司","9.3103","公噸/百萬元營業額","N/A"
"=""1615""","大山","40,325.0000","1.斗六總廠 2.斗六虎溪廠 3.桃園營業處 4.高雄聯絡處","0.0068","百萬公升 / 佰萬營收","N/A"
"=""1616""","億泰","54,000.0000","桃園市中壢區中正路二段363巷32號","11.9080","公噸/百萬元營業額","N/A"
"=""1617""","榮星","46,742.0000","台南市仁德區中正路三段231號、台北市松山區復興北路181號13樓之3","29.5835","公噸/百萬元營業額","N/A"
"=""1618""","合機","7.3300","以公司個體廠區為邊界範圍，包含桃園二 、三、五廠 、新廠、品保實驗室、台北辦公室等，惟桃園六廠因小部分租賃予其他企業組織且未生產製造，故排除盤查範圍","0.0016","公噸/百萬元營業額","N/A"
"=""1626""","艾美特-KY","223.1250","主要營運據點艾美特電器（深圳）有限公司、艾美特電器（九江）有限公司","N/A","N/A","N/A"
"=""1702""","南僑","1,868,089.0000","涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業","0.0793","公噸/千元","N/A"
"=""1707""","葡萄王","381,052.0000","葡萄王生技股份有限公司、葡眾企業股份有限公司、溢昭股份有限公司、上海葡萄王企業有限公司","30.2000","公噸/百萬元營業額","N/A"
"=""1708""","東鹼","684,170.0000","東南實業股份有限公司蘇澳總廠","1.2860","公噸/產品","N/A"
"=""1709""","和益","138,550.0000","母公司和益及子公司聯超、和協","13.0000","公噸/百萬元營業額","確信準則3000號"
"=""1710""","東聯","1,628,582.0000","高雄林園廠","142.0090","公噸/百萬元營業額","ISO 46001"
"=""1711""","永光","628,545.5540","桃園地區四個廠區、新竹全通科技、大陸地區的蘇州永光，已取得ISO 14001認證之生產型廠區及子公司","N/A","N/A","ISO14001 DNV、KPMG會計師確信"
"=""1712""","興農","575,867.0000","母公司王田廠、王田二廠、王田三廠、生物工廠、大肚廠、彰濱廠","30.4241","公噸/百萬元營業額","N/A"
"=""1713""","國化","63,110.0000","屏南工廠","119.5326","公噸/百萬元營業額","N/A"
"=""1714""","和桐","11.2760","高雄廠","0.0003","公噸/產品","N/A"
"=""1717""","長興","783,960.0000","台灣、大陸、馬來西亞、美國、日本、義大利、泰國等工廠及高雄公司、北區營業所、中區營業所、韓國、越南等辦事處等。辦事處據點無法統計排水量，故不揭露排水量及其耗水量。","1.5700","公噸/產品","N/A"
"=""1718""","中纖","1,975,000.0000","中國人造纖維股份有限公司高雄總廠及汽電二廠","347.6501","公噸/百萬元營業額","N/A"
"=""1720""","生達","173,202.0000","生達一廠+生達二廠","53.6894","公噸/百萬元營業額","N/A"
"=""1721""","三晃","220,110.0000","僅母公司","14.5788","公噸/產品","確信準則3000號"
"=""1722""","台肥","N/A","N/A","N/A","N/A","N/A"
"=""1723""","中碳","286,000.0000","母公司","38.1842","公噸/百萬元營業額","N/A"
"=""1725""","元禎","3,174.0000","母公司","0.4695","公噸/百萬元營業額","N/A"
"=""1726""","永記","63,180.0000","20240101~20241231","0.7484","公噸/產品","N/A"
"=""1727""","中華化","350.8250","一廠、二廠、彰化廠","2.4994","公噸/產品","N/A"
"=""1730""","花仙子","8,154.6364","台灣花仙子、蘇州太倉廠","3.5728","公噸/百萬元營業額","N/A"
"=""1731""","美吾華","48,113.0000","台北總公司、中南部辦公室及楊梅廠與外倉","N/A","N/A","N/A"
"=""1732""","毛寶","18,165.0000","母公司","32.5500","公噸/百萬元營業額","N/A"
"=""1733""","五鼎","46,369.0000","僅包含台灣各廠區","0.0560","公噸/千片試片","N/A"
"=""1734""","杏輝","179,591.0000","母公司","62.7870","公噸/百萬元營業額","ISO14001:2015"
"=""1735""","日勝化","43,382.0000","僅母公司","25.6516","公噸/百萬元營業額","N/A"
"=""1736""","喬山","305,840.0000","集團總部與台灣廠、上海廠、越南廠之地下水與第三方用水","8.6400","公噸/百萬元營業額","N/A"
"=""1737""","臺鹽","32,738.5600","113年度環境會計年度列帳資料，自來水","10.4142","公噸/百萬元營業額","N/A"
"=""1752""","南光","141,023.0000","總公司與台北辦公室","64.1207","公噸/百萬元營業額","N/A"
"=""1760""","寶齡富錦","154.8215","南港總公司, 平鎮廠, 正峰大園廠, 汐科廠, 龍潭研發中心 ","0.0763","公噸/百萬元營業額","N/A"
"=""1762""","中化生","114,932.0000","中化合成生技股份有限公司","86.5709","公噸/百萬元營業額","N/A"
"=""1773""","勝一","415,386.0000","母公司","40.5809","公噸/百萬元營業額","N/A"
"=""1776""","展宇","11,435.0000","僅母公司","15.9960","公噸/百萬元營業額","N/A"
"=""1783""","和康生","14,530.0000","母公司","21.3360","公噸/百萬元營業額","N/A"
"=""1786""","科妍","30,588.0000","母公司","N/A","N/A","N/A"
"=""1789""","神隆","158,720.0000","僅母公司","0.0079","百萬公升/公斤","N/A"
"=""1795""","美時","117.8842","美時台灣南投廠、韓國公州廠及韓國鄉南廠","0.0966","百萬公升/人","N/A"
"=""1802""","台玻","N/A","N/A","N/A","N/A","ISO 46001"
"=""1805""","寶徠","N/A","N/A","N/A","N/A","N/A"
"=""1806""","冠軍","318,302.0000","苗栗縣造橋鄉豐湖村一鄰乳姑山2號","0.0336","公噸/產品","N/A"
"=""1808""","潤隆","322.0000","本公司台北、台中及台南辦公室。","0.0368","公噸/百萬元營業額","N/A"
"=""1809""","中釉","45,088.6000","母公司","N/A","N/A","N/A"
"=""1810""","和成","171,676.0000","新北市鶯歌區八德路1號(二廠).桃園市八德區大發里後庄街89號.1355號(八德廠).桃園市八德區大發里6鄰福德一路405號.台北市中山區濱江街105號.基隆市中山區德安路4-1號.桃園市八德區大發里後庄街89號.新竹縣湖口鄉德興路440巷16號.苗栗市水源里11鄰水流娘22-9號.台中市西屯區台灣大道四段16巷312號.嘉義縣水上鄉粗溪136-20號.宜蘭縣壯圍鄉大福路3段41巷7號.南投市新興里南崗三路37號","0.0762","公噸/百萬元營業額","N/A"
"=""1817""","凱撒衛","1,720.0000","台灣地區 ","0.6164","公噸/百萬元營業額","N/A"
"=""1903""","士紙","8.2200","本公司用水包含員工生活用水、旅館與餐經經營用水，水源皆屬於水庫之自來水。","N/A","N/A","N/A"
"=""1904""","正隆","2,574,550.0000","母公司","8.4200","公噸/產品","N/A"
"=""1905""","華紙","28,655,000.0000","台灣(觀音廠、久堂廠、花蓮廠、台東廠)及中國鼎豐","33.8144","公噸/產品","N/A"
"=""1906""","寶隆","1,238.0800","母公司","0.3854","公噸/百萬元營業額","N/A"
"=""1907""","永豐餘","45,771,181.0000","永豐餘林漿紙、工紙紙器、消費品三大事業群之所有生產據點。","9.9328","公噸/產品","ISO 14001"
"=""1909""","榮成","28,314,594.1900","母公司及合併財部報表子公司","7.4700","公噸/產品","用水回收率"
"=""2002""","中鋼","42,205,812.0000","本公司小港廠區(含第三冷軋廠)","5.1000","公噸/產品","N/A"
"=""2006""","東和鋼鐵","2,244,186.0000","母公司","1.2190","全公司取 水量/鋼胚產量 ","N/A"
"=""2007""","燁興","210,770.0000","本公司","0.0190","千立方公尺/百萬元","N/A"
"=""2008""","高興昌","33,717.0000","個別財報(本公司無子公司) 高雄總公司、屏東分公司、台北分公司","1.0490","公噸/產品","N/A"
"=""2009""","第一銅","201,321.9643","第一伸銅科技股份有限公司臨海廠","N/A","N/A","N/A"
"=""2010""","春源","82,301.0000","僅母公司","0.0002","公噸/產品","N/A"
"=""2012""","春雨","226,310.0000","本廠","N/A","N/A","N/A"
"=""2013""","中鋼構","43,454.0000","母公司","2.2063","公噸/百萬元營業額","N/A"
"=""2014""","中鴻","1,187,958.0000","113/1/1~113/12/31(全公司)","38.9993","公噸/百萬元營業額","N/A"
"=""2015""","豐興","1,805,979.0000","包含合併財務報表之母子公司","52.5310","公噸/百萬元營業額","ISO 14001:2015"
"=""2017""","官田鋼","107,159.0000","母公司","40.4000","公噸/百萬元營業額","N/A"
"=""2020""","美亞","670.0000","埔心總廠","0.1278","公噸/百萬元營業額","N/A"
"=""2022""","聚亨","48,489.0000","母公司(一廠;二廠;三廠)","34.1500","公噸/百萬元營業額","N/A"
"=""2023""","燁輝","371,350.0000","母公司","14.5500","公噸/百萬元營業額","N/A"
"=""2024""","志聯","112,191.0000","志聯公司：桃園市新屋區中興路480號","102.2942","公噸/百萬元營業額","N/A"
"=""2025""","千興","27,370.0000","僅母公司","0.0259","公噸/千元營業額","N/A"
"=""2027""","大成鋼","632,079.9800","合併財務報表之母子公司","6.9922","公噸/百萬元營業額","N/A"
"=""2028""","威致","800,420.0000","個別公司","1.3501","公噸/產品","N/A"
"=""2029""","盛餘","438,785.0000","僅母公司","0.3300","公噸/產品","N/A"
"=""2030""","彰源","107,098.0000","2024年一廠、二廠、三廠、大連廠、元富廠、元山廠","1.1391","公噸/產品","N/A"
"=""2031""","新光鋼","19,070.0000","母公司個體(台灣廠區)","1.5806","公噸/百萬元營業額","N/A"
"=""2032""","新鋼","5,505.0000","新莊廠、大園廠","1.8543","公噸/百萬元營業額","N/A"
"=""2033""","佳大","21,715.5000","113財務報告為邊界","37.5928","公噸/百萬元營業額","N/A"
"=""2034""","允強","110,617.0000","僅母公司","0.8263","公噸/產品","N/A"
"=""2038""","海光","91,140.0000","包含合併財務報表之母子公司","9.3727","公噸/百萬元營業額","N/A"
"=""2049""","上銀","587,350.0000","上銀科技母公司所有營運據點","32.2082","公噸/百萬元營業額","ISO 46001"
"=""2059""","川湖","124,368.3520"," 母公司及子公司川益科技(股)公司兩個廠區","0.0301","平方公尺/產品表面積","N/A"
"=""2062""","橋椿","116,918.0000","2024/1/1~2024/12/31","0.0400","公噸/產品","N/A"
"=""2069""","運錩","13,287.0000","母 公司","N/A","N/A","N/A"
"=""2101""","南港","205,840.0000","包含合併財務報表之母子公司","13.3092","公噸/百萬元營業額","N/A"
"=""2102""","泰豐","16,691.0000","僅母公司","N/A","N/A","N/A"
"=""2103""","台橡","5,441,586.0558","已完成合併財務報表之母子公司","9.8536","公噸/產品","確信準則3000號"
"=""2104""","國際中橡","4,867,117.0000","全集團 ","12.4300","公噸/產品","N/A"
"=""2105""","正新","782,933.0000","台灣正新","46.6554","公噸/百萬元營業額","N/A"
"=""2106""","建大","194,771.0000","台灣地區生產廠 ","5.6946","公噸/百萬元營業額","N/A"
"=""2107""","厚生","N/A","N/A","N/A","N/A","N/A"
"=""2108""","南帝","490,140.0000","僅母公司","3.1400","百萬公升/產量千噸","ISO 14001"
"=""2109""","華豐","N/A","N/A","N/A","N/A","N/A"
"=""2114""","鑫永銓","10,999.0000","母公司","N/A","N/A","N/A"
"=""2115""","六暉-KY","169,788.1239","包含合併財務報表之母子公司","54.3089","公噸/百萬元營業額","N/A"
"=""2201""","裕隆","272,373.4118","裕隆汽車母公司個體營運據點(三義廠區)","10.5123","公噸/百萬元營業額","N/A"
